familia,especie,categoria_listaroja,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Abarema adenophora,Least Concern,25.74282055267921,227.51923076923077
Fabaceae,Abarema barbouriana,Least Concern,24.80527851373787,238.86635220125785
Fabaceae,Abarema macradenia,Least Concern,25.325773189977273,241.37113402061857
Fabaceae,Abarema racemiflora,Least Concern,21.42671572928335,222.01225490196077
Euphorbiaceae,Acalypha diversifolia,Least Concern,23.78657043410178,209.37624378109453
Euphorbiaceae,Adelia triloba,Least Concern,25.011762343715443,213.9653110047847
Lamiaceae,Aegiphila anomala,Least Concern,22.644512195251174,247.98441734417344
Lamiaceae,Aegiphila costaricensis,Least Concern,23.737780455213326,233.765625
Lamiaceae,Aegiphila odontophylla,Least Concern,15.160995359773988,233.02314814814815
Lamiaceae,Aegiphila panamensis,Least Concern,24.754067638601782,203.9501828153565
Lamiaceae,Aegiphila valerioi,Least Concern,20.083095250810896,229.85119047619048
Opiliaceae,Agonandra macrocarpa,Near Threatened,25.60579708520917,127.20833333333333
Lauraceae,Aiouea chavarriana,Vulnerable,24.583055554495918,292.98055555555555
Lauraceae,Aiouea hammeliana,Least Concern,18.28177969603889,232.4406779661017
Lauraceae,Aiouea montana,Least Concern,21.789680233759473,164.66666666666666
Lauraceae,Aiouea neurophylla,Least Concern,24.231048381456766,248.80913978494624
Lauraceae,Aiouea pittieri,Least Concern,19.696130972533,209.17559523809524
Lauraceae,Aiouea talamancensis,,,
Fabaceae,Albizia adinocephala,Least Concern,24.16807063506997,178.34284420289856
Fabaceae,Albizia niopoides,Least Concern,24.429912649214355,123.35352983988355
Euphorbiaceae,Alchornea costaricensis,Least Concern,25.298759670405424,242.16317829457364
Euphorbiaceae,Alchornea glandulosa,Least Concern,21.261848946490016,170.11572265625
Euphorbiaceae,Alchornea guatemalensis,Endangered,16.22666666507721,245.05
Euphorbiaceae,Alchornea latifolia,Least Concern,22.198619281232748,195.40253267973856
Euphorbiaceae,Alchorneopsis floribunda,Least Concern,25.162754514870635,229.17684700407213
Juglandaceae,Alfaroa costaricensis,Least Concern,17.42457627711323,234.87782485875707
Juglandaceae,Alfaroa manningii,Near Threatened,21.937590593877047,228.8125
Rubiaceae,Alibertia atlantica,Least Concern,25.23061400631018,281.53245614035086
Rubiaceae,Alibertia dwyeri,,,
Rubiaceae,Alibertia edulis,Least Concern,24.702790498715316,162.9726294090701
Rubiaceae,Alibertia utleyorum,Vulnerable,25.535483908909622,262.61021505376345
Sapindaceae,Allophylus gentryi,Least Concern,24.609210499545984,237.109649122807
Sapindaceae,Allophylus psilospermus,Least Concern,23.37374918130871,218.9335607537362
Sapindaceae,Allophylus racemosus,Least Concern,23.373019419621638,210.6177130044843
Betulaceae,Alnus acuminata,Least Concern,,
Rubiaceae,Alseis costaricensis,Near Threatened,25.559150377909344,233.88888888888889
Simarubaceae,Alvaradoa amorphoides,Least Concern,24.36589126807943,102.46591683708247
Alzateaceae,Alzatea verticillata,Least Concern,18.498155241249172,176.75254452926208
Rubiaceae,Amaioua glomerulata,Least Concern,25.362639149988443,190.13729128014842
Rubiaceae,Amaioua pedicellata,Near Threatened,22.069248862109834,274.73474178403757
Ulmaceae,Ampelocera macrocarpa,Least Concern,25.057712167933367,258.0652173913044
Bignoniaceae,Amphitecna isthmica,Near Threatened,24.306439373228287,243.5429292929293
Bignoniaceae,Amphitecna sessilifolia,Least Concern,17.583508786820527,247.67894736842106
Rutaceae,Amyris balsamifera,Least Concern,24.01344937111255,123.47521097046413
Rutaceae,Amyris pinnata,Least Concern,23.55243270293526,165.26966873706004
Anacardiaceae,Anacardium excelsum,Least Concern,25.268165772764352,193.1439594356261
Annonaceae,Anaxagorea crassipetala,Least Concern,25.44635231384603,277.89916963226574
Annonaceae,Anaxagorea phaeocarpa,Least Concern,25.556948662284398,271.9418429003021
Fabaceae,Andira inermis,Least Concern,,
Lauraceae,Aniba venezuelana,Least Concern,23.799116194850267,273.2550505050505
Annonaceae,Annona amazonica,Least Concern,25.29053502023956,215.90226337448559
Annonaceae,Annona danforthii,Least Concern,23.521666754616632,301.39722222222224
Annonaceae,Annona glabra,Least Concern,25.47795437833016,147.1449353448276
Annonaceae,Annona montana,Least Concern,24.449006520980618,151.19810201660735
Annonaceae,Annona mucosa,Least Concern,24.019202297193964,196.4608004385965
Annonaceae,Annona papilionella,Least Concern,24.633880592460063,232.8917910447761
Annonaceae,Annona pittieri,Least Concern,23.22916666085158,265.1656504065041
Annonaceae,Annona purpurea,Least Concern,24.58118384461554,136.60152116402116
Annonaceae,Annona reticulata,Least Concern,24.907034405973437,123.27260458839406
Caryocaraceae,Anthodiscus chocoensis,Endangered,25.520694438616434,307.81944444444446
Malvaceae,Apeiba membranacea,Least Concern,25.128398940068845,245.103937007874
Malvaceae,Apeiba tibourbou,Least Concern,25.260904946416204,177.54025607638889
Rubiaceae,Arachnothryx aspera,Near Threatened,21.325586843938336,195.8931924882629
Rubiaceae,Arachnothryx bertieroides,Least Concern,23.42425148453779,236.62724550898204
Rubiaceae,Arachnothryx buddleioides,Least Concern,20.19393939787808,205.84787390029325
Rubiaceae,Arachnothryx calycosa,Vulnerable,19.289864823624896,261.2454954954955
Araliaceae,Aralia excelsa,Least Concern,25.45818713533948,130.48026315789474
Primulaceae,Ardisia capitellata,Vulnerable,18.217424222917266,258.49242424242425
Primulaceae,Ardisia compressa,Least Concern,21.28267427778063,156.35640050697086
Primulaceae,Ardisia dodgei,Endangered,25.005459695026794,263.8965517241379
Primulaceae,Ardisia dunlapiana,Endangered,25.457253041090787,270.1188271604938
Primulaceae,Ardisia fimbrillifera,Least Concern,24.793032768645574,300.0075136612022
Primulaceae,Ardisia glandulosomarginata,Least Concern,15.261586758371902,216.3898401826484
Primulaceae,Ardisia opegrapha,Least Concern,23.63861654353644,243.80156136528686
Primulaceae,Ardisia palmana,Least Concern,19.003414348319726,249.27951388888889
Primulaceae,Ardisia pleurobotrya,Vulnerable,12.997028970027316,211.76884057971014
Primulaceae,Ardisia revoluta,Least Concern,23.51089577229243,125.85346683893195
Primulaceae,Ardisia standleyana,,,
