familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Abarema macradenia,-84.35,9.7,23.991666793823242,244.41666666666666
Fabaceae,Abarema macradenia,-83.43333,8.53333,24.55833339691162,280.8333333333333
Fabaceae,Abarema macradenia,-83.91666,11.9,25.950000127156574,291.6666666666667
Fabaceae,Abarema macradenia,-83.15,8.65,24.99999984105428,265.8333333333333
Fabaceae,Abarema macradenia,-84.39,9.73,22.458333174387615,199.75
Fabaceae,Abarema macradenia,-79.3333,-0.566667,23.96666669845581,221.66666666666666
Fabaceae,Abarema macradenia,-83.5,10.533333,26.28333346048991,347.5
Fabaceae,Abarema macradenia,-83.377778,8.772222,25.983333269755047,300.5
Fabaceae,Abarema macradenia,-83.339797,8.403175,26.258333206176758,304.9166666666667
Fabaceae,Abarema macradenia,-83.156944,8.656944,24.8166667620341,268.8333333333333
Fabaceae,Abarema macradenia,-84.366945,9.694444,24.083333333333332,244.83333333333334
Fabaceae,Abarema macradenia,-83.427778,8.525,24.97499990463257,289.1666666666667
Fabaceae,Abarema macradenia,-84.399722,9.730556,22.791666666666668,216.5
Fabaceae,Abarema macradenia,-84.355556000000007,9.713889,22.56666660308838,202.66666666666666
Fabaceae,Abarema macradenia,-83.466667,8.983333,25.424999872843426,289.4166666666667
Fabaceae,Abarema macradenia,-83.433333,8.533333,24.55833339691162,280.8333333333333
Fabaceae,Abarema macradenia,-83.425512,8.536614,25.15833330154419,260.5833333333333
Fabaceae,Abarema macradenia,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Fabaceae,Abarema macradenia,-83.335556,8.405833,26.258333206176758,304.9166666666667
Fabaceae,Abarema macradenia,-84.380639,9.695583,24.3083332379659,236.25
Fabaceae,Abarema macradenia,-83.41,8.51,24.97499990463257,291.1666666666667
Fabaceae,Abarema macradenia,-83.46,8.98,25.208333174387615,240.33333333333334
Fabaceae,Abarema macradenia,-79.21666,0.9,25.24166663487752,179.08333333333334
Fabaceae,Abarema macradenia,-83.2167,8.68333,25.69166644414266,249.16666666666666
Fabaceae,Abarema macradenia,-80.00138,9.30166,26.416666666666668,215.91666666666666
Fabaceae,Abarema macradenia,-79.85277,9.17083,26.450000127156574,187.08333333333334
Fabaceae,Abarema macradenia,-79.84,9.17,26.458333333333332,228.83333333333334
Fabaceae,Abarema macradenia,-79.86805,9.15694,26.549999713897705,203
Fabaceae,Abarema macradenia,-79.84,9.17,26.458333333333332,228.83333333333334
Fabaceae,Abarema macradenia,-79.82361,9.15833,26.53333330154419,214.33333333333334
Fabaceae,Abarema macradenia,-79.85527,9.17444,26.450000127156574,187.08333333333334
Fabaceae,Abarema macradenia,-79.84,9.17,26.458333333333332,228.83333333333334
Fabaceae,Abarema macradenia,-79.95666,9.36416,26.62499984105428,184.91666666666666
Fabaceae,Abarema macradenia,-79.85138,9.16527,26.24999984105428,210.5
Fabaceae,Abarema macradenia,-79.84,9.17,26.458333333333332,228.83333333333334
Fabaceae,Abarema macradenia,-79.36666,-0.58333,24.46666669845581,217.75
Fabaceae,Abarema macradenia,-79.85,9.15,26.358333428700764,200.33333333333334
Fabaceae,Abarema macradenia,-79.36666,-0.58333,24.46666669845581,217.75
Fabaceae,Abarema macradenia,-79.36666,-0.58333,24.46666669845581,217.75
Fabaceae,Abarema macradenia,-79.85527,9.17444,26.450000127156574,187.08333333333334
Fabaceae,Abarema macradenia,-79.85527,9.17444,26.450000127156574,187.08333333333334
Fabaceae,Abarema macradenia,-69.71666,-12.81666,25.00000015894572,264
Fabaceae,Abarema macradenia,-83.37,8.77,25.97499990463257,298.5833333333333
Fabaceae,Abarema macradenia,-83.3430555,8.4166667,25.88333336512248,252.33333333333334
Fabaceae,Abarema macradenia,-89.3825,15.51583,27.03333330154419,226
Fabaceae,Abarema macradenia,-79.36666,-0.58333,24.46666669845581,217.75
Fabaceae,Abarema macradenia,-83.5,10.53,26.28333346048991,347.5
Fabaceae,Abarema macradenia,-83.37,8.77,25.97499990463257,298.5833333333333
Fabaceae,Abarema macradenia,-83.34,8.41,26.083333651224773,288.25
Fabaceae,Abarema macradenia,-83.37,8.77,25.97499990463257,298.5833333333333
Fabaceae,Abarema macradenia,-83.15,8.65,24.99999984105428,265.8333333333333
Fabaceae,Abarema macradenia,-84.36,9.69,24.791666507720947,245.83333333333334
Fabaceae,Abarema macradenia,-84.18,10.65,25.93333355585734,293.9166666666667
Fabaceae,Abarema macradenia,-83.42,8.52,24.84166685740153,289.3333333333333
Fabaceae,Abarema macradenia,-83.21,8.63,26.424999872843426,226.91666666666666
Fabaceae,Abarema macradenia,-83.21,8.68,25.22499990463257,247.66666666666666
Fabaceae,Abarema macradenia,-83.16,8.65,25.241666475931805,287.5833333333333
Fabaceae,Abarema macradenia,-83.1,8.55,26.583333492279053,286.8333333333333
Fabaceae,Abarema macradenia,-83.58,8.71,24.96666669845581,245.25
Fabaceae,Abarema macradenia,-84.35,9.71,23.59166669845581,236.75
Fabaceae,Abarema macradenia,-90.5,15,17.608333428700764,128.08333333333334
Fabaceae,Abarema macradenia,-88.75,13.5833,24.199999968210857,167.58333333333334
Fabaceae,Abarema macradenia,-88.5,17,24.25000015894572,169.08333333333334
Fabaceae,Abarema macradenia,-86.5,14.5,24.09999990463257,81.16666666666667
Fabaceae,Abarema macradenia,-85,12.5,23.55833355585734,166.66666666666666
Fabaceae,Abarema macradenia,-84.5461,9.7781,25.616666952768963,198.5
Fabaceae,Abarema macradenia,-79.8442,9.1592,26.141666730244953,184.41666666666666
Fabaceae,Abarema macradenia,-79.3631,-0.5939,24.24999984105428,218
Fabaceae,Abarema macradenia,-78.5,1.0997,23.6916667620341,243.16666666666666
Fabaceae,Abarema macradenia,-77.7681,7.1172,26.35000006357829,263.25
Fabaceae,Abarema macradenia,-77.2467,6.0508,23.81666660308838,325.3333333333333
Fabaceae,Abarema macradenia,-76.4567,4.805,21.824999650319416,303.25
Fabaceae,Abarema macradenia,-76.3383,5.3017,25.924999872843426,477.8333333333333
Fabaceae,Abarema macradenia,-74.9703,-9.9844,26.008333524068195,170.83333333333334
Fabaceae,Abarema macradenia,-69.5678,-13.1347,24.983333587646484,268.4166666666667
Fabaceae,Abarema macradenia,-69.3606,-12.3914,25.083333174387615,185.75
Fabaceae,Abarema macradenia,-79.847156,9.242668,26.62499984105428,202.33333333333334
Fabaceae,Abarema macradenia,-79.85,9.15,26.358333428700764,200.33333333333334
Fabaceae,Abarema macradenia,-79.85,9.15,26.358333428700764,200.33333333333334
Fabaceae,Abarema macradenia,-84.417,11.033,25.933333079020183,250.66666666666666
Fabaceae,Abarema macradenia,-77.133,3.933,26.049999713897705,543.0833333333334
Fabaceae,Abarema macradenia,-84.05556,10.40556,25.59166685740153,309.5833333333333
Fabaceae,Abarema macradenia,-79.217167,0.89083,25.24166663487752,178.66666666666666
Fabaceae,Abarema macradenia,-79.9048,9.1247,26.366666952768963,204.91666666666666
Fabaceae,Abarema macradenia,-79.8779,9.14491,26.52499993642171,188.08333333333334
Fabaceae,Abarema macradenia,-79.8553,9.15125,25.983333269755047,199.5
Fabaceae,Abarema macradenia,-79.6767,9.12372,26.516666571299236,201.5
Fabaceae,Abarema macradenia,-79.9966,9.32393,26.52500009536743,199.16666666666666
Fabaceae,Abarema macradenia,-79.9836,9.33736,26.37499984105428,193.25
Fabaceae,Abarema macradenia,-69.28,-12.83,25.266666730244953,204.75
Fabaceae,Abarema macradenia,-79.8553009,9.15124989,25.983333269755047,199.5
Fabaceae,Abarema macradenia,-79.3333,-0.566667,23.96666669845581,221.66666666666666
Fabaceae,Abarema macradenia,-69.28,-12.83,25.266666730244953,204.75
Fabaceae,Abarema macradenia,-72.1,-0.533333,26.141666571299236,231
Fabaceae,Abarema macradenia,-77.35388,8.64973,25.449999968210857,156.16666666666666
Fabaceae,Abarema macradenia,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Abarema macradenia,-83.33556,8.4058333,26.258333206176758,304.9166666666667
