familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Acalypha diversifolia,-77.983333,1.15,17.46666685740153,135.83333333333334
Euphorbiaceae,Acalypha diversifolia,-77.983333,1.316667,18.25,165.41666666666666
Euphorbiaceae,Acalypha diversifolia,-75.458722,3.143778,23.783333619435627,155.25
Euphorbiaceae,Acalypha diversifolia,-73.7925,10.193056,25.97500006357829,123.75
Euphorbiaceae,Acalypha diversifolia,-80.717,-1.567,22.416666666666668,44.583333333333336
Euphorbiaceae,Acalypha diversifolia,-79.85,-0.617,24.12500015894572,138.58333333333334
Euphorbiaceae,Acalypha diversifolia,-79.35,-2.567,22.350000222524006,113.83333333333333
Euphorbiaceae,Acalypha diversifolia,-68.7,-12.517,25.425000349680584,160.16666666666666
Euphorbiaceae,Acalypha diversifolia,-77.983333,1.15,17.46666685740153,135.83333333333334
Euphorbiaceae,Acalypha diversifolia,-77.983333,1.316667,18.25,165.41666666666666
Euphorbiaceae,Acalypha diversifolia,-91.303944,16.201222,24.65833346048991,193.33333333333334
Euphorbiaceae,Acalypha diversifolia,-77.983333,1.316667,18.25,165.41666666666666
Euphorbiaceae,Acalypha diversifolia,-76.105639,4.723,18.34166653951009,165.33333333333334
Euphorbiaceae,Acalypha diversifolia,-76.105194,4.723194,18.34166653951009,165.33333333333334
Euphorbiaceae,Acalypha diversifolia,-76.105056,4.722833,18.34166653951009,165.33333333333334
Euphorbiaceae,Acalypha diversifolia,-76.104611,4.723139,18.34166653951009,165.33333333333334
Euphorbiaceae,Acalypha diversifolia,-76.094333,4.801028,18.84166653951009,207.58333333333334
Euphorbiaceae,Acalypha diversifolia,-77.109194,1.564194,17.300000031789143,144.25
Euphorbiaceae,Acalypha diversifolia,-76.213667,4.721083,18.774999618530273,178.33333333333334
Euphorbiaceae,Acalypha diversifolia,-76.213583,4.722222,18.774999618530273,178.33333333333334
Euphorbiaceae,Acalypha diversifolia,-76.138333,4.745444,18.74166663487752,186
Euphorbiaceae,Acalypha diversifolia,-76.10625,4.724,18.34166653951009,165.33333333333334
