familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Alchorneopsis floribunda,-75.4530556,-10.4375,17.18333339691162,79.16666666666667
Euphorbiaceae,Alchorneopsis floribunda,-64.457777,-9.270278,26.100000381469727,167.83333333333334
Euphorbiaceae,Alchorneopsis floribunda,-73.6425,3.614167,25.71666653951009,248
Euphorbiaceae,Alchorneopsis floribunda,-73.341,-11.78,23.46666685740153,154.66666666666666
Euphorbiaceae,Alchorneopsis floribunda,-56.548,4.532,26.633333047231037,183.16666666666666
Euphorbiaceae,Alchorneopsis floribunda,-84.1,10.4,25.241666952768963,297.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.4666667,8.6166667,26.27499993642171,242.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-83.41,10.01,25.333333333333332,293.5
Euphorbiaceae,Alchorneopsis floribunda,-83.58,8.46,25.71666653951009,305.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.49,9.49,6.350000063578288,179.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-83.71,8.66,26.18333355585734,301
Euphorbiaceae,Alchorneopsis floribunda,-86.83333,15.66666,20.166666984558105,110.91666666666667
Euphorbiaceae,Alchorneopsis floribunda,-83.37,8.77,25.97499990463257,298.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.55,8.65,25.12500015894572,269.5
Euphorbiaceae,Alchorneopsis floribunda,-84.00361,10.43138,26.008333206176758,307.9166666666667
Euphorbiaceae,Alchorneopsis floribunda,-84.00361,10.43138,26.008333206176758,307.9166666666667
Euphorbiaceae,Alchorneopsis floribunda,-88.504444,16.813056,24.133333206176758,170.16666666666666
Euphorbiaceae,Alchorneopsis floribunda,-75.5,7,16.18333339691162,220.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-75.5,7,16.18333339691162,220.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-76.5,3.75,19.62500015894572,133.41666666666666
Euphorbiaceae,Alchorneopsis floribunda,-75.4,-10.5667,18.80833371480306,108.25
Euphorbiaceae,Alchorneopsis floribunda,-75.25,-10.5,19.825000127156574,132.58333333333334
Euphorbiaceae,Alchorneopsis floribunda,-77,6,26.47500006357829,536.25
Euphorbiaceae,Alchorneopsis floribunda,-75.4,-10.5667,18.80833371480306,108.25
Euphorbiaceae,Alchorneopsis floribunda,-75,-4,26.225000222524006,209
Euphorbiaceae,Alchorneopsis floribunda,-75.5,7,16.18333339691162,220.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-75.5,7,16.18333339691162,220.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-75,-4,26.225000222524006,209
Euphorbiaceae,Alchorneopsis floribunda,-77,6,26.47500006357829,536.25
Euphorbiaceae,Alchorneopsis floribunda,-73.253731,-2.018731,26.12500015894572,236.33333333333334
Euphorbiaceae,Alchorneopsis floribunda,-78.1869,-1.4628,18.10000006357829,196.5
Euphorbiaceae,Alchorneopsis floribunda,-74.14,-9.1839,26.22499990463257,146.33333333333334
Euphorbiaceae,Alchorneopsis floribunda,-65.9119,7.0758,27.366666952768963,155.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-59,5,26.199999968210857,191.58333333333334
Euphorbiaceae,Alchorneopsis floribunda,-58.7017,4.7364,26.74999984105428,194.58333333333334
Euphorbiaceae,Alchorneopsis floribunda,-55.625,4.1006,26.40000009536743,190.58333333333334
Euphorbiaceae,Alchorneopsis floribunda,-52.8731,-10.8339,25.53333346048991,172.25
Euphorbiaceae,Alchorneopsis floribunda,-58.666667,-4.333333,27.041666507720947,189.5
Euphorbiaceae,Alchorneopsis floribunda,-65.08583,-4.14444,26.699999968210857,190.33333333333334
Euphorbiaceae,Alchorneopsis floribunda,-58.97472,4.79194,26.5,183.08333333333334
Euphorbiaceae,Alchorneopsis floribunda,-75.213,-10.245,25.208333174387615,189.25
Euphorbiaceae,Alchorneopsis floribunda,-74.9167,8.33333,27.96666653951009,236.16666666666666
Euphorbiaceae,Alchorneopsis floribunda,-65.8333,18.1833,25,187.25
Euphorbiaceae,Alchorneopsis floribunda,-75,5.96666,21.52499993642171,234.66666666666666
Euphorbiaceae,Alchorneopsis floribunda,-76.4391666,7.2475,27.050000190734863,291.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-75.18333,7.2,22.208333333333332,284.25
Euphorbiaceae,Alchorneopsis floribunda,-74.86666,6.08333,24.366666475931805,224.58333333333334
Euphorbiaceae,Alchorneopsis floribunda,-75.1333333,6.0333333,22.44166644414266,229.66666666666666
Euphorbiaceae,Alchorneopsis floribunda,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Euphorbiaceae,Alchorneopsis floribunda,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Euphorbiaceae,Alchorneopsis floribunda,-73.83611,3.8725,23.81666660308838,344.4166666666667
Euphorbiaceae,Alchorneopsis floribunda,-50.1833333,0.7,27.60000006357829,191.25
Euphorbiaceae,Alchorneopsis floribunda,-76.803981,3.595587,23.799999713897705,256.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-76.833333,3.75,19.699999968210857,197.08333333333334
Euphorbiaceae,Alchorneopsis floribunda,-78.366667,2.35,26.074999650319416,351.1666666666667
Euphorbiaceae,Alchorneopsis floribunda,-51.616667,0.166667,26.516666571299236,194.83333333333334
Euphorbiaceae,Alchorneopsis floribunda,-65.5,-2.616667,26.575000127156574,271.8333333333333
Euphorbiaceae,Alchorneopsis floribunda,-49.933333,-0.966667,26.44166660308838,215.41666666666666
Euphorbiaceae,Alchorneopsis floribunda,-49.916667,-0.983333,26.425000031789143,215.33333333333334
Euphorbiaceae,Alchorneopsis floribunda,-83.466667,8.616667,26.27499993642171,242.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-83.416667,10.016667,24.641666730244953,282
Euphorbiaceae,Alchorneopsis floribunda,-83.583334,8.466667,26.05833339691162,305.3333333333333
Euphorbiaceae,Alchorneopsis floribunda,-82.994445,9.494444,25.141666571299236,287.75
Euphorbiaceae,Alchorneopsis floribunda,-83.330556,8.753056,25.575000127156574,287.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.554167,8.659722,25.325000127156574,265.4166666666667
Euphorbiaceae,Alchorneopsis floribunda,-84.105,10.4,25.291666825612385,293.25
Euphorbiaceae,Alchorneopsis floribunda,-83.250001,8.766667,26.4333332379659,290.5833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.580557,8.716667,24.63333336512248,255.83333333333334
Euphorbiaceae,Alchorneopsis floribunda,-84.105,10.4,25.291666825612385,293.25
Euphorbiaceae,Alchorneopsis floribunda,-83.856667,10.197778,24.716667016347248,306.1666666666667
Euphorbiaceae,Alchorneopsis floribunda,-83.452778,9.972222,24.291666666666668,281.75
Euphorbiaceae,Alchorneopsis floribunda,-83.457778,8.730278,25.733333110809326,300.75
Euphorbiaceae,Alchorneopsis floribunda,-84.180556,10.686111,25.84999990463257,278.8333333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.857778,10.191111,24.616666793823242,312.0833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.857778,10.191111,24.616666793823242,312.0833333333333
Euphorbiaceae,Alchorneopsis floribunda,-83.857889,10.192083,24.716667016347248,306.1666666666667
Euphorbiaceae,Alchorneopsis floribunda,-83.25,8.76,26.133333524068195,270.9166666666667
Euphorbiaceae,Alchorneopsis floribunda,-83.56,8.71,25.233333269755047,247.16666666666666
Euphorbiaceae,Alchorneopsis floribunda,-59,-10.2,25.391666730244953,162
Euphorbiaceae,Alchorneopsis floribunda,-64.416667,4.1,24.424999872843426,247.25
Euphorbiaceae,Alchorneopsis floribunda,-58.666667,-4.333333,27.041666507720947,189.5
Euphorbiaceae,Alchorneopsis floribunda,-69.45,-3.616667,26.783333619435627,196.66666666666666
Euphorbiaceae,Alchorneopsis floribunda,-52.85,-0.533333,24.366666793823242,193.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-77.016667,-0.5,24.799999872843426,297.5
Euphorbiaceae,Alchorneopsis floribunda,-52.85,-0.45,24.474999745686848,199.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-49.933333,-0.966667,26.44166660308838,215.41666666666666
Euphorbiaceae,Alchorneopsis floribunda,-49.916667,-0.983333,26.425000031789143,215.33333333333334
Euphorbiaceae,Alchorneopsis floribunda,-59.716667,-2.4,26.43333355585734,197.5
Euphorbiaceae,Alchorneopsis floribunda,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Euphorbiaceae,Alchorneopsis floribunda,-59,-2,26.758333206176758,185.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-59.959302,-2.962611,26.541666825612385,191.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-61.043278,-5.640083,27.241666793823242,208.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-72.38778,-0.58694,26.12499984105428,227.08333333333334
Euphorbiaceae,Alchorneopsis floribunda,-69.57972,-1.03,25.800000190734863,262.9166666666667
Euphorbiaceae,Alchorneopsis floribunda,-72.13333,-0.48333,26.10000006357829,230.91666666666666
Euphorbiaceae,Alchorneopsis floribunda,-72.34972,-0.62083,26.333333333333332,225.75
Euphorbiaceae,Alchorneopsis floribunda,-72.658333,1.066667,26.050000031789143,224.33333333333334
Euphorbiaceae,Alchorneopsis floribunda,-73.38367,4.05583,25.858333269755047,253.75
Euphorbiaceae,Alchorneopsis floribunda,-70.01094,-2.55222,26.416666507720947,260.0833333333333
Euphorbiaceae,Alchorneopsis floribunda,-76.6275,1.150556,23.6833332379659,348.5
