familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Simarubaceae,Alvaradoa amorphoides,-109.214401,29.154185,22.983333269755047,38.25
Simarubaceae,Alvaradoa amorphoides,-89.942222,18.509833,25.641666889190674,88.16666666666667
Simarubaceae,Alvaradoa amorphoides,-89.923361,18.395111,25.550000349680584,92.08333333333333
Simarubaceae,Alvaradoa amorphoides,-89.896972,18.533528,25.675000031789143,86.5
Simarubaceae,Alvaradoa amorphoides,-89.894778,18.53875,25.675000031789143,86.5
Simarubaceae,Alvaradoa amorphoides,-93.475451,16.806752,23.500000317891438,86.5
Simarubaceae,Alvaradoa amorphoides,-93.100433,16.558763,23.991666952768963,80.41666666666667
Simarubaceae,Alvaradoa amorphoides,-99.295528,18.804667,22.800000190734863,82.08333333333333
Simarubaceae,Alvaradoa amorphoides,-104.092916,21.158039,25.416666666666668,73.83333333333333
Simarubaceae,Alvaradoa amorphoides,-88.296146,18.500189,26.416666666666668,103.08333333333333
Simarubaceae,Alvaradoa amorphoides,-103.364442,19.139225,23.71666669845581,72.75
Simarubaceae,Alvaradoa amorphoides,-99.510319,18.668412,23,95.25
Simarubaceae,Alvaradoa amorphoides,-99.491587,18.666578,23.766666889190674,92.33333333333333
Simarubaceae,Alvaradoa amorphoides,-93.098381,16.80546,22.958333174387615,93.75
Simarubaceae,Alvaradoa amorphoides,-93.09557,16.809589,21.86666663487752,91.08333333333333
Simarubaceae,Alvaradoa amorphoides,-93.095226,16.807575,22.958333174387615,93.75
Simarubaceae,Alvaradoa amorphoides,-93.093381,16.80813,22.958333174387615,93.75
Simarubaceae,Alvaradoa amorphoides,-93.092737,16.807671,22.958333174387615,93.75
Simarubaceae,Alvaradoa amorphoides,-93.090975,16.803462,22.325000286102295,91.16666666666667
Simarubaceae,Alvaradoa amorphoides,-80.468111,25.52262,24.233333428700764,121.33333333333333
Simarubaceae,Alvaradoa amorphoides,-99.545097,17.439193,19.0666667620341,109.41666666666667
Simarubaceae,Alvaradoa amorphoides,-99.487533,18.667403,23.458333333333332,94.41666666666667
Simarubaceae,Alvaradoa amorphoides,-93.474015,16.808193,23.533333619435627,86.66666666666667
Simarubaceae,Alvaradoa amorphoides,-93.102627,16.807355,23.43333355585734,96.41666666666667
Simarubaceae,Alvaradoa amorphoides,-93.094892,16.808082,22.958333174387615,93.75
Simarubaceae,Alvaradoa amorphoides,-93.094875,16.808745,21.86666663487752,91.08333333333333
Simarubaceae,Alvaradoa amorphoides,-93.094239,16.808513,21.86666663487752,91.08333333333333
Simarubaceae,Alvaradoa amorphoides,-93.090453,16.80901,21.766666889190674,90.91666666666667
Simarubaceae,Alvaradoa amorphoides,-89.82851,21.001029,26,73.58333333333333
Simarubaceae,Alvaradoa amorphoides,-93.092067,16.807243,22.958333174387615,93.75
Simarubaceae,Alvaradoa amorphoides,-89.758858,21.099627,25.9333332379659,68.66666666666667
Simarubaceae,Alvaradoa amorphoides,-96.21083,16.93556,21.058333079020183,88.75
Simarubaceae,Alvaradoa amorphoides,-93.085,16.736667,24.916666666666668,93.83333333333333
Simarubaceae,Alvaradoa amorphoides,-92.091667,15.708333,24.37500015894572,121
Simarubaceae,Alvaradoa amorphoides,-90.616667,14.866667,23.891666730244953,192.83333333333334
Simarubaceae,Alvaradoa amorphoides,-89.883333,16.983333,25.85000006357829,137.75
Simarubaceae,Alvaradoa amorphoides,-88.607222,21.265556,25.724999745686848,98.58333333333333
Simarubaceae,Alvaradoa amorphoides,-88.591667,19.508333,25.825000127156574,94.41666666666667
