familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Amaioua pedicellata,-84.08333,10.26666,20.141666571299236,295.3333333333333
Rubiaceae,Amaioua pedicellata,-80.61666,8.66666,21.758333206176758,290.5
Rubiaceae,Amaioua pedicellata,-81.14944,8.53,22.00833336512248,290.0833333333333
Rubiaceae,Amaioua pedicellata,-82.223333,8.801667,21.11666663487752,283.1666666666667
Rubiaceae,Amaioua pedicellata,-80.6425,8.8675,26.199999968210857,271.4166666666667
Rubiaceae,Amaioua pedicellata,-82.2,8.766667,20.241666793823242,287.3333333333333
Rubiaceae,Amaioua pedicellata,-83.857778,10.191111,24.616666793823242,312.0833333333333
Rubiaceae,Amaioua pedicellata,-82.95,9.49,25.175000031789143,264.25
Rubiaceae,Amaioua pedicellata,-83.1375,9.640278,21.74999984105428,273.1666666666667
Rubiaceae,Amaioua pedicellata,-79.266667,9.3,23.300000190734863,224.16666666666666
Rubiaceae,Amaioua pedicellata,-82.508056,9.257222,24.258333206176758,238.66666666666666
Rubiaceae,Amaioua pedicellata,-80.6,8.66666,23.39999993642171,262.5833333333333
Rubiaceae,Amaioua pedicellata,-82.983333,9.420833,23.141666571299236,276.5833333333333
Rubiaceae,Amaioua pedicellata,-83.5511,9.0519,21.85000006357829,260.5833333333333
Rubiaceae,Amaioua pedicellata,-84.01388,9.49444,21.766666571299236,237.58333333333334
Rubiaceae,Amaioua pedicellata,-84.080556,10.329167,23.71666669845581,291
Rubiaceae,Amaioua pedicellata,-84.060556,10.290833,21.958333333333332,290.1666666666667
Rubiaceae,Amaioua pedicellata,-83.76,9.29,20.983333428700764,236.41666666666666
Rubiaceae,Amaioua pedicellata,-83.764167,9.294722,21.033333619435627,252.33333333333334
Rubiaceae,Amaioua pedicellata,-83.58,9.87,20.15833346048991,258.1666666666667
Rubiaceae,Amaioua pedicellata,-80.46666,8.7,25.10000006357829,269.25
Rubiaceae,Amaioua pedicellata,-82.2,8.766667,20.241666793823242,287.3333333333333
Rubiaceae,Amaioua pedicellata,-82.195,8.776389,21.3166667620341,287.8333333333333
Rubiaceae,Amaioua pedicellata,-82.244444,8.749722,20.491666793823242,244.83333333333334
Rubiaceae,Amaioua pedicellata,-83.447222,9.808333,19.97500006357829,286.4166666666667
Rubiaceae,Amaioua pedicellata,-83.55,9.75,17.291666825612385,300.3333333333333
Rubiaceae,Amaioua pedicellata,-78.983333,9.333333,24.88333336512248,247.16666666666666
