familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Anacardiaceae,Anacardium excelsum,-85.006667,10.173333,27.124999682108562,160.5
Anacardiaceae,Anacardium excelsum,-83.9199,9.86672,18.983333269755047,153.83333333333334
Anacardiaceae,Anacardium excelsum,-83.109667,8.948694,24.758333047231037,218.58333333333334
Anacardiaceae,Anacardium excelsum,-78.1869,-1.4628,18.10000006357829,196.5
Anacardiaceae,Anacardium excelsum,-76.683814,7.664947,27.391666730244953,214.16666666666666
Anacardiaceae,Anacardium excelsum,-76.02016,8.49976,27.49166663487752,135.83333333333334
Anacardiaceae,Anacardium excelsum,-75.83014,4.58671,22.041666507720947,156.75
Anacardiaceae,Anacardium excelsum,-75.5087,3.8697,20.75833336512248,147.75
Anacardiaceae,Anacardium excelsum,-75.435599,5.058312,14.025000015894571,179.41666666666666
Anacardiaceae,Anacardium excelsum,-74.9318,6.0235,25.583333333333332,212.5
Anacardiaceae,Anacardium excelsum,-79.55,8.7833,26.86666663487752,169
Anacardiaceae,Anacardium excelsum,-73.8894,11.1177,20.825000286102295,122.66666666666667
Anacardiaceae,Anacardium excelsum,-79.53333,8.96666,NA,NA
Anacardiaceae,Anacardium excelsum,-79.39472,9.07611,26.96666685740153,182.66666666666666
Anacardiaceae,Anacardium excelsum,-79.85,9.15,26.358333428700764,200.33333333333334
Anacardiaceae,Anacardium excelsum,-79.83638,9.16361,26.30833339691162,215.33333333333334
Anacardiaceae,Anacardium excelsum,-79.83444,9.17388,26.458333333333332,228.83333333333334
Anacardiaceae,Anacardium excelsum,-79.85138,9.16527,26.24999984105428,210.5
Anacardiaceae,Anacardium excelsum,-75,10.75,27.27500009536743,86.41666666666667
Anacardiaceae,Anacardium excelsum,-77.666667,8.1,26.683333079020183,169.16666666666666
Anacardiaceae,Anacardium excelsum,-75.75,2.5,22.683333079020183,130.83333333333334
Anacardiaceae,Anacardium excelsum,-75.296148,2.811742,26.266666889190674,127.83333333333333
Anacardiaceae,Anacardium excelsum,-75.39445,7.2878,26.300000190734863,286.25
Anacardiaceae,Anacardium excelsum,-79.48333,-1.1,24.866666316986084,176.66666666666666
Anacardiaceae,Anacardium excelsum,-75.4593,10.3661,27.64999993642171,89.33333333333333
Anacardiaceae,Anacardium excelsum,-74.2661,10.2508,27.200000127156574,110.66666666666667
Anacardiaceae,Anacardium excelsum,-79.11166,8.25805,26.733333110809326,190.58333333333334
Anacardiaceae,Anacardium excelsum,-79.53305,9.21777,26.141666889190674,207.08333333333334
Anacardiaceae,Anacardium excelsum,-81.07222,8.50833,24.61666663487752,248.83333333333334
Anacardiaceae,Anacardium excelsum,-80.783333,7.95,26.675000031789143,161.75
Anacardiaceae,Anacardium excelsum,-79.88805,8.60055,27.383333047231037,169.5
Anacardiaceae,Anacardium excelsum,-77.675278,8.111667,26.891666571299236,176.16666666666666
Anacardiaceae,Anacardium excelsum,-76.3209,6.9678,23.349999745686848,291.8333333333333
Anacardiaceae,Anacardium excelsum,-76.268,6.979,23.69166644414266,222.83333333333334
Anacardiaceae,Anacardium excelsum,-76.267998,6.979,23.69166644414266,222.83333333333334
Anacardiaceae,Anacardium excelsum,-75.8773,4.17254,16.68333339691162,148.66666666666666
Anacardiaceae,Anacardium excelsum,-74.898201,5.19923,26.00000015894572,224.58333333333334
Anacardiaceae,Anacardium excelsum,-74.8982,5.19923,26.00000015894572,224.58333333333334
Anacardiaceae,Anacardium excelsum,-74.1282,11.2368,27.925000190734863,69.33333333333333
Anacardiaceae,Anacardium excelsum,-83.9199,9.86672,18.983333269755047,153.83333333333334
Anacardiaceae,Anacardium excelsum,-74.120174,10.868953,26.424999554951984,90.25
Anacardiaceae,Anacardium excelsum,-79.83444,9.17388,26.458333333333332,228.83333333333334
Anacardiaceae,Anacardium excelsum,-82.52666,8.46666,26.21666669845581,248.41666666666666
Anacardiaceae,Anacardium excelsum,-78.975,9.216111,26.800000031789143,199.75
Anacardiaceae,Anacardium excelsum,-76.83333,7.75,27.34166669845581,217.08333333333334
Anacardiaceae,Anacardium excelsum,-76.83,7.75,27.34166669845581,217.08333333333334
Anacardiaceae,Anacardium excelsum,-76.746111,7.931111,27.09166653951009,175.58333333333334
Anacardiaceae,Anacardium excelsum,-73.800833,8.420278,28.46666669845581,196.33333333333334
Anacardiaceae,Anacardium excelsum,-79.83778,9.16361,26.30833339691162,215.33333333333334
Anacardiaceae,Anacardium excelsum,-85.13138,10.45472,27.27499993642171,160.33333333333334
Anacardiaceae,Anacardium excelsum,-79.562222,8.977222,26.916666825612385,177.41666666666666
Anacardiaceae,Anacardium excelsum,-79.51583,8.98305,27.124999682108562,180.25
Anacardiaceae,Anacardium excelsum,-78.208333,8.666667,25.233333428700764,206.66666666666666
Anacardiaceae,Anacardium excelsum,-78.2,8.85,26.324999809265137,197.33333333333334
