familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Anaxagorea phaeocarpa,-49.916667,-0.983333,26.425000031789143,215.33333333333334
Annonaceae,Anaxagorea phaeocarpa,-50.5,-0.25,26.708333333333332,201.33333333333334
Annonaceae,Anaxagorea phaeocarpa,-49.933333,-0.95,26.425000031789143,215.91666666666666
Annonaceae,Anaxagorea phaeocarpa,-50.166667,-1,26.325000127156574,208.16666666666666
Annonaceae,Anaxagorea phaeocarpa,-75.6075,1.605556,25.69166660308838,273.6666666666667
Annonaceae,Anaxagorea phaeocarpa,-70.25,-3.783333,26.633333524068195,245.75
Annonaceae,Anaxagorea phaeocarpa,-76.62424,5.64389,26.875,619.9166666666666
Annonaceae,Anaxagorea phaeocarpa,-70.033333,-3.016667,26.691667079925537,247.58333333333334
Annonaceae,Anaxagorea phaeocarpa,-70.25,-3.7,26.550000031789143,245.91666666666666
Annonaceae,Anaxagorea phaeocarpa,-70.13494,-3.12617,26.700000445048016,246.66666666666666
Annonaceae,Anaxagorea phaeocarpa,-52.391389,1.203889,25.96666653951009,198.91666666666666
Annonaceae,Anaxagorea phaeocarpa,-52.381667,1.188333,26.00833336512248,199.5
Annonaceae,Anaxagorea phaeocarpa,-52.425,1.237222,25.899999618530273,198.16666666666666
Annonaceae,Anaxagorea phaeocarpa,-52.44,0.31,25.15000009536743,199.75
Annonaceae,Anaxagorea phaeocarpa,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Annonaceae,Anaxagorea phaeocarpa,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Annonaceae,Anaxagorea phaeocarpa,-72.05,-0.75,26.366666793823242,230.25
Annonaceae,Anaxagorea phaeocarpa,-72.05,-0.7,26.291666507720947,231.5
Annonaceae,Anaxagorea phaeocarpa,-70,-3.03,26.700000445048016,247.25
Annonaceae,Anaxagorea phaeocarpa,-70.2,-2.51,26.391666571299236,260.3333333333333
Annonaceae,Anaxagorea phaeocarpa,-70.07,-2.5,26.37499984105428,261.0833333333333
Annonaceae,Anaxagorea phaeocarpa,-70.33,-3.67,26.650000254313152,245.66666666666666
Annonaceae,Anaxagorea phaeocarpa,-70.18,-2.52,26.40833330154419,260.1666666666667
Annonaceae,Anaxagorea phaeocarpa,-69.51,-1.07,25.93333355585734,263.6666666666667
Annonaceae,Anaxagorea phaeocarpa,-70.96,1.38,26.09166653951009,244.66666666666666
Annonaceae,Anaxagorea phaeocarpa,-70.95,1.41,26.09999990463257,240.66666666666666
Annonaceae,Anaxagorea phaeocarpa,-70.18,-2.52,26.40833330154419,260.1666666666667
Annonaceae,Anaxagorea phaeocarpa,-70.19,0.64,25.61666663487752,268.5833333333333
Annonaceae,Anaxagorea phaeocarpa,-70.17,-0.64,25.891666412353516,251.91666666666666
Annonaceae,Anaxagorea phaeocarpa,-72.35,-0.42,26.383333524068195,226.41666666666666
Annonaceae,Anaxagorea phaeocarpa,-74,0.71,25.72499990463257,221.91666666666666
Annonaceae,Anaxagorea phaeocarpa,-49.516667,-19.916667,23.65833346048991,104.91666666666667
Annonaceae,Anaxagorea phaeocarpa,-83.51,10.11,25.916666507720947,307.5
Annonaceae,Anaxagorea phaeocarpa,-55.287667,-11.581667,24.800000031789143,153
Annonaceae,Anaxagorea phaeocarpa,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
