familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Annona pittieri,-84.01,10.43,25.949999809265137,317.4166666666667
Annonaceae,Annona pittieri,-83.96,10.5,26.016666571299236,308
Annonaceae,Annona pittieri,-83.76,9.21,23.866666793823242,242.83333333333334
Annonaceae,Annona pittieri,-83.515278,8.7,26.125000317891438,247.33333333333334
Annonaceae,Annona pittieri,-83.21667,8.68333,25.69166644414266,249.16666666666666
Annonaceae,Annona pittieri,-82.966667,9.4,22.708333015441895,277.8333333333333
Annonaceae,Annona pittieri,-83.9519,10.0114,17.35000006357829,334.6666666666667
Annonaceae,Annona pittieri,-85.05,10.73,23.733333110809326,281
Annonaceae,Annona pittieri,-83.97361,10.11638,20.858333587646484,294.9166666666667
Annonaceae,Annona pittieri,-85.05,10.83,26.28333346048991,243
Annonaceae,Annona pittieri,-85.043004,10.838197,26.30833355585734,234.66666666666666
Annonaceae,Annona pittieri,-83.283333,9.625,20.508333524068195,257.8333333333333
Annonaceae,Annona pittieri,-85.81667,10.76667,NA,NA
Annonaceae,Annona pittieri,-85.81,10.76,NA,NA
Annonaceae,Annona pittieri,-85.32,10.8,18.574999968210857,192.91666666666666
Annonaceae,Annona pittieri,-85.316667,10.766667,21.40833346048991,166
Annonaceae,Annona pittieri,-84.8333,10,26.93333339691162,153
Annonaceae,Annona pittieri,-83.6,8.73,25.12500015894572,244.66666666666666
Annonaceae,Annona pittieri,-83.6,8.73333,25.12500015894572,244.66666666666666
Annonaceae,Annona pittieri,-83.55,8.7,25.19166644414266,257.0833333333333
Annonaceae,Annona pittieri,-82.969445,9.408333,23.72499990463257,281.5833333333333
Annonaceae,Annona pittieri,-82.96,9.4,22.608333428700764,270.9166666666667
Annonaceae,Annona pittieri,-84.8333,10,26.93333339691162,153
Annonaceae,Annona pittieri,-84.716667,10.416667,21.300000031789143,290.1666666666667
Annonaceae,Annona pittieri,-84.058333,10.405,25.59166685740153,309.5833333333333
Annonaceae,Annona pittieri,-83.590278,8.645833,24.21666653951009,284
Annonaceae,Annona pittieri,-83.59,8.64,24.12499984105428,289.9166666666667
Annonaceae,Annona pittieri,-83.47,8.52,22.991666793823242,277.3333333333333
Annonaceae,Annona pittieri,-83.47,8.526389,23.858333428700764,262.0833333333333
Annonaceae,Annona pittieri,-83.022222,9.675,25.64999993642171,256.5833333333333
Annonaceae,Annona pittieri,-83.02,9.67,25.64999993642171,256.5833333333333
Annonaceae,Annona pittieri,-83.561111,8.705556,25.34166685740153,254.41666666666666
Annonaceae,Annona pittieri,-83.56,8.7,25.233333269755047,236.25
Annonaceae,Annona pittieri,-83.51,8.71,24.21666653951009,261.6666666666667
Annonaceae,Annona pittieri,-83.188889,8.673611,25.508333206176758,260
Annonaceae,Annona pittieri,-83.18,8.67,25.325000127156574,255.08333333333334
Annonaceae,Annona pittieri,-84.2,8.67,NA,NA
Annonaceae,Annona pittieri,-83.763889,9.211111,23.866666793823242,242.83333333333334
Annonaceae,Annona pittieri,-83.76388,9.21111,23.866666793823242,242.83333333333334
Annonaceae,Annona pittieri,-83.55,8.7,25.19166644414266,257.0833333333333
Annonaceae,Annona pittieri,-83.51667,8.71667,23.858333428700764,289.75
Annonaceae,Annona pittieri,-83.51,8.71,24.21666653951009,261.6666666666667
Annonaceae,Annona pittieri,-83.201389,8.673611,25.891666571299236,260.0833333333333
Annonaceae,Annona pittieri,-83.19,8.67,25.508333206176758,260
Annonaceae,Annona pittieri,-82.96,8.79,20.6833332379659,222.83333333333334
Annonaceae,Annona pittieri,-83.341667,9.783333,21.22499990463257,242.5
Annonaceae,Annona pittieri,-83.34166,9.78333,20.625,257.8333333333333
Annonaceae,Annona pittieri,-83.34,9.78,20.625,257.8333333333333
Annonaceae,Annona pittieri,-83.19444,8.68611,25.94166644414266,266
Annonaceae,Annona pittieri,-83.19,8.68,25.55833339691162,257.75
Annonaceae,Annona pittieri,-84.93055,10.58888,22.174999872843426,293.25
Annonaceae,Annona pittieri,-84.93,10.58,22.141666412353516,302.3333333333333
Annonaceae,Annona pittieri,-84.6,10.58,25.541666666666668,271.25
Annonaceae,Annona pittieri,-83.45055,9.97333,24.291666666666668,281.75
Annonaceae,Annona pittieri,-83.533333,10.583333,26.300000031789143,350.1666666666667
Annonaceae,Annona pittieri,-83.53,10.58,26.300000031789143,350.1666666666667
Annonaceae,Annona pittieri,-82.972465,9.626071,24.80833339691162,264.4166666666667
Annonaceae,Annona pittieri,-82.941497,9.622395,24.041666666666668,247.5
Annonaceae,Annona pittieri,-83.450556,9.973333,24.291666666666668,281.75
Annonaceae,Annona pittieri,-83.45,9.97,24.291666666666668,283.9166666666667
Annonaceae,Annona pittieri,-83.21667,8.68333,25.69166644414266,249.16666666666666
Annonaceae,Annona pittieri,-83.856944,10.19,24.616666793823242,312.0833333333333
Annonaceae,Annona pittieri,-83.84,10.18,24.333333333333332,295.6666666666667
Annonaceae,Annona pittieri,-83.452778,9.972222,24.291666666666668,281.75
Annonaceae,Annona pittieri,-83.45277,9.97222,24.291666666666668,281.75
Annonaceae,Annona pittieri,-83.45,9.97,24.291666666666668,283.9166666666667
Annonaceae,Annona pittieri,-83.433333,8.533333,24.55833339691162,280.8333333333333
Annonaceae,Annona pittieri,-83.43333,8.53333,24.55833339691162,280.8333333333333
Annonaceae,Annona pittieri,-84.6,10.219444,21.34166685740153,290.4166666666667
Annonaceae,Annona pittieri,-83.97917,9.54306,19.641666571299236,250.08333333333334
Annonaceae,Annona pittieri,-83.979167,9.543056,19.641666571299236,250.08333333333334
Annonaceae,Annona pittieri,-83.97,9.52,20.774999777475994,240.33333333333334
Annonaceae,Annona pittieri,-83.796667,9.497778,18.116666475931805,234.66666666666666
Annonaceae,Annona pittieri,-84.117778,10.236389,18.700000286102295,250.58333333333334
Annonaceae,Annona pittieri,-83.06667,9.105556,18.10000006357829,282.5833333333333
Annonaceae,Annona pittieri,-83.066667,9.105556,18.10000006357829,282.5833333333333
Annonaceae,Annona pittieri,-83.02,9.05,18.65833314259847,281.3333333333333
Annonaceae,Annona pittieri,-83.449917,9.969806,24.291666666666668,283.9166666666667
Annonaceae,Annona pittieri,-83.274444,9.619167,20.975000222524006,258.0833333333333
Annonaceae,Annona pittieri,-83.27444,9.619167,20.975000222524006,258.0833333333333
Annonaceae,Annona pittieri,-83.19,9.455556,20.24166663487752,242.16666666666666
Annonaceae,Annona pittieri,-83.186389,9.459444,21.40833346048991,246.58333333333334
Annonaceae,Annona pittieri,-83.088808,9.119889,16.6333331267039,275.5833333333333
Annonaceae,Annona pittieri,-83.0888,9.119889,16.6333331267039,275.5833333333333
Annonaceae,Annona pittieri,-85.08675,10.728944,22.649999777475994,283.25
