familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Primulaceae,Ardisia capitellata,-82.95,8.78,20.88333336512248,241
Primulaceae,Ardisia capitellata,-83.0833333,8.9666667,24.55833339691162,201.66666666666666
Primulaceae,Ardisia capitellata,-82.838258,8.952162,18.00833336512248,272.8333333333333
Primulaceae,Ardisia capitellata,-82.7666667,8.95,17.016666571299236,215.16666666666666
Primulaceae,Ardisia capitellata,-82.9833333,9.0333333,18.28333330154419,262.9166666666667
Primulaceae,Ardisia capitellata,-82.96,8.79,20.6833332379659,222.83333333333334
Primulaceae,Ardisia capitellata,-82.836111,8.952778,18.00833336512248,272.8333333333333
Primulaceae,Ardisia capitellata,-83.041695,9.034432,21.5583332379659,243.5
Primulaceae,Ardisia capitellata,-82.838258,8.952162,18.00833336512248,272.8333333333333
Primulaceae,Ardisia capitellata,-82.963333,9.025,17.800000031789143,262.9166666666667
Primulaceae,Ardisia capitellata,-82.961113,9.025,17.800000031789143,262.9166666666667
Primulaceae,Ardisia capitellata,-82.961111,9.025,17.800000031789143,262.9166666666667
Primulaceae,Ardisia capitellata,-83.074861,9.124422,16.541666746139526,263.5833333333333
Primulaceae,Ardisia capitellata,-82.835552,8.942209,18.674999872843426,256.4166666666667
Primulaceae,Ardisia capitellata,-82.99179,9.031144,18.3166667620341,270.0833333333333
Primulaceae,Ardisia capitellata,-82.851837,8.979319,15.083333253860474,261.1666666666667
Primulaceae,Ardisia capitellata,-82.964502,9.031997,16.416666587193806,271.9166666666667
Primulaceae,Ardisia capitellata,-83.09627,9.1074131,18.900000254313152,279
Primulaceae,Ardisia capitellata,-83.09145,9.1191687,16.6333331267039,275.5833333333333
Primulaceae,Ardisia capitellata,-83.088808,9.119889,16.6333331267039,275.5833333333333
Primulaceae,Ardisia capitellata,-83.08539,9.1187781,16.6333331267039,275.5833333333333
Primulaceae,Ardisia capitellata,-83.071667,9.124167,16.541666746139526,263.5833333333333
