familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Primulaceae,Ardisia dodgei,-83.454919,8.73059,25.733333110809326,300.75
Primulaceae,Ardisia dodgei,-83.2167,8.68333,25.69166644414266,249.16666666666666
Primulaceae,Ardisia dodgei,-83.21,8.68,25.22499990463257,247.66666666666666
Primulaceae,Ardisia dodgei,-83.21,8.68,25.22499990463257,247.66666666666666
Primulaceae,Ardisia dodgei,-83.2167,8.68333,25.69166644414266,249.16666666666666
Primulaceae,Ardisia dodgei,-83.222222,8.686111,25.541666666666668,242.91666666666666
Primulaceae,Ardisia dodgei,-83.603333,8.616667,25.208333174387615,262.75
Primulaceae,Ardisia dodgei,-83.528333,8.713889,24.416666825612385,286.0833333333333
Primulaceae,Ardisia dodgei,-76.105278,1.633056,17.266666571299236,188.08333333333334
Primulaceae,Ardisia dodgei,-83.454167,8.731111,25.733333110809326,300.75
Primulaceae,Ardisia dodgei,-83.250001,8.766667,26.4333332379659,290.5833333333333
Primulaceae,Ardisia dodgei,-83.210487,8.70505,26.041666666666668,265.6666666666667
Primulaceae,Ardisia dodgei,-73.175811,6.052527,14.358333349227905,100
Primulaceae,Ardisia dodgei,-83.383333,8.752778,26.016666571299236,283.6666666666667
Primulaceae,Ardisia dodgei,-83.377778,8.772222,25.983333269755047,300.5
Primulaceae,Ardisia dodgei,-83.393056,8.770833,25.52499993642171,280.4166666666667
Primulaceae,Ardisia dodgei,-83.390278,8.754167,25.916666666666668,295
Primulaceae,Ardisia dodgei,-83.39,8.75,26.008333206176758,293.8333333333333
Primulaceae,Ardisia dodgei,-84.11,9.5,26.233333746592205,269.8333333333333
Primulaceae,Ardisia dodgei,-83.42766,8.525,24.97499990463257,289.1666666666667
Primulaceae,Ardisia dodgei,-83.55,8.45,25.458333333333332,291.5833333333333
Primulaceae,Ardisia dodgei,-83.21,8.68,25.22499990463257,247.66666666666666
Primulaceae,Ardisia dodgei,-83.42,8.52,24.84166685740153,289.3333333333333
Primulaceae,Ardisia dodgei,-83.56,8.45,25.62500015894572,293.4166666666667
Primulaceae,Ardisia dodgei,-83.2167,8.68333,25.69166644414266,249.16666666666666
Primulaceae,Ardisia dodgei,-83.21,8.68,25.22499990463257,247.66666666666666
Primulaceae,Ardisia dodgei,-83.566667,8.7,25.5,239.91666666666666
Primulaceae,Ardisia dodgei,-83.55,8.680556,25.241666475931805,238.33333333333334
Primulaceae,Ardisia dodgei,-83.377778,9.322222,16.049999952316284,288.25
Primulaceae,Ardisia dodgei,-83.522222,8.675,26.21666653951009,240.5
Primulaceae,Ardisia dodgei,-83.566667,8.7,25.5,239.91666666666666
Primulaceae,Ardisia dodgei,-83.56,8.7,25.233333269755047,236.25
Primulaceae,Ardisia dodgei,-83.56666,8.7,25.233333269755047,236.25
Primulaceae,Ardisia dodgei,-83.55,8.680556,25.241666475931805,238.33333333333334
Primulaceae,Ardisia dodgei,-83.538889,8.652778,24.77499993642171,251.25
Primulaceae,Ardisia dodgei,-83.4525,8.7325,25.733333110809326,300.75
Primulaceae,Ardisia dodgei,-83.45466,8.7305,25.733333110809326,300.75
Primulaceae,Ardisia dodgei,-83.3667,8.75,25.97499990463257,279.0833333333333
Primulaceae,Ardisia dodgei,-83.37,8.75,25.97499990463257,279.0833333333333
Primulaceae,Ardisia dodgei,-83.5167,8.6667,26.21666653951009,240.5
Primulaceae,Ardisia dodgei,-83.52,8.67,26.21666653951009,240.5
Primulaceae,Ardisia dodgei,-83.37,8.77,25.97499990463257,298.5833333333333
Primulaceae,Ardisia dodgei,-83.39,8.77,25.88333336512248,292
Primulaceae,Ardisia dodgei,-83.37,8.75,25.97499990463257,279.0833333333333
Primulaceae,Ardisia dodgei,-83.37,8.77,25.97499990463257,298.5833333333333
Primulaceae,Ardisia dodgei,-83.45,8.73,25.833333333333332,294
Primulaceae,Ardisia dodgei,-83.39305,8.77083,25.52499993642171,280.4166666666667
Primulaceae,Ardisia dodgei,-83.39,8.75,26.008333206176758,293.8333333333333
Primulaceae,Ardisia dodgei,-83.55,8.68,25.241666475931805,238.33333333333334
Primulaceae,Ardisia dodgei,-83.55,8.68,25.241666475931805,238.33333333333334
Primulaceae,Ardisia dodgei,-83.52,8.67,26.21666653951009,240.5
Primulaceae,Ardisia dodgei,-83.45,8.73,25.833333333333332,294
Primulaceae,Ardisia dodgei,-83.43,8.718333,25.9333332379659,258.0833333333333
Primulaceae,Ardisia dodgei,-83.16,8.65,25.241666475931805,287.5833333333333
Primulaceae,Ardisia dodgei,-83.583338,8.466667,26.05833339691162,305.3333333333333
Primulaceae,Ardisia dodgei,-83.21016,8.705,26.041666666666668,265.6666666666667
Primulaceae,Ardisia dodgei,-84,9.6667,17.50833336512248,180.33333333333334
Primulaceae,Ardisia dodgei,-83.21667,8.68333,25.69166644414266,249.16666666666666
