familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Arecaceae,Astrocaryum confertum,-84.166667,10.383333,24.99166663487752,287.3333333333333
Arecaceae,Astrocaryum confertum,-84.16,10.38,25.09166685740153,289.3333333333333
Arecaceae,Astrocaryum confertum,-84.16,10.38,25.09166685740153,289.3333333333333
Arecaceae,Astrocaryum confertum,-84.016668,10.433333,25.949999809265137,316.25
Arecaceae,Astrocaryum confertum,-83.633333,10.683333,26.299999872843426,305.3333333333333
Arecaceae,Astrocaryum confertum,-83.63,10.68,26.299999872843426,305.3333333333333
Arecaceae,Astrocaryum confertum,-78.966667,9.333333,24.86666663487752,235.91666666666666
Arecaceae,Astrocaryum confertum,-84.01,10.43,25.949999809265137,317.4166666666667
Arecaceae,Astrocaryum confertum,-84.003611,10.431389,26.008333206176758,307.9166666666667
Arecaceae,Astrocaryum confertum,-80.665833,8.823472,25.5583332379659,249.16666666666666
Arecaceae,Astrocaryum confertum,-83.581556,10.427306,26.15833346048991,306
Arecaceae,Astrocaryum confertum,-78.8,9.383333,24.483333269755047,272.75
