familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Batocarpus costaricensis,-77.208,-2.262,24.949999650319416,279.3333333333333
Moraceae,Batocarpus costaricensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
Moraceae,Batocarpus costaricensis,-74.6994,5.52082,27.708333174387615,194.41666666666666
Moraceae,Batocarpus costaricensis,-74.68404,5.52364,27.724999745686848,184.16666666666666
Moraceae,Batocarpus costaricensis,-77.5,7.733333,25.97500006357829,202.25
Moraceae,Batocarpus costaricensis,-82.88333,8.11666,25.78333346048991,267.4166666666667
Moraceae,Batocarpus costaricensis,-82.876667,8.230556,25.816666920979817,291.75
Moraceae,Batocarpus costaricensis,-84.55,9.72,24.35000006357829,235.58333333333334
Moraceae,Batocarpus costaricensis,-84.55,9.73,24.09166669845581,236.58333333333334
Moraceae,Batocarpus costaricensis,-84,9.6667,17.50833336512248,180.33333333333334
Moraceae,Batocarpus costaricensis,-77.137569,7.899243,26.31666660308838,184.91666666666666
Moraceae,Batocarpus costaricensis,-84.14,9.38,26.433333079020183,190.83333333333334
Moraceae,Batocarpus costaricensis,-83.6,8.483333,26.258333206176758,305.3333333333333
Moraceae,Batocarpus costaricensis,-75,-4,26.225000222524006,209
Moraceae,Batocarpus costaricensis,-75.08333,-10.5,23.84166669845581,174.16666666666666
Moraceae,Batocarpus costaricensis,-76.718025,7.373852,27.708333333333332,255.5
Moraceae,Batocarpus costaricensis,-72.83333,-3.46666,26.224999745686848,258
Moraceae,Batocarpus costaricensis,-71.36666,-11.86666,25.02500009536743,214
Moraceae,Batocarpus costaricensis,-83.583333,8.5,25.74999984105428,278.4166666666667
Moraceae,Batocarpus costaricensis,-84.141667,9.383333,26.458333015441895,201.25
Moraceae,Batocarpus costaricensis,-77.6,-2.78333,25.74166663487752,231.33333333333334
Moraceae,Batocarpus costaricensis,-70.25,-12,24.558333079020183,225.75
Moraceae,Batocarpus costaricensis,-77.61666,-1.06666,23.94166660308838,355.3333333333333
Moraceae,Batocarpus costaricensis,-77.6,-1.06666,23.958333174387615,355.3333333333333
Moraceae,Batocarpus costaricensis,-76.62472,8.002608,27.041666507720947,194.08333333333334
Moraceae,Batocarpus costaricensis,-73.91666,-8.03333,25.55833339691162,159.75
Moraceae,Batocarpus costaricensis,-84.8333,10,26.93333339691162,153
Moraceae,Batocarpus costaricensis,-83.583337,8.466667,26.05833339691162,305.3333333333333
Moraceae,Batocarpus costaricensis,-83.583336,8.466667,26.05833339691162,305.3333333333333
Moraceae,Batocarpus costaricensis,-83.583335,8.466667,26.05833339691162,305.3333333333333
Moraceae,Batocarpus costaricensis,-83.58,8.46,25.71666653951009,305.5833333333333
Moraceae,Batocarpus costaricensis,-83.55,8.45,25.458333333333332,291.5833333333333
Moraceae,Batocarpus costaricensis,-69.28333,-12.83333,25.266666730244953,204.75
Moraceae,Batocarpus costaricensis,-77.6,-1.06666,23.958333174387615,355.3333333333333
Moraceae,Batocarpus costaricensis,-69.283333,-12.833333,25.266666730244953,204.75
Moraceae,Batocarpus costaricensis,-69.28333,-12.83333,25.266666730244953,204.75
Moraceae,Batocarpus costaricensis,-69.15944,-12.66305,25.416666825612385,182.83333333333334
Moraceae,Batocarpus costaricensis,-69.08333,-12.58333,25.383333524068195,173.41666666666666
Moraceae,Batocarpus costaricensis,-69.05,-12.55,25.400000254313152,171.5
Moraceae,Batocarpus costaricensis,-83.516667,8.7,25.516666571299236,242.16666666666666
Moraceae,Batocarpus costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Moraceae,Batocarpus costaricensis,-83.316667,8.425,24.96666669845581,240.5
Moraceae,Batocarpus costaricensis,-83.31,8.42,25.09166669845581,242
Moraceae,Batocarpus costaricensis,-69.28333,-12.83333,25.266666730244953,204.75
Moraceae,Batocarpus costaricensis,-69.28,-12.83,25.266666730244953,204.75
Moraceae,Batocarpus costaricensis,-83.584722,8.733333,25.733333110809326,253.75
Moraceae,Batocarpus costaricensis,-83.58,8.73,25.46666669845581,249.91666666666666
Moraceae,Batocarpus costaricensis,-83.466667,8.983333,25.424999872843426,289.4166666666667
Moraceae,Batocarpus costaricensis,-83.46,8.98,25.208333174387615,240.33333333333334
Moraceae,Batocarpus costaricensis,-75.41666,-11.08333,18.03333314259847,126.5
Moraceae,Batocarpus costaricensis,-69.05,-12.48333,25.383333524068195,169
Moraceae,Batocarpus costaricensis,-62.61666,-14.63333,25.63333336512248,108
Moraceae,Batocarpus costaricensis,-61.5,-17.5,25.733333269755047,82.66666666666667
Moraceae,Batocarpus costaricensis,-83.583333,8.675,24.199999809265137,263
Moraceae,Batocarpus costaricensis,-83.58,8.67,24.199999809265137,263
Moraceae,Batocarpus costaricensis,-83.514444,8.704167,25.53333330154419,254.83333333333334
Moraceae,Batocarpus costaricensis,-83.5144,8.7042,25.53333330154419,254.83333333333334
Moraceae,Batocarpus costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Moraceae,Batocarpus costaricensis,-83.51,8.71,24.21666653951009,261.6666666666667
Moraceae,Batocarpus costaricensis,-83.466667,8.641667,26.44166660308838,235.83333333333334
Moraceae,Batocarpus costaricensis,-83.466667,8.65,26.44166660308838,235.83333333333334
Moraceae,Batocarpus costaricensis,-83.46,8.64,26.424999872843426,252.16666666666666
Moraceae,Batocarpus costaricensis,-83.46,8.65,26.44166660308838,256.1666666666667
Moraceae,Batocarpus costaricensis,-83.266667,8.869444,23.75,238.75
Moraceae,Batocarpus costaricensis,-83.26,8.86,23.483333746592205,237.83333333333334
