familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Bauhinia ungulata,-107.738056,27.027222,23.983333269755047,61.583333333333336
Fabaceae,Bauhinia ungulata,-105.04624204,19.50712243,25.3083332379659,77.33333333333333
Fabaceae,Bauhinia ungulata,-105.03399171,19.49562302,25.233333428700764,79.33333333333333
Fabaceae,Bauhinia ungulata,-104.99215795,19.54653677,25.125,88.66666666666667
Fabaceae,Bauhinia ungulata,-104.97829616,19.43004231,25.325000127156574,81.91666666666667
Fabaceae,Bauhinia ungulata,-54.892,-19.578,24.274999777475994,118.91666666666667
Fabaceae,Bauhinia ungulata,-104.96398,19.445733,25.199999650319416,87.33333333333333
Fabaceae,Bauhinia ungulata,-89.683327,20.428354,25.574999968210857,91.91666666666667
Fabaceae,Bauhinia ungulata,-105.046,19.507,25.3083332379659,77.33333333333333
Fabaceae,Bauhinia ungulata,-105.034,19.495,25.233333428700764,79.33333333333333
Fabaceae,Bauhinia ungulata,-104.992,19.546,25.125,88.66666666666667
Fabaceae,Bauhinia ungulata,-104.978,19.429,25.325000127156574,81.91666666666667
Fabaceae,Bauhinia ungulata,-58.7017,4.7364,26.74999984105428,194.58333333333334
Fabaceae,Bauhinia ungulata,-54.740486,-2.449614,26.483333269755047,180.58333333333334
Fabaceae,Bauhinia ungulata,-96.931667,18.891111,21.633333206176758,135.58333333333334
Fabaceae,Bauhinia ungulata,-85.966667,11.933333,26.65833330154419,127.33333333333333
Fabaceae,Bauhinia ungulata,-58.391024,-23.236211,23.916666507720947,91.25
Fabaceae,Bauhinia ungulata,-43.0084,-22.5309,21.40000009536743,125.91666666666667
Fabaceae,Bauhinia ungulata,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Bauhinia ungulata,-94.43,18.141667,26.19166644414266,237.5
Fabaceae,Bauhinia ungulata,-96.8675,19.260833,20.72499990463257,112.75
Fabaceae,Bauhinia ungulata,-58.391024,-23.236211,23.916666507720947,91.25
Fabaceae,Bauhinia ungulata,-57.11278,-13.33944,24.38333336512248,165.5
Fabaceae,Bauhinia ungulata,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Bauhinia ungulata,-89.009722,20.819444,25.77500009536743,83.83333333333333
Fabaceae,Bauhinia ungulata,-88.71,20.5,25.824999809265137,98.75
Fabaceae,Bauhinia ungulata,-89.55972,13.99416,23.64999993642171,134.83333333333334
Fabaceae,Bauhinia ungulata,-105.38,22.493056,25.700000127156574,107
Fabaceae,Bauhinia ungulata,-44.45664731,-18.38457882,21.983333110809326,88.08333333333333
Fabaceae,Bauhinia ungulata,-100.24,18.85,23.516666730244953,105.91666666666667
Fabaceae,Bauhinia ungulata,-100.23305,18.85,22.916666825612385,110.25
Fabaceae,Bauhinia ungulata,-100.15,18.8,23.34999990463257,105.41666666666667
Fabaceae,Bauhinia ungulata,-99.67,18.84,18.649999618530273,83
Fabaceae,Bauhinia ungulata,-100.59,18.32,28.333333174387615,83.08333333333333
Fabaceae,Bauhinia ungulata,-90.11472,16.78805,25.758333524068195,188
Fabaceae,Bauhinia ungulata,-38.65296503,-3.73951237,26.424999713897705,117
Fabaceae,Bauhinia ungulata,-101.61,17.98,24.866666952768963,81.66666666666667
Fabaceae,Bauhinia ungulata,-81.209167,8.323333,25.475000222524006,233.41666666666666
Fabaceae,Bauhinia ungulata,-84.7,9.85,NA,NA
Fabaceae,Bauhinia ungulata,-84.65,9.86,26.74166663487752,173.5
