familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Beilschmiedia alloiophylla,-83.40820313,8.849635,26.5,310.8333333333333
Lauraceae,Beilschmiedia alloiophylla,-83.34228516,9.76033326,22.358333269755047,267.9166666666667
Lauraceae,Beilschmiedia alloiophylla,-82.96875,9.78198717,25.741666475931805,261.9166666666667
Lauraceae,Beilschmiedia alloiophylla,-82.28759766,8.74106364,22.46666669845581,220.83333333333334
Lauraceae,Beilschmiedia alloiophylla,-79.91455078,-1.7688381,25.21666669845581,88.16666666666667
Lauraceae,Beilschmiedia alloiophylla,-79.82666016,-3.48084315,23.333333492279053,66
Lauraceae,Beilschmiedia alloiophylla,-79.69482422,-1.90060642,25.22500006357829,113.91666666666667
Lauraceae,Beilschmiedia alloiophylla,-79.60693359,9.45703209,22.850000222524006,248.66666666666666
Lauraceae,Beilschmiedia alloiophylla,-79.25537109,-2.31780312,24.766666412353516,153.83333333333334
Lauraceae,Beilschmiedia alloiophylla,-78.96972656,0.80165548,25.30833355585734,200.58333333333334
Lauraceae,Beilschmiedia alloiophylla,-78.46435547,0.40617043,15.674999952316284,88.5
Lauraceae,Beilschmiedia alloiophylla,-77.62939453,8.41516124,26.266666571299236,170.91666666666666
Lauraceae,Beilschmiedia alloiophylla,-76.90429688,3.36795515,18.1916667620341,184.83333333333334
Lauraceae,Beilschmiedia alloiophylla,-75.30029297,10.62535961,27.325000127156574,92.58333333333333
Lauraceae,Beilschmiedia alloiophylla,-69.10400391,6.43251272,27.55833339691162,192.41666666666666
