familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Bellucia grossularioides,-73.786075,7.106122,28.12500015894572,231
Melastomataceae,Bellucia grossularioides,-55.931152,-9.597601,26.71666653951009,184.41666666666666
Melastomataceae,Bellucia grossularioides,-96.134224,19.173773,25.758333524068195,124.58333333333333
Melastomataceae,Bellucia grossularioides,-73.580391,4.075031,25.300000190734863,296.3333333333333
Melastomataceae,Bellucia grossularioides,-73.581928,4.273852,23.96666669845581,312.8333333333333
Melastomataceae,Bellucia grossularioides,-73.581864,4.273786,23.96666669845581,312.8333333333333
Melastomataceae,Bellucia grossularioides,-73.548439,4.257953,24.641666889190674,311.9166666666667
Melastomataceae,Bellucia grossularioides,-73.879017,7.179883,28.083333492279053,228.83333333333334
Melastomataceae,Bellucia grossularioides,-75.6075,1.606389,25.69166660308838,273.6666666666667
Melastomataceae,Bellucia grossularioides,-52.33,4.93,26.00833336512248,242.83333333333334
Melastomataceae,Bellucia grossularioides,-52.8731,-10.8339,25.53333346048991,172.25
Melastomataceae,Bellucia grossularioides,-55,-10,26.75833336512248,189.33333333333334
Melastomataceae,Bellucia grossularioides,-53.08982,-10.773109,25.88333336512248,176.08333333333334
Melastomataceae,Bellucia grossularioides,-54.08,5.39,26.27500009536743,199
Melastomataceae,Bellucia grossularioides,-58.65,6.4,NA,NA
Melastomataceae,Bellucia grossularioides,-59,5.36,26.74166663487752,205.75
Melastomataceae,Bellucia grossularioides,-58.35,5.61,26.24999984105428,157
Melastomataceae,Bellucia grossularioides,-57.21,5.26,26.96666669845581,172.25
Melastomataceae,Bellucia grossularioides,-58.71,7.25,26.749999682108562,175.25
Melastomataceae,Bellucia grossularioides,-58.68,6.38,NA,NA
Melastomataceae,Bellucia grossularioides,-65.83,3.15,27.008333683013916,239.5
Melastomataceae,Bellucia grossularioides,-67.06,1.91,26.333333492279053,281.25
Melastomataceae,Bellucia grossularioides,-62.0803,-8.9202,25.424999713897705,190.91666666666666
Melastomataceae,Bellucia grossularioides,-45.727887,-1.456347,26.450000127156574,245.5
Melastomataceae,Bellucia grossularioides,-79.84305,9.14138,26.524999777475994,196
Melastomataceae,Bellucia grossularioides,-59.88,8.16,26.15833314259847,168.91666666666666
Melastomataceae,Bellucia grossularioides,-55.2,5.45,26.858333269755047,196
Melastomataceae,Bellucia grossularioides,-58.66,1.58,26.083333492279053,146.91666666666666
Melastomataceae,Bellucia grossularioides,-73.6532,4.12012,24.541666348775227,318
Melastomataceae,Bellucia grossularioides,-73.65319,4.12012,24.541666348775227,318
Melastomataceae,Bellucia grossularioides,-65.18,7.33,27.516666730244953,149.25
Melastomataceae,Bellucia grossularioides,-72.8667,3.8811,26.583333174387615,229.33333333333334
Melastomataceae,Bellucia grossularioides,-67.56,2.73,26.61666663487752,288.25
Melastomataceae,Bellucia grossularioides,-67.06,1.93,26.300000031789143,280.3333333333333
Melastomataceae,Bellucia grossularioides,-66.73,3.5,27.241666793823242,268.5833333333333
Melastomataceae,Bellucia grossularioides,-65.83,3.15,27.008333683013916,239.5
Melastomataceae,Bellucia grossularioides,-60.02620539,-3.10532113,27.116666793823242,188.75
Melastomataceae,Bellucia grossularioides,-73.6654,3.96628,25.12499984105428,276.9166666666667
Melastomataceae,Bellucia grossularioides,-72.6453,4.09856,26.524999777475994,239
Melastomataceae,Bellucia grossularioides,-55.33,5.25,26.69166644414266,186.16666666666666
Melastomataceae,Bellucia grossularioides,-55.23,4.63,26.450000127156574,188.33333333333334
Melastomataceae,Bellucia grossularioides,-55.2,5.45,26.858333269755047,196
Melastomataceae,Bellucia grossularioides,-73.6654,3.96628,25.12499984105428,276.9166666666667
Melastomataceae,Bellucia grossularioides,-74.5998,7.28192,24.950000127156574,281
Melastomataceae,Bellucia grossularioides,-66.030187,3.165404,27.05833371480306,242.5
Melastomataceae,Bellucia grossularioides,-71.158152,0.071602,26.083333333333332,244.33333333333334
Melastomataceae,Bellucia grossularioides,-65.55,3.16,27.108333269755047,225
Melastomataceae,Bellucia grossularioides,-58.134351,-7.344654,26.5,187.16666666666666
Melastomataceae,Bellucia grossularioides,-92.153333,17.459444,22.40833330154419,213
Melastomataceae,Bellucia grossularioides,-70.67,0.08,25.766666889190674,254.16666666666666
Melastomataceae,Bellucia grossularioides,-70.5,-0.25,25.84166669845581,255.91666666666666
Melastomataceae,Bellucia grossularioides,-70.5,0.083,25.77500009536743,257.0833333333333
Melastomataceae,Bellucia grossularioides,-70.08,1,25.541666507720947,276.5833333333333
Melastomataceae,Bellucia grossularioides,-58.41,6.75,26.674999872843426,181.25
Melastomataceae,Bellucia grossularioides,-67.7,4.05,27.34999990463257,250.5
Melastomataceae,Bellucia grossularioides,-73.769348,7.608365,28.40000009536743,229.83333333333334
Melastomataceae,Bellucia grossularioides,-73.5544,7.38792,27.86666663487752,207.75
Melastomataceae,Bellucia grossularioides,-60.7,5.53,24.025000254313152,164.41666666666666
Melastomataceae,Bellucia grossularioides,-60.5,5.5,23.833333333333332,175.33333333333334
Melastomataceae,Bellucia grossularioides,-52.47,2.8,25.90000009536743,217.75
Melastomataceae,Bellucia grossularioides,-52.466667,2.8,25.90000009536743,217.75
Melastomataceae,Bellucia grossularioides,-52.46666,2.8,25.799999872843426,216.58333333333334
Melastomataceae,Bellucia grossularioides,-51.843262,3.823799,25.875000317891438,276.25
Melastomataceae,Bellucia grossularioides,-51.32,3.6,25.88333336512248,258.1666666666667
Melastomataceae,Bellucia grossularioides,-52.65,4.25,25.350000222524006,252.66666666666666
Melastomataceae,Bellucia grossularioides,-52.133333,1.183333,25.324999968210857,201.66666666666666
Melastomataceae,Bellucia grossularioides,-52.13,1.18,25.324999968210857,201.66666666666666
Melastomataceae,Bellucia grossularioides,-79.570278,8.937222,26.883333524068195,176.83333333333334
Melastomataceae,Bellucia grossularioides,-62.94,-0.92,26.1916667620341,195.25
Melastomataceae,Bellucia grossularioides,-51.25,2.42,26.375,225.16666666666666
Melastomataceae,Bellucia grossularioides,-51.08,0.28,26.949999968210857,187.91666666666666
Melastomataceae,Bellucia grossularioides,-73.0104,4.74929,25.416666666666668,269.5833333333333
Melastomataceae,Bellucia grossularioides,-72.8667,3.8811,26.583333174387615,229.33333333333334
Melastomataceae,Bellucia grossularioides,-56.81666,3.33333,25.916666825612385,174.66666666666666
Melastomataceae,Bellucia grossularioides,-56.625,3.433,25.62499984105428,183.16666666666666
Melastomataceae,Bellucia grossularioides,-56.5,3.51,25.641666412353516,180.16666666666666
Melastomataceae,Bellucia grossularioides,-56.43333,3.33333,24.791666507720947,176.16666666666666
Melastomataceae,Bellucia grossularioides,-84,9.6667,17.50833336512248,180.33333333333334
Melastomataceae,Bellucia grossularioides,-79.56222,8.97722,26.916666825612385,177.41666666666666
Melastomataceae,Bellucia grossularioides,-67.77,5.03,27.59166653951009,221.16666666666666
Melastomataceae,Bellucia grossularioides,-67.76666,5.03333,27.524999777475994,218.33333333333334
Melastomataceae,Bellucia grossularioides,-67.76,5.03,27.524999777475994,218.33333333333334
Melastomataceae,Bellucia grossularioides,-66,3.5,26.991666952768963,291.1666666666667
Melastomataceae,Bellucia grossularioides,-50.63333,-2.55,26.06666660308838,214.58333333333334
Melastomataceae,Bellucia grossularioides,-46.537506,-1.765546,26.074999968210857,186.83333333333334
Melastomataceae,Bellucia grossularioides,-89.23333,15.90388,25.858333110809326,278.75
Melastomataceae,Bellucia grossularioides,-78.15,8.65,26.708333333333332,192.08333333333334
Melastomataceae,Bellucia grossularioides,-59.987535,-2.914218,26.60000006357829,192
Melastomataceae,Bellucia grossularioides,-58.774624,-3.054811,26.774999777475994,185.91666666666666
Melastomataceae,Bellucia grossularioides,-79.06666,9.45,NA,NA
Melastomataceae,Bellucia grossularioides,-52.600822,-0.880931,25.53333330154419,184.75
Melastomataceae,Bellucia grossularioides,-89.75694,15.84583,26.15833330154419,298.5
Melastomataceae,Bellucia grossularioides,-65.488381,-9.712142,26.458333333333332,142.91666666666666
Melastomataceae,Bellucia grossularioides,-65.4,-9.7,26.39999993642171,140.16666666666666
Melastomataceae,Bellucia grossularioides,-65.287488,-10.245693,26.68333339691162,144.58333333333334
Melastomataceae,Bellucia grossularioides,-64.408483,-9.232415,26.075000286102295,166.58333333333334
Melastomataceae,Bellucia grossularioides,-54.98333,5.41666,26.699999968210857,192
Melastomataceae,Bellucia grossularioides,-52.600822,-0.880931,25.53333330154419,184.75
Melastomataceae,Bellucia grossularioides,-52.539719,-0.867854,26.316666920979817,186.33333333333334
Melastomataceae,Bellucia grossularioides,-52.35239,-12.356739,25.616666475931805,136.25
Melastomataceae,Bellucia grossularioides,-63.55,-4.1677,26.700000127156574,178.33333333333334
Melastomataceae,Bellucia grossularioides,-54.70918,-2.44642616,26.34166669845581,188.16666666666666
Melastomataceae,Bellucia grossularioides,-52.54239,-0.883989,26.391666730244953,186.66666666666666
Melastomataceae,Bellucia grossularioides,-52.492654,-0.892099,26.141666412353516,190.16666666666666
Melastomataceae,Bellucia grossularioides,-51.86667,-12.9,25.35000006357829,129.5
