familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Melastomataceae,Bellucia pentamera,-78.958054,-4.089831,23.22500006357829,137.08333333333334
Melastomataceae,Bellucia pentamera,-78.963718,-4.095438,22.85000006357829,129.41666666666666
Melastomataceae,Bellucia pentamera,-72.458166,5.446657,24.6916667620341,259.0833333333333
Melastomataceae,Bellucia pentamera,-72.455442,5.446244,24.6916667620341,259.0833333333333
Melastomataceae,Bellucia pentamera,-72.451516,5.436163,24.983333110809326,234.25
Melastomataceae,Bellucia pentamera,-75.102138,5.963428,21.933333079020183,230.91666666666666
Melastomataceae,Bellucia pentamera,-74.822917,7.6542,28.549999872843426,302.5
Melastomataceae,Bellucia pentamera,-74.777889,7.916694,28.100000222524006,327.4166666666667
Melastomataceae,Bellucia pentamera,-74.777361,7.916583,28.24999984105428,314.0833333333333
Melastomataceae,Bellucia pentamera,-73.350157,7.266713,26.958333492279053,218.58333333333334
Melastomataceae,Bellucia pentamera,-73.350145,7.266733,26.958333492279053,218.58333333333334
Melastomataceae,Bellucia pentamera,-73.350131,7.266673,26.958333492279053,218.58333333333334
Melastomataceae,Bellucia pentamera,-71.781149,6.819143,25.49166663487752,224.25
Melastomataceae,Bellucia pentamera,-75.183563,5.984619,22.074999968210857,225.75
Melastomataceae,Bellucia pentamera,-73.408083,11.190444,27.541666825612385,92.91666666666667
Melastomataceae,Bellucia pentamera,-73.358857,7.267722,26.991666952768963,205.08333333333334
Melastomataceae,Bellucia pentamera,-75.607222,1.606389,25.69166660308838,273.6666666666667
Melastomataceae,Bellucia pentamera,-73.6662,4.0677,25.024999777475994,283.3333333333333
Melastomataceae,Bellucia pentamera,-88.63333,15.7,25.78333330154419,218.33333333333334
Melastomataceae,Bellucia pentamera,-84.258333,13.966667,25.541666825612385,224.91666666666666
Melastomataceae,Bellucia pentamera,-88.235830000000007,16.93333,NA,NA
Melastomataceae,Bellucia pentamera,-69,-9.33333,24.641666412353516,171.33333333333334
Melastomataceae,Bellucia pentamera,-69,-9.33,24.641666412353516,171.33333333333334
