familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapindaceae,Billia rosea,-78.06666,0.88333,16.200000127156574,86
Sapindaceae,Billia rosea,-78.066,0.883,16.200000127156574,86
Sapindaceae,Billia rosea,-78.33333,1.11666,22.241666793823242,296.5
Sapindaceae,Billia rosea,-78.38333,1.03333,22.15000009536743,261.6666666666667
Sapindaceae,Billia rosea,-78.383,1.033,22.15000009536743,261.6666666666667
Sapindaceae,Billia rosea,-78.26666,1.1,22.34166685740153,300.0833333333333
Sapindaceae,Billia rosea,-77,-0.43333,24.891666571299236,298.6666666666667
Sapindaceae,Billia rosea,-72.898904,5.25198,16.99166663487752,222.25
Sapindaceae,Billia rosea,-72.404861,5.504389,22.69166660308838,227.33333333333334
Sapindaceae,Billia rosea,-96.4764,17.5931,14.100000063578287,139
Sapindaceae,Billia rosea,-96.373,17.487,15.650000015894571,188.25
Sapindaceae,Billia rosea,-96.3667,17.6208,20.016666412353516,243.66666666666666
Sapindaceae,Billia rosea,-96.3589,17.5711,18.25833296775818,250.83333333333334
Sapindaceae,Billia rosea,-84.1133,10.1686,15.116666634877523,237.41666666666666
Sapindaceae,Billia rosea,-84.1125,10.2108,17.458333015441895,258.8333333333333
Sapindaceae,Billia rosea,-84.1072,10.1836,16.391666491826374,266.25
Sapindaceae,Billia rosea,-84.1069,10.1825,15.474999904632568,262.1666666666667
Sapindaceae,Billia rosea,-84.1,10.2,16.933333079020183,282.4166666666667
Sapindaceae,Billia rosea,-84.0825,10.2772,21.183332920074463,285.3333333333333
Sapindaceae,Billia rosea,-84.0769,10.2958,22.30833339691162,280.9166666666667
Sapindaceae,Billia rosea,-78.45,0.883333,22.549999872843426,196
Sapindaceae,Billia rosea,-78.4333,0.866667,22.549999872843426,193.91666666666666
Sapindaceae,Billia rosea,-78.2167,0.833333,16.958333492279053,95
Sapindaceae,Billia rosea,-78.1667,0.883333,16.9416667620341,96.33333333333333
Sapindaceae,Billia rosea,-78.111,0.871,15.37500007947286,85.25
Sapindaceae,Billia rosea,-92.925,17.191667,17.016666809717815,116.08333333333333
Sapindaceae,Billia rosea,-92.908333,17.191667,15.766666491826376,111.33333333333333
Sapindaceae,Billia rosea,-92.9,17.183333,16.849999984105427,115
Sapindaceae,Billia rosea,-92.613889,15.405556,20.4416667620341,168.58333333333334
Sapindaceae,Billia rosea,-92.613889,15.405556,20.4416667620341,168.58333333333334
Sapindaceae,Billia rosea,-92.905556,17.177778,17.5666667620341,118.83333333333333
Sapindaceae,Billia rosea,-92.905556,17.183333,17.5666667620341,118.83333333333333
Sapindaceae,Billia rosea,-92.916667,17.194444,17.016666809717815,116.08333333333333
Sapindaceae,Billia rosea,-92.895833,17.163889,17.774999856948853,118
Sapindaceae,Billia rosea,-92.902778,17.186111,16.674999713897705,114.33333333333333
Sapindaceae,Billia rosea,-92.9,17.2,15.916666666666666,112.83333333333333
Sapindaceae,Billia rosea,-92.902778,17.186111,16.674999713897705,114.33333333333333
Sapindaceae,Billia rosea,-93.304167,16.843056,21.583333492279053,93.25
Sapindaceae,Billia rosea,-92.75,16.95,19.00000015894572,119.5
Sapindaceae,Billia rosea,-92.319444,15.243056,16.449999888737995,122.5
Sapindaceae,Billia rosea,-92.905556,17.179167,17.5666667620341,118.83333333333333
