familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Brosimum costaricanum,-79.74066954,9.16886514,25.891666571299236,214.25
Moraceae,Brosimum costaricanum,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Moraceae,Brosimum costaricanum,-79.74066954,9.16886514,25.891666571299236,214.25
Moraceae,Brosimum costaricanum,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Moraceae,Brosimum costaricanum,-90.925,16.116667,25.90833330154419,250.16666666666666
Moraceae,Brosimum costaricanum,-84.6,10.35,24.291666666666668,292.75
Moraceae,Brosimum costaricanum,-84.53,9.75,24.94166660308838,231.33333333333334
Moraceae,Brosimum costaricanum,-84.53,9.76,25.36666663487752,212.5
Moraceae,Brosimum costaricanum,-83.55,8.7,25.19166644414266,257.0833333333333
Moraceae,Brosimum costaricanum,-83.9519,10.0114,17.35000006357829,334.6666666666667
Moraceae,Brosimum costaricanum,-83.9519,10.0114,17.35000006357829,334.6666666666667
Moraceae,Brosimum costaricanum,-84.8333,10,26.93333339691162,153
Moraceae,Brosimum costaricanum,-84.577,9.58,26.566666920979817,236.33333333333334
Moraceae,Brosimum costaricanum,-83.607,8.5,26.24999984105428,301.5833333333333
Moraceae,Brosimum costaricanum,-79.75,9.16667,25.86666663487752,229
Moraceae,Brosimum costaricanum,-75.1667,9.96667,26.975000222524006,126.25
Moraceae,Brosimum costaricanum,-93.496111,16.350278,24.266666889190674,83.33333333333333
Moraceae,Brosimum costaricanum,-90.925,16.125,25.90833330154419,250.16666666666666
Moraceae,Brosimum costaricanum,-83.583335,8.466667,26.05833339691162,305.3333333333333
Moraceae,Brosimum costaricanum,-83.583336,8.466667,26.05833339691162,305.3333333333333
Moraceae,Brosimum costaricanum,-83.522222,8.616667,25.350000222524006,278.4166666666667
Moraceae,Brosimum costaricanum,-83.525,8.705556,25.78333330154419,265.5
Moraceae,Brosimum costaricanum,-84.616667,10.283333,20.641666571299236,276.0833333333333
Moraceae,Brosimum costaricanum,-84.608334,9.769444,26.508333524068195,168.5
Moraceae,Brosimum costaricanum,-84.533333,9.75,24.94166660308838,231.33333333333334
Moraceae,Brosimum costaricanum,-84.533333,9.766667,25.616666952768963,203
Moraceae,Brosimum costaricanum,-83.55,8.7,25.19166644414266,257.0833333333333
Moraceae,Brosimum costaricanum,-83.591667,8.480556,26.258333206176758,305.3333333333333
Moraceae,Brosimum costaricanum,-84.586111,10.566667,25.549999872843426,274.9166666666667
Moraceae,Brosimum costaricanum,-83.591667,8.480556,26.258333206176758,305.3333333333333
Moraceae,Brosimum costaricanum,-83.426667,8.534815,25.15833330154419,260.5833333333333
