familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Burseraceae,Bursera tomentosa,-93.087588,16.657688,25.00833336512248,85.16666666666667
Burseraceae,Bursera tomentosa,-74.742861,4.786417,26.75000015894572,172.83333333333334
Burseraceae,Bursera tomentosa,-75.305,3.356167,24.941666920979817,150.16666666666666
Burseraceae,Bursera tomentosa,-75.259083,3.352194,25.683333079020183,138.41666666666666
Burseraceae,Bursera tomentosa,-72.8667,3.8811,26.583333174387615,229.33333333333334
Burseraceae,Bursera tomentosa,-79.88972,8.60194,27.383333047231037,169.5
Burseraceae,Bursera tomentosa,-75.75,2.5,22.683333079020183,130.83333333333334
Burseraceae,Bursera tomentosa,-74.1667,5,9.616666714350382,104.5
Burseraceae,Bursera tomentosa,-92.285,15.741669,24.99166663487752,130.66666666666666
Burseraceae,Bursera tomentosa,-79.88805,8.60055,27.383333047231037,169.5
Burseraceae,Bursera tomentosa,-76.493899,3.395282,23.90833330154419,146.08333333333334
Burseraceae,Bursera tomentosa,-66.912216,10.501978,21.50833336512248,73.75
Burseraceae,Bursera tomentosa,-80.78333,7.95,26.675000031789143,161.75
Burseraceae,Bursera tomentosa,-80.11944,7.66027,27.075000127156574,134.5
Burseraceae,Bursera tomentosa,-80.11666,7.65,27.0666667620341,132.91666666666666
Burseraceae,Bursera tomentosa,-79.868889,8.548333,NA,NA
Burseraceae,Bursera tomentosa,-93.428611,16.766389,24.11666663487752,84.33333333333333
Burseraceae,Bursera tomentosa,-93.32,16.76,22.55833355585734,85.33333333333333
Burseraceae,Bursera tomentosa,-92.949556,16.745944,22.425000031789143,94.5
Burseraceae,Bursera tomentosa,-92.848056,16.724444,19.366666793823242,102.33333333333333
Burseraceae,Bursera tomentosa,-85.51,10.6,27.46666685740153,143
Burseraceae,Bursera tomentosa,-85.32,10.54,27.016666730244953,159.75
Burseraceae,Bursera tomentosa,-80.965,8.212222,26.77499993642171,210.16666666666666
Burseraceae,Bursera tomentosa,-92.900861,16.621583,25.40833346048991,97.58333333333333
Burseraceae,Bursera tomentosa,-92.863056,16.582778,25.59999990463257,98.08333333333333
Burseraceae,Bursera tomentosa,-92.043056000000007,16.043611,22.81666660308838,115.66666666666667
Burseraceae,Bursera tomentosa,-79.97,8.4575,NA,NA
Burseraceae,Bursera tomentosa,-79.9025,8.53666,27.34166669845581,166.08333333333334
Burseraceae,Bursera tomentosa,-79.90194,8.53666,27.34166669845581,166.08333333333334
Burseraceae,Bursera tomentosa,-85.35,10.35,27.075000127156574,158.5
Burseraceae,Bursera tomentosa,-85.31666,10.53333,27.15000009536743,147
Burseraceae,Bursera tomentosa,-85.3,10.33333,27.15833330154419,146.66666666666666
Burseraceae,Bursera tomentosa,-80.1,8.375,NA,NA
Burseraceae,Bursera tomentosa,-79.9475,8.51888,27.225000222524006,166.91666666666666
Burseraceae,Bursera tomentosa,-80.63333,8.03333,27.199999809265137,169.08333333333334
Burseraceae,Bursera tomentosa,-85.31666,10.53333,27.15000009536743,147
Burseraceae,Bursera tomentosa,-80.63333,8.03333,27.199999809265137,169.08333333333334
Burseraceae,Bursera tomentosa,-78.276667,8.283333,NA,NA
Burseraceae,Bursera tomentosa,-91.91,16.35,19.80833339691162,132
Burseraceae,Bursera tomentosa,-91.908333,16.352778,19.49166663487752,141.91666666666666
Burseraceae,Bursera tomentosa,-91.865278,16.313056,19.37499984105428,154.16666666666666
Burseraceae,Bursera tomentosa,-86.03333,12.21666,26.99166663487752,116.83333333333333
Burseraceae,Bursera tomentosa,-85.61666,10.83333,25.858333110809326,146
Burseraceae,Bursera tomentosa,-85.38333,12.08333,26.72499990463257,132.58333333333334
Burseraceae,Bursera tomentosa,-85.373056,12.080833,26.71666669845581,128.25
Burseraceae,Bursera tomentosa,-85.24,10.56,26.733332951863606,161.25
Burseraceae,Bursera tomentosa,-86.383333,13.216667,21.450000286102295,92
Burseraceae,Bursera tomentosa,-86.38333,13.21666,21.52500009536743,92.41666666666667
