familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Calycophyllum candidissimum,-75.109787,9.936583,26.458333651224773,133.58333333333334
Rubiaceae,Calycophyllum candidissimum,-74.127667,11.313778,27.766666730244953,64.25
Rubiaceae,Calycophyllum candidissimum,-92.9744,16.74966,24.40833346048991,100.25
Rubiaceae,Calycophyllum candidissimum,-92.971755,16.75406,23.84166669845581,99.08333333333333
Rubiaceae,Calycophyllum candidissimum,-75.36175,9.521917,27.15833330154419,118.5
Rubiaceae,Calycophyllum candidissimum,-86.239455,12.088239,25.6916667620341,121.25
Rubiaceae,Calycophyllum candidissimum,-92.97126,16.754482,23.84166669845581,99.08333333333333
Rubiaceae,Calycophyllum candidissimum,-92.971067,16.755715,23.84166669845581,99.08333333333333
Rubiaceae,Calycophyllum candidissimum,-92.965683,16.760104,22.4416667620341,94.75
Rubiaceae,Calycophyllum candidissimum,-95.29667658,18.47067433,24.958333333333332,183
Rubiaceae,Calycophyllum candidissimum,-95.289722,18.392778,25.65000009536743,157.58333333333334
Rubiaceae,Calycophyllum candidissimum,-95.091667,18.325,23.84166653951009,153
Rubiaceae,Calycophyllum candidissimum,-94.91499892,17.93653388,25.5666667620341,150.5
Rubiaceae,Calycophyllum candidissimum,-89.116667,14.183333,24.425000190734863,133.66666666666666
Rubiaceae,Calycophyllum candidissimum,-85.95,11.866667,25.97500006357829,125.83333333333333
Rubiaceae,Calycophyllum candidissimum,-85.33,10.35,27.09166669845581,156.83333333333334
Rubiaceae,Calycophyllum candidissimum,-85.316667,12.15,26.30833339691162,132.66666666666666
Rubiaceae,Calycophyllum candidissimum,-85.3,10.33,27.15833330154419,146.66666666666666
Rubiaceae,Calycophyllum candidissimum,-85.11,9.58,25.14999993642171,200.91666666666666
Rubiaceae,Calycophyllum candidissimum,-85.034783,12.839906,24.424999872843426,187.41666666666666
Rubiaceae,Calycophyllum candidissimum,-85,10.166667,27.008333524068195,160.41666666666666
Rubiaceae,Calycophyllum candidissimum,-84.98,10.1,26.866666793823242,151
Rubiaceae,Calycophyllum candidissimum,-84.7,9.85,NA,NA
Rubiaceae,Calycophyllum candidissimum,-84.6,10.02,24.833333333333332,197.16666666666666
Rubiaceae,Calycophyllum candidissimum,-83.45,8.64,26.44166660308838,301.5
Rubiaceae,Calycophyllum candidissimum,-81.58,7.75,26.208333492279053,237.58333333333334
Rubiaceae,Calycophyllum candidissimum,-75.109787,9.936583,26.458333651224773,133.58333333333334
Rubiaceae,Calycophyllum candidissimum,-74.127667,11.313778,27.766666730244953,64.25
Rubiaceae,Calycophyllum candidissimum,-74.104167,11.294722,26.833333492279053,85.08333333333333
Rubiaceae,Calycophyllum candidissimum,-73.272711,9.517194,25.916666984558105,129.83333333333334
Rubiaceae,Calycophyllum candidissimum,-72.8667,3.8811,26.583333174387615,229.33333333333334
Rubiaceae,Calycophyllum candidissimum,-72.316667,10.916667,27.416666825612385,81.08333333333333
Rubiaceae,Calycophyllum candidissimum,-70.75,8.25,27.708333333333332,134.25
Rubiaceae,Calycophyllum candidissimum,-65.9119,7.0758,27.366666952768963,155.91666666666666
Rubiaceae,Calycophyllum candidissimum,-61,11,NA,NA
Rubiaceae,Calycophyllum candidissimum,-85.966667,11.933333,26.65833330154419,127.33333333333333
Rubiaceae,Calycophyllum candidissimum,-73.8894,11.1177,20.825000286102295,122.66666666666667
Rubiaceae,Calycophyllum candidissimum,-87.16666,12.53333,27.52500009536743,140.83333333333334
Rubiaceae,Calycophyllum candidissimum,-82.386275,22.97392,24.77500009536743,113.91666666666667
Rubiaceae,Calycophyllum candidissimum,-82.4,23.012667,24.9333332379659,111.41666666666667
Rubiaceae,Calycophyllum candidissimum,-89.55972,13.99416,23.64999993642171,134.83333333333334
Rubiaceae,Calycophyllum candidissimum,-87.843889,13.336944,27.72500006357829,146.75
Rubiaceae,Calycophyllum candidissimum,-79.69777,9.27388,26.40833314259847,218.5
Rubiaceae,Calycophyllum candidissimum,-79.48833,9.00638,27.25000015894572,200.41666666666666
Rubiaceae,Calycophyllum candidissimum,-79.58388,9.18361,26.458333015441895,209
Rubiaceae,Calycophyllum candidissimum,-80.03333,8.56666,25.766666571299236,185.41666666666666
Rubiaceae,Calycophyllum candidissimum,-79.061389,8.621389,26.65833330154419,159.5
Rubiaceae,Calycophyllum candidissimum,-86.678333,15.486389,26.12500015894572,97.66666666666667
Rubiaceae,Calycophyllum candidissimum,-79.29472,9.08333,27,190.75
Rubiaceae,Calycophyllum candidissimum,-78.5,8.4833,26.633333206176758,184.75
Rubiaceae,Calycophyllum candidissimum,-93.0275,16.669167,25.22499990463257,92.75
Rubiaceae,Calycophyllum candidissimum,-88.07,13.6,26.208333492279053,155.66666666666666
Rubiaceae,Calycophyllum candidissimum,-85.45,10.1,25.633333206176758,159.5
Rubiaceae,Calycophyllum candidissimum,-92.893333,15.441667,27.708333333333332,205.16666666666666
Rubiaceae,Calycophyllum candidissimum,-74.118061,10.646943,27.516666889190674,108.75
Rubiaceae,Calycophyllum candidissimum,-92.92472,16.89028,21.40833330154419,98.41666666666667
Rubiaceae,Calycophyllum candidissimum,-84.13333,13.11666,25.28333346048991,204.16666666666666
Rubiaceae,Calycophyllum candidissimum,-93.643333,16.681389,25.366666475931805,88.33333333333333
Rubiaceae,Calycophyllum candidissimum,-95.096667,18.333333,24.025000254313152,150.5
Rubiaceae,Calycophyllum candidissimum,-95.212222,18.449722,24.99166663487752,178
Rubiaceae,Calycophyllum candidissimum,-79.96805,9.32416,26.34999990463257,212.5
Rubiaceae,Calycophyllum candidissimum,-92.980556000000007,15.528611,27.46666669845581,206.16666666666666
