familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Casearia arborea,-74.127667,11.313778,27.766666730244953,64.25
Salicaceae,Casearia arborea,-79.85,-0.617,24.12500015894572,138.58333333333334
Salicaceae,Casearia arborea,-79.617,-0.9,24.891666412353516,166.58333333333334
Salicaceae,Casearia arborea,-42.847222,-20.795555,19.333333174387615,106.91666666666667
Salicaceae,Casearia arborea,-42.847222,-20.795555,19.333333174387615,106.91666666666667
Salicaceae,Casearia arborea,-75.452333,3.105,22.733333428700764,159.58333333333334
Salicaceae,Casearia arborea,-74.822917,7.6542,28.549999872843426,302.5
Salicaceae,Casearia arborea,-74.803194,7.902611,28.324999809265137,299.8333333333333
Salicaceae,Casearia arborea,-74.802083,7.900556,28.324999809265137,299.8333333333333
Salicaceae,Casearia arborea,-74.777111,7.917,28.100000222524006,327.4166666666667
Salicaceae,Casearia arborea,-42.85,-20.8,19.34166653951009,106.75
Salicaceae,Casearia arborea,-42.85,-20.8,19.34166653951009,106.75
Salicaceae,Casearia arborea,-88.684767,17.217668,25.37500015894572,160.25
Salicaceae,Casearia arborea,-84.15,10.366667,25.083333492279053,291.5
Salicaceae,Casearia arborea,-83.966667,10.433333,26.075000127156574,310.5
Salicaceae,Casearia arborea,-83.71,8.66,26.18333355585734,301
Salicaceae,Casearia arborea,-82.266667,8.733333,21.49166663487752,247.25
Salicaceae,Casearia arborea,-79.85,9.15,26.358333428700764,200.33333333333334
Salicaceae,Casearia arborea,-78.916667,9.316667,24.72500006357829,219.83333333333334
Salicaceae,Casearia arborea,-78.767071,-1.427421,4.258333305517833,62.916666666666664
Salicaceae,Casearia arborea,-78.5,-4.5,24.074999968210857,161.25
Salicaceae,Casearia arborea,-78.1869,-1.4628,18.10000006357829,196.5
Salicaceae,Casearia arborea,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Salicaceae,Casearia arborea,-76.166667,7.666667,26.34166653951009,239.25
Salicaceae,Casearia arborea,-75.8167,20.4667,21.05833339691162,138
Salicaceae,Casearia arborea,-75.333333,7.333333,25.09166669845581,299.9166666666667
Salicaceae,Casearia arborea,-75.167917,6.025639,21.608333269755047,225.91666666666666
Salicaceae,Casearia arborea,-75.083333,-8.75,26.65833330154419,243
Salicaceae,Casearia arborea,-75.05,5.566667,21.47499990463257,227.66666666666666
Salicaceae,Casearia arborea,-75.014711,5.504531,23.59999990463257,215.75
