familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Casearia laetioides,-97.058333,18.908333,20.166666666666668,116.66666666666667
Salicaceae,Casearia laetioides,-99.75,21.516667,22.50000015894572,69.75
Salicaceae,Casearia laetioides,-99.108056,21.158889,22.825000127156574,120.75
Salicaceae,Casearia laetioides,-99.190833,21.151111,20.808332920074463,59.833333333333336
Salicaceae,Casearia laetioides,-99.108056,21.158889,22.825000127156574,120.75
Salicaceae,Casearia laetioides,-99.217222,21.634444,24.35000006357829,141.75
Salicaceae,Casearia laetioides,-99.190833,21.151111,20.808332920074463,59.833333333333336
Salicaceae,Casearia laetioides,-99.217222,21.634444,24.35000006357829,141.75
Salicaceae,Casearia laetioides,-99.383333,21.333333,22.208333174387615,73.25
Salicaceae,Casearia laetioides,-99.75,21.516667,22.50000015894572,69.75
Salicaceae,Casearia laetioides,-97.3,20.05,22.166666507720947,164.41666666666666
Salicaceae,Casearia laetioides,-97.30556,20.04389,22.258333206176758,162.91666666666666
Salicaceae,Casearia laetioides,-90.917,16.117,25.90833330154419,250.16666666666666
Salicaceae,Casearia laetioides,-96.125,18.091667,25.958333333333332,206.08333333333334
Salicaceae,Casearia laetioides,-95.108333,18.341667,24.05833355585734,152.25
Salicaceae,Casearia laetioides,-94.616667,17.3,25.22499990463257,296.75
Salicaceae,Casearia laetioides,-94.383333,17.333333,25.22499990463257,303.4166666666667
Salicaceae,Casearia laetioides,-77.904584,18.471383,26.49999984105428,122.75
Salicaceae,Casearia laetioides,-83.418899,22.516062,24.800000031789143,116.33333333333333
Salicaceae,Casearia laetioides,-94.33139,18.10083,25.93333339691162,232.83333333333334
Salicaceae,Casearia laetioides,-89.33167,19.12389,25.141666730244953,75.83333333333333
Salicaceae,Casearia laetioides,-91.36130172,16.92297899,23.75,187.58333333333334
Salicaceae,Casearia laetioides,-77.556934,24.115343,25.099999745686848,92.83333333333333
