familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Casearia praecox,-75.832238,6.532112,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.832127,6.532261,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.832114,6.531943,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.832111,6.532118,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.832058,6.53221,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.832051,6.532138,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.832049,6.532039,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-74.800072,5.068708,27.149999777475994,206.08333333333334
Salicaceae,Casearia praecox,-74.781306,5.085444,27.050000031789143,163.25
Salicaceae,Casearia praecox,-75.826917,6.608917,25.125000317891438,205.41666666666666
Salicaceae,Casearia praecox,-75.82625,6.443639,25.391666412353516,177.66666666666666
Salicaceae,Casearia praecox,-74.858861,5.067917,27.050000031789143,192.41666666666666
Salicaceae,Casearia praecox,-74.828611,5.059103,27.10000006357829,216.83333333333334
Salicaceae,Casearia praecox,-74.828377,5.058662,27.10000006357829,216.83333333333334
Salicaceae,Casearia praecox,-74.827799,5.059851,27.10000006357829,216.83333333333334
Salicaceae,Casearia praecox,-85.36,10.51,27.199999809265137,151.25
Salicaceae,Casearia praecox,-79.618941,21.870604,21.77499993642171,131.5
Salicaceae,Casearia praecox,-79.03639,21.62111,25.733333428700764,101.33333333333333
Salicaceae,Casearia praecox,-79.03635,21.62117,25.733333428700764,101.33333333333333
Salicaceae,Casearia praecox,-75.83181,6.532138,25.8083332379659,113.66666666666667
Salicaceae,Casearia praecox,-75.569722,10.36,27.449999809265137,97.25
Salicaceae,Casearia praecox,-74.912222,9.63,27.750000317891438,139.25
Salicaceae,Casearia praecox,-74.800072,5.068708,27.149999777475994,206.08333333333334
Salicaceae,Casearia praecox,-74.781306,5.085444,27.050000031789143,163.25
Salicaceae,Casearia praecox,-74.5,10,27.725000222524006,109.75
Salicaceae,Casearia praecox,-74.194167,8.559444,27.59166685740153,238
Salicaceae,Casearia praecox,-65.9119,7.0758,27.366666952768963,155.91666666666666
Salicaceae,Casearia praecox,-74.5,10,27.725000222524006,109.75
Salicaceae,Casearia praecox,-77.643986,21.727869,25.63333336512248,110.33333333333333
Salicaceae,Casearia praecox,-75.82,6.563,25.46666669845581,257.6666666666667
Salicaceae,Casearia praecox,-85.33333,10.45,26.799999713897705,147.41666666666666
Salicaceae,Casearia praecox,-85.36666,10.58333,26.833333174387615,167.33333333333334
Salicaceae,Casearia praecox,-85.31666,10.53333,27.15000009536743,147
Salicaceae,Casearia praecox,-85.31666,10.53333,27.15000009536743,147
Salicaceae,Casearia praecox,-85.3,10.53,27.166666666666668,145.25
Salicaceae,Casearia praecox,-85.31666,10.53333,27.15000009536743,147
Salicaceae,Casearia praecox,-85.28,10.53,27.258333206176758,145.83333333333334
Salicaceae,Casearia praecox,-85.13527,10.46,27.27499993642171,164
Salicaceae,Casearia praecox,-72.58831,11.13265,28.033332983652752,85.5
Salicaceae,Casearia praecox,-85.61666,10.83333,25.858333110809326,146
Salicaceae,Casearia praecox,-74.2,11.33333,NA,NA
Salicaceae,Casearia praecox,-74.033333,11.333333,26.408333619435627,89.25
Salicaceae,Casearia praecox,-74.194038,8.559437,27.59166685740153,238
Salicaceae,Casearia praecox,-75.217439,8.030222,27.583333492279053,202.33333333333334
Salicaceae,Casearia praecox,-74.033333,11.333333,26.408333619435627,89.25
Salicaceae,Casearia praecox,-74.03333,11.33333,26.408333619435627,89.25
Salicaceae,Casearia praecox,-75.16666,9.96666,26.90833346048991,126.25
Salicaceae,Casearia praecox,-75.104006,9.936953,26.35000006357829,131.41666666666666
Salicaceae,Casearia praecox,-75.366667,9.5,27.358333428700764,117.25
Salicaceae,Casearia praecox,-75.35,9.483333,27.61666663487752,106.16666666666667
Salicaceae,Casearia praecox,-67.41,10.24027,22.499999682108562,93.58333333333333
Salicaceae,Casearia praecox,-74.104998,11.301408,27.541666666666668,76.91666666666667
Salicaceae,Casearia praecox,-85.366667,10.516667,27.14999993642171,152.25
Salicaceae,Casearia praecox,-85.36,10.51,27.199999809265137,151.25
Salicaceae,Casearia praecox,-74.752222,5.091944,26.71666653951009,166.25
Salicaceae,Casearia praecox,-85.305556,10.55,27.083333651224773,147.08333333333334
Salicaceae,Casearia praecox,-75.569722,10.36,27.449999809265137,97.25
Salicaceae,Casearia praecox,-74.912222,9.63,27.750000317891438,139.25
Salicaceae,Casearia praecox,-74.912219,9.63,27.750000317891438,139.25
Salicaceae,Casearia praecox,-85.331341,10.345568,27.09166669845581,156.83333333333334
Salicaceae,Casearia praecox,-85.356944,10.341667,27.208333333333332,164.83333333333334
Salicaceae,Casearia praecox,-85.2975,10.523333,27.233333110809326,153.91666666666666
Salicaceae,Casearia praecox,-85.297222,10.355556,27.125,149.75
Salicaceae,Casearia praecox,-85.29722,10.35556,27.125,149.75
Salicaceae,Casearia praecox,-85.755556,10.925,26.324999968210857,142.25
Salicaceae,Casearia praecox,-85.835636,10.939253,26.425000031789143,145.91666666666666
Salicaceae,Casearia praecox,-80.139999,22.821112,25.050000190734863,106
Salicaceae,Casearia praecox,-74.800072,5.068708,27.149999777475994,206.08333333333334
Salicaceae,Casearia praecox,-74.781306,5.085444,27.050000031789143,163.25
Salicaceae,Casearia praecox,-85.65557,10.791666,26.549999872843426,144.5
Salicaceae,Casearia praecox,-85.618625,10.837503,25.791666507720947,135.91666666666666
Salicaceae,Casearia praecox,-75.837417,6.867803,25.46666653951009,223.66666666666666
Salicaceae,Casearia praecox,-75.837417,6.867833,25.46666653951009,223.66666666666666
