familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Casearia tremula,-104.97778,19.45417,25.09166653951009,87
Salicaceae,Casearia tremula,-104.98333,19.38333,25.68333339691162,76.08333333333333
Salicaceae,Casearia tremula,-75.575,10.231736,27.59166653951009,101
Salicaceae,Casearia tremula,-75.695609,10.136033,27.550000031789143,114.33333333333333
Salicaceae,Casearia tremula,-85.639999,10.81,26.47500006357829,139.66666666666666
Salicaceae,Casearia tremula,-85.25,10.91,25.03333346048991,258.0833333333333
Salicaceae,Casearia tremula,-104.99167,19.39583,25.541666666666668,76.33333333333333
Salicaceae,Casearia tremula,-96.15108,15.745,26.983333428700764,98.25
Salicaceae,Casearia tremula,-86.917,20.383,26.3166667620341,118.25
Salicaceae,Casearia tremula,-95.9825,15.8475,27.141666889190674,95.41666666666667
Salicaceae,Casearia tremula,-95.960555,15.834722,27.22500006357829,92.75
Salicaceae,Casearia tremula,-95.96928954,15.82446723,27.233333269755047,93.41666666666667
Salicaceae,Casearia tremula,-88.983,16.733,23.28333314259847,190.83333333333334
Salicaceae,Casearia tremula,-95.87167,15.8775,27.516666412353516,88.91666666666667
Salicaceae,Casearia tremula,-95.85114,15.94839,27.333333174387615,86.66666666666667
Salicaceae,Casearia tremula,-85.333,10.35,27.09166669845581,156.83333333333334
Salicaceae,Casearia tremula,-86.80639,13.92917,24.116666952768963,65.33333333333333
Salicaceae,Casearia tremula,-96.017,15.833,27.133333524068195,99.66666666666667
Salicaceae,Casearia tremula,-85.65464021,10.74109577,26.158333619435627,130.16666666666666
Salicaceae,Casearia tremula,-94.9466,16.6092,26.041666666666668,83.25
Salicaceae,Casearia tremula,-94.9223,16.6001,25.716667016347248,82.83333333333333
Salicaceae,Casearia tremula,-94.911,16.5672,26.59166685740153,83.33333333333333
Salicaceae,Casearia tremula,-94.9416,16.6009,26.041666666666668,82.08333333333333
Salicaceae,Casearia tremula,-85.683,12.35,24.766667048136394,131.75
Salicaceae,Casearia tremula,-85.633,12.3,25.950000127156574,123.08333333333333
Salicaceae,Casearia tremula,-95.976111,15.841667,27.141666889190674,95.41666666666667
Salicaceae,Casearia tremula,-95.872778,15.872222,27.60000006357829,88.58333333333333
Salicaceae,Casearia tremula,-95.851944,15.951944,27.28333346048991,86.33333333333333
Salicaceae,Casearia tremula,-96.004722,15.875278,26.84999990463257,98.75
Salicaceae,Casearia tremula,-95.95031858,15.83541194,27.21666669845581,93.08333333333333
Salicaceae,Casearia tremula,-95.928333,15.893333,26.77500009536743,94
Salicaceae,Casearia tremula,-94.978889,16.742972,25.450000127156574,105.58333333333333
Salicaceae,Casearia tremula,-94.94175,16.598916,26.675000190734863,87.25
Salicaceae,Casearia tremula,-94.970625,16.621489,26.18333355585734,82.08333333333333
Salicaceae,Casearia tremula,-95.90888986,16.51228325,23.383333206176758,57.166666666666664
Salicaceae,Casearia tremula,-95.426882,16.439394,26.875000317891438,58.083333333333336
Salicaceae,Casearia tremula,-105.044167,19.498333,25.200000127156574,78.5
Salicaceae,Casearia tremula,-104.922219,19.606669,24.87499984105428,104.08333333333333
Salicaceae,Casearia tremula,-104.916667,19.6,24.899999777475994,103.5
Salicaceae,Casearia tremula,-95.233333,16.316667,28.366666793823242,75.25
Salicaceae,Casearia tremula,-104.991667,19.395833,25.541666666666668,76.33333333333333
Salicaceae,Casearia tremula,-95.916667,16.233333,22.400000254313152,73.33333333333333
Salicaceae,Casearia tremula,-96.218417,15.703222,26.958333651224773,91.91666666666667
Salicaceae,Casearia tremula,-96.216806,15.77325,27.03333346048991,102.16666666666667
Salicaceae,Casearia tremula,-96.157611,15.740111,27.00000015894572,96.91666666666667
Salicaceae,Casearia tremula,-96.1575,15.74,27.00000015894572,96.91666666666667
Salicaceae,Casearia tremula,-96.151083,15.745,26.983333428700764,98.25
Salicaceae,Casearia tremula,-96.126528,15.999056,21.77499993642171,117.33333333333333
Salicaceae,Casearia tremula,-96.216806,15.773194,27.03333346048991,102.16666666666667
Salicaceae,Casearia tremula,-96.216055,15.773028,27.02500009536743,100.91666666666667
Salicaceae,Casearia tremula,-96.174056,15.773472,27.06666660308838,100.41666666666667
Salicaceae,Casearia tremula,-96.27083,15.75361,27.03333330154419,98.58333333333333
Salicaceae,Casearia tremula,-95.85194,15.95194,27.28333346048991,86.33333333333333
Salicaceae,Casearia tremula,-75.57413638,10.37495583,27.53333314259847,92.91666666666667
Salicaceae,Casearia tremula,-100.251667,17.036111,26.958333174387615,86.33333333333333
Salicaceae,Casearia tremula,-104.975,19.47917,24.674999872843426,95.83333333333333
Salicaceae,Casearia tremula,-105.05,19.5,25.200000127156574,78.5
Salicaceae,Casearia tremula,-74.033333,11.333333,26.408333619435627,89.25
Salicaceae,Casearia tremula,-74.224319,11.166551,28.083333333333332,69.75
Salicaceae,Casearia tremula,-96.14094,15.74808,26.99166663487752,99.08333333333333
Salicaceae,Casearia tremula,-74.5,10,27.725000222524006,109.75
Salicaceae,Casearia tremula,-75,10.75,27.27500009536743,86.41666666666667
Salicaceae,Casearia tremula,-89.11666,16,25.516666730244953,285.4166666666667
Salicaceae,Casearia tremula,-88.9903,15.996,25.46666653951009,290.25
Salicaceae,Casearia tremula,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Casearia tremula,-88.61666,16.71666,24.258333206176758,175.5
Salicaceae,Casearia tremula,-88.75,16.28333,25.458333333333332,259.1666666666667
Salicaceae,Casearia tremula,-86.03333,13.08333,20.00000015894572,123.58333333333333
Salicaceae,Casearia tremula,-88.88333,16.08333,25.291666507720947,300.0833333333333
Salicaceae,Casearia tremula,-74.3326,4.95662,19.99166663487752,159.66666666666666
Salicaceae,Casearia tremula,-73.7,10,28.69166644414266,111.66666666666667
Salicaceae,Casearia tremula,-72.979467,6.540434,19.18333339691162,176.25
Salicaceae,Casearia tremula,-73.7,10,28.69166644414266,111.66666666666667
Salicaceae,Casearia tremula,-85.08722,10.61083,24.608333587646484,211.41666666666666
Salicaceae,Casearia tremula,-85.08,10.65,23.87500015894572,213.33333333333334
Salicaceae,Casearia tremula,-85.35,10.35,27.075000127156574,158.5
Salicaceae,Casearia tremula,-85.33333,10.45,26.799999713897705,147.41666666666666
Salicaceae,Casearia tremula,-89.15277,15.80638,25.71666669845581,268.25
Salicaceae,Casearia tremula,-85.36666,10.58333,26.833333174387615,167.33333333333334
Salicaceae,Casearia tremula,-85.31666,10.53333,27.15000009536743,147
Salicaceae,Casearia tremula,-85.667,10.533,26.766666730244953,151.16666666666666
Salicaceae,Casearia tremula,-85.66,10.53,27.30833355585734,144.25
Salicaceae,Casearia tremula,-105.021667,19.491667,25.233333269755047,81.33333333333333
Salicaceae,Casearia tremula,-89,15.666667,26.15833314259847,241
Salicaceae,Casearia tremula,-87.66666,14.41666,24.52499993642171,104.66666666666667
Salicaceae,Casearia tremula,-64.55,10.27,26.0666667620341,49.666666666666664
Salicaceae,Casearia tremula,-64.5479399,10.26565348,25.666666666666668,54.583333333333336
Salicaceae,Casearia tremula,-87.65,14.38333,24.49999984105428,97.91666666666667
Salicaceae,Casearia tremula,-105.021667,19.491667,25.233333269755047,81.33333333333333
Salicaceae,Casearia tremula,-105.0583,19.5083,25.324999968210857,75.75
Salicaceae,Casearia tremula,-86.51666,12.4,25.791666666666668,127.33333333333333
Salicaceae,Casearia tremula,-85.35,10.35,27.075000127156574,158.5
Salicaceae,Casearia tremula,-85.3,12.15,24.78333330154419,135
Salicaceae,Casearia tremula,-105.0583,19.5083,25.324999968210857,75.75
Salicaceae,Casearia tremula,-86.45,13.4,22.97500006357829,91.33333333333333
Salicaceae,Casearia tremula,-86.08333,12.86666,24.35000006357829,91.41666666666667
Salicaceae,Casearia tremula,-85.63,10.8,26.225000222524006,137.5
Salicaceae,Casearia tremula,-105.0583,19.5083,25.324999968210857,75.75
Salicaceae,Casearia tremula,-105.021667,19.491667,25.233333269755047,81.33333333333333
Salicaceae,Casearia tremula,-85.58333,10.83333,26.5,137.41666666666666
Salicaceae,Casearia tremula,-85.3,10.33,27.15833330154419,146.66666666666666
Salicaceae,Casearia tremula,-105.0583,19.5083,25.324999968210857,75.75
Salicaceae,Casearia tremula,-86.75,12.16666,27.541666825612385,121.25
Salicaceae,Casearia tremula,-86.05,12.35,26.97500006357829,115.25
Salicaceae,Casearia tremula,-72.711944,10.969722,27.1916667620341,93.33333333333333
Salicaceae,Casearia tremula,-72.68986,11.09345,27.541666348775227,83.08333333333333
Salicaceae,Casearia tremula,-72.632089,11.071902,27.86666663487752,84
Salicaceae,Casearia tremula,-72.6315,11.1293,28.016666253407795,100.91666666666667
Salicaceae,Casearia tremula,-105.0583,19.5083,25.324999968210857,75.75
Salicaceae,Casearia tremula,-86.21666,13.01666,23.925000031789143,90.33333333333333
Salicaceae,Casearia tremula,-72.68986,11.09345,27.541666348775227,83.08333333333333
Salicaceae,Casearia tremula,-72.62271,11.11485,28.041666348775227,94.33333333333333
Salicaceae,Casearia tremula,-72.52039,11.21105,27.96666653951009,80.25
Salicaceae,Casearia tremula,-105.0583,19.5083,25.324999968210857,75.75
Salicaceae,Casearia tremula,-105.0437,19.5008,25.3083332379659,77.33333333333333
Salicaceae,Casearia tremula,-86.36666,11.66666,26.9416667620341,120.41666666666667
Salicaceae,Casearia tremula,-85.85,12.61666,24.34166653951009,126.33333333333333
Salicaceae,Casearia tremula,-85.75,12.4,25.841667016347248,125.66666666666667
Salicaceae,Casearia tremula,-102.263611,18.21,24.28333346048991,79
Salicaceae,Casearia tremula,-86.35,12.76666,26.233333428700764,119.25
Salicaceae,Casearia tremula,-86.333333,11.65,26.916666825612385,115.16666666666667
Salicaceae,Casearia tremula,-86.186111,12.766667,24.833333492279053,93.75
Salicaceae,Casearia tremula,-86.08333,12.78333,23.624999682108562,101.5
Salicaceae,Casearia tremula,-86.05,12.61666,24.991666793823242,102.41666666666667
Salicaceae,Casearia tremula,-86.01666,12.78333,21.90833330154419,118.41666666666667
Salicaceae,Casearia tremula,-85.98333,12.46666,25.15833330154419,116.41666666666667
Salicaceae,Casearia tremula,-85.839167,12.62,24.516666412353516,129.83333333333334
Salicaceae,Casearia tremula,-85.83333,12.4,25.300000190734863,123.08333333333333
Salicaceae,Casearia tremula,-85.83333,12.58333,23.90000009536743,125.66666666666667
Salicaceae,Casearia tremula,-85.73333,12.43333,26.016666412353516,123.25
Salicaceae,Casearia tremula,-85.70833,12.48333,24.10000006357829,127.08333333333333
Salicaceae,Casearia tremula,-85.58,10.83,26.5,137.41666666666666
Salicaceae,Casearia tremula,-85.35,12.18333,25.52499993642171,124.08333333333333
Salicaceae,Casearia tremula,-63.12356235,11.37910774,26.208333174387615,62.75
Salicaceae,Casearia tremula,-86.71666,12.25,27.674999713897705,113.66666666666667
Salicaceae,Casearia tremula,-86.3,11.66,26.899999777475994,109.91666666666667
Salicaceae,Casearia tremula,-86.3,11.66666,26.899999777475994,109.91666666666667
Salicaceae,Casearia tremula,-86.3,11.68333,26.84999990463257,111.41666666666667
Salicaceae,Casearia tremula,-86.3,11.75,26.35000006357829,115.08333333333333
Salicaceae,Casearia tremula,-85.86666,12.36666,25.75,117.33333333333333
Salicaceae,Casearia tremula,-85.80833,11.73333,25.15833346048991,134.66666666666666
Salicaceae,Casearia tremula,-85.73333,12.43333,26.016666412353516,123.25
Salicaceae,Casearia tremula,-85.68333,12.35,24.766667048136394,131.75
Salicaceae,Casearia tremula,-85.68,12.35,24.766667048136394,131.75
