familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rutaceae,Casimiroa sapota,-85.91666,12.98333,20.925000190734863,130.5
Rutaceae,Casimiroa sapota,-91.533333,17.8,26.908333619435627,147.08333333333334
Rutaceae,Casimiroa sapota,-85.85,12.95,21.141666571299236,137.16666666666666
Rutaceae,Casimiroa sapota,-86.397667,13.550472,21.883333206176758,93.58333333333333
Rutaceae,Casimiroa sapota,-87.593056,20.743056,25.38333336512248,100.58333333333333
Rutaceae,Casimiroa sapota,-99.180667,18.783861,23.075000127156574,75.75
Rutaceae,Casimiroa sapota,-86.464944,13.572917,21.883333206176758,94.83333333333333
Rutaceae,Casimiroa sapota,-91.039444,16.661389,25.09166653951009,234.83333333333334
Rutaceae,Casimiroa sapota,-86.645833,13.299444,19.60000006357829,101.66666666666667
Rutaceae,Casimiroa sapota,-99.34998,21.2268,21.958333174387615,64.08333333333333
Rutaceae,Casimiroa sapota,-99.345278,21.230556,21.958333174387615,64.08333333333333
Rutaceae,Casimiroa sapota,-99.361944,21.219444,21.5,56.5
Rutaceae,Casimiroa sapota,-86.444555,13.680472,22.991666475931805,87.75
Rutaceae,Casimiroa sapota,-86.048361,13.703667,21.450000286102295,121.33333333333333
Rutaceae,Casimiroa sapota,-86.63388,13.31583,19.3166667620341,103.16666666666667
Rutaceae,Casimiroa sapota,-99.246667,18.95,20.633333206176758,99.08333333333333
Rutaceae,Casimiroa sapota,-98.150555,22.087778,24.69166644414266,81.41666666666667
Rutaceae,Casimiroa sapota,-92.155556,15.0225,24.633333206176758,276.3333333333333
Rutaceae,Casimiroa sapota,-92.206944,14.933611,26.491666952768963,289.5
Rutaceae,Casimiroa sapota,-92.107778,16.104444,19.899999777475994,90.66666666666667
Rutaceae,Casimiroa sapota,-86.453028,13.715472,21.37499984105428,98.91666666666667
Rutaceae,Casimiroa sapota,-86.410556,13.116945,19.583333492279053,108.33333333333333
Rutaceae,Casimiroa sapota,-90.999167,17.785,26.550000190734863,133.5
Rutaceae,Casimiroa sapota,-85.9,13.01666,18.22500006357829,145.25
Rutaceae,Casimiroa sapota,-98.747639,18.711083,22.59166653951009,74.25
Rutaceae,Casimiroa sapota,-84.266667,9.916667,22.516666730244953,173.08333333333334
