familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Castilla elastica,-94.91327233,17.951751,25.60000006357829,150.66666666666666
Moraceae,Castilla elastica,-91.5363595,17.80563502,26.87500015894572,146.66666666666666
Moraceae,Castilla elastica,-91.53103551,16.82544059,22.96666685740153,165.83333333333334
Moraceae,Castilla elastica,-90.99343107,14.33635144,25.40000009536743,285.5833333333333
Moraceae,Castilla elastica,-90.21608929,16.32011912,25.97500006357829,270.8333333333333
Moraceae,Castilla elastica,-90.21334271,16.33066249,25.97500006357829,268.8333333333333
Moraceae,Castilla elastica,-89.94769734,13.82240035,23.86666663487752,153.16666666666666
Moraceae,Castilla elastica,-89.61449915,17.22449839,24.891666730244953,137
Moraceae,Castilla elastica,-89.56541361,13.97659626,23.358333269755047,135.16666666666666
Moraceae,Castilla elastica,-89.35572155,15.11498584,27.1833332379659,119.75
Moraceae,Castilla elastica,-89.06797741,17.01668605,24.299999872843426,159.16666666666666
Moraceae,Castilla elastica,-89.05678039,16.84332133,23.22500006357829,180.91666666666666
Moraceae,Castilla elastica,-88.35397941,17.69528599,26.008333206176758,151.5
Moraceae,Castilla elastica,-88.13661029,21.15170859,25.699999809265137,102.91666666666667
Moraceae,Castilla elastica,-86.9931847,12.63945628,25.97500006357829,143.08333333333334
Moraceae,Castilla elastica,-86.90121479,12.6044362,26.291666507720947,139.58333333333334
Moraceae,Castilla elastica,-86.77096184,15.74939427,26.699999650319416,178.5
Moraceae,Castilla elastica,-86.72855195,12.53912605,26.041666507720947,122.75
Moraceae,Castilla elastica,-86.48465959,12.06924455,26.600000222524006,110.58333333333333
Moraceae,Castilla elastica,-86.24517455,11.95638599,22.56666660308838,132.16666666666666
Moraceae,Castilla elastica,-86.19980067,11.85012328,23.633333206176758,119.41666666666667
Moraceae,Castilla elastica,-86.11557049,13.75275443,23.84166669845581,111.66666666666667
Moraceae,Castilla elastica,-86.09978841,11.93542774,24.89999993642171,116.5
Moraceae,Castilla elastica,-86.03443566,11.83211716,25.699999968210857,123.5
Moraceae,Castilla elastica,-85.96638854,11.93297174,26.71666685740153,148.41666666666666
Moraceae,Castilla elastica,-85.96638452,11.93297699,26.71666685740153,148.41666666666666
Moraceae,Castilla elastica,-85.95089524,11.87397288,25.925000190734863,120.41666666666667
Moraceae,Castilla elastica,-85.94995175,11.83282901,23.016666412353516,145.91666666666666
Moraceae,Castilla elastica,-85.90903566,12.99397991,19.350000381469727,138.25
Moraceae,Castilla elastica,-85.90530546,11.90612551,26.600000222524006,128.75
Moraceae,Castilla elastica,-85.90504797,11.89739102,26.633333683013916,128.91666666666666
Moraceae,Castilla elastica,-85.81902627,12.98837453,22.675000031789143,134.16666666666666
Moraceae,Castilla elastica,-85.60139183,11.49982001,26.299999872843426,135.33333333333334
Moraceae,Castilla elastica,-85.55026889,10.44121609,27.625,176.16666666666666
Moraceae,Castilla elastica,-85.54952155,11.47516333,26.3083332379659,143.58333333333334
Moraceae,Castilla elastica,-85.50810087,13.81040479,23.49166663487752,153.83333333333334
Moraceae,Castilla elastica,-85.44297733,12.86720899,23.1916667620341,139.58333333333334
Moraceae,Castilla elastica,-83.87698741,14.39325834,24.425000190734863,229.83333333333334
Moraceae,Castilla elastica,-83.72089906,9.93607529,20.93333355585734,256.3333333333333
