familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Castilla tunu,-79.96666,0.01666,23.641666889190674,115.5
Moraceae,Castilla tunu,-77.335,6.40639,25.38333336512248,359.0833333333333
Moraceae,Castilla tunu,-76.4887,7.33622,27.050000349680584,323.0833333333333
Moraceae,Castilla tunu,-76.7233,7.57572,27.50000015894572,278
Moraceae,Castilla tunu,-76.65,7.56667,27.491666793823242,240.5
Moraceae,Castilla tunu,-76.7296,7.78113,27.31666660308838,229
Moraceae,Castilla tunu,-79.617,-0.9,24.891666412353516,166.58333333333334
Moraceae,Castilla tunu,-83.33,8.4,26.166666507720947,315
Moraceae,Castilla tunu,-83.75,9.16,26.358333269755047,269.8333333333333
Moraceae,Castilla tunu,-83.9519,10.0114,17.35000006357829,334.6666666666667
Moraceae,Castilla tunu,-78,1.5,23.833333492279053,323.8333333333333
Moraceae,Castilla tunu,-79.5,0.6667,25.21666685740153,142.33333333333334
Moraceae,Castilla tunu,-84.8333,10,26.93333339691162,153
Moraceae,Castilla tunu,-82.25,8.5,26.21666653951009,254.41666666666666
Moraceae,Castilla tunu,-72.8667,3.8811,26.583333174387615,229.33333333333334
Moraceae,Castilla tunu,-78.1869,-1.4628,18.10000006357829,196.5
Moraceae,Castilla tunu,-83.607,8.5,26.24999984105428,301.5833333333333
Moraceae,Castilla tunu,-79.6167,0.9,25.699999968210857,96.16666666666667
Moraceae,Castilla tunu,-76.7,7.86666,27.25000015894572,205.25
Moraceae,Castilla tunu,-85.05,14.3666667,25.24166663487752,187.33333333333334
Moraceae,Castilla tunu,-85.15055,14.41027,25.266666730244953,182.41666666666666
Moraceae,Castilla tunu,-85.14583,14.41194,25.358333587646484,183.41666666666666
Moraceae,Castilla tunu,-85.0833333,14.4833333,25.35000006357829,189.5
Moraceae,Castilla tunu,-75.35044,9.50092,27.458333492279053,116.25
Moraceae,Castilla tunu,-75.35044,9.50092,27.458333492279053,116.25
Moraceae,Castilla tunu,-76.48874,7.33622,27.050000349680584,323.0833333333333
Moraceae,Castilla tunu,-83.583338,8.466667,26.05833339691162,305.3333333333333
Moraceae,Castilla tunu,-83.583333,8.466667,25.9333332379659,293.9166666666667
Moraceae,Castilla tunu,-83.339797,8.403175,26.258333206176758,304.9166666666667
Moraceae,Castilla tunu,-83.25,8.766667,26.416666507720947,286.0833333333333
Moraceae,Castilla tunu,-83.75,9.166667,26.333333333333332,269
Moraceae,Castilla tunu,-83.335556,8.398611,26.333333492279053,305.25
Moraceae,Castilla tunu,-83.516668,8.566667,25.608333587646484,247.58333333333334
Moraceae,Castilla tunu,-83.49861,8.581866,25.77499993642171,243.25
Moraceae,Castilla tunu,-83.179917,8.654583,26.266666730244953,299.5
Moraceae,Castilla tunu,-83.507083,8.565556,25.699999809265137,243.58333333333334
Moraceae,Castilla tunu,-83.335556,8.405833,26.258333206176758,304.9166666666667
Moraceae,Castilla tunu,-76.96026,7.65335,27.333333333333332,257.3333333333333
Moraceae,Castilla tunu,-78.8333333,1.25,25.791666666666668,212.83333333333334
Moraceae,Castilla tunu,-78.833333,1.25,25.791666666666668,212.83333333333334
Moraceae,Castilla tunu,-83.216667,8.683333,25.69166644414266,249.16666666666666
Moraceae,Castilla tunu,-83.2167,8.68333,25.69166644414266,249.16666666666666
Moraceae,Castilla tunu,-84.06667,14.65,24.65000009536743,229
Moraceae,Castilla tunu,-83.66667,14.1,25.166666666666668,226.66666666666666
Moraceae,Castilla tunu,-77.6666667,8.1,26.683333079020183,169.16666666666666
Moraceae,Castilla tunu,-77.6666667,8.1666667,26.575000286102295,167.08333333333334
Moraceae,Castilla tunu,-83.48,8.69,26.424999872843426,299.8333333333333
Moraceae,Castilla tunu,-78.736224000000007,1.723938,26.024999618530273,219.16666666666666
Moraceae,Castilla tunu,-77.4,7.9,26.3083332379659,198.5
Moraceae,Castilla tunu,-78.975,9.21611,26.800000031789143,199.75
Moraceae,Castilla tunu,-84.05,14.46666,24.53333330154419,229.83333333333334
Moraceae,Castilla tunu,-78.88472,9.18888,26.28333330154419,195.66666666666666
Moraceae,Castilla tunu,-78.88472,9.18888,26.28333330154419,195.66666666666666
Moraceae,Castilla tunu,-78.23333,9.3,26.8166667620341,168.66666666666666
Moraceae,Castilla tunu,-82.9,8.26666,25.62499984105428,246.41666666666666
Moraceae,Castilla tunu,-77.45,8.65833,26.09166653951009,166.91666666666666
Moraceae,Castilla tunu,-77.28333,6.11666,24.699999968210857,266.0833333333333
Moraceae,Castilla tunu,-84.43333,13.95,25.75,220.83333333333334
Moraceae,Castilla tunu,-84.125,14.675,24.916666507720947,226.75
Moraceae,Castilla tunu,-83.66666,14.1,25.125,226
Moraceae,Castilla tunu,-78.83333,1.25,25.791666666666668,212.83333333333334
Moraceae,Castilla tunu,-83.58333,8.5,25.74999984105428,278.4166666666667
Moraceae,Castilla tunu,-78.56666,8.85,23.50833336512248,190.83333333333334
Moraceae,Castilla tunu,-77.35,6.26666,24.891666730244953,314.6666666666667
Moraceae,Castilla tunu,-84.75,14.7666667,25.883333206176758,215.91666666666666
Moraceae,Castilla tunu,-83.58,8.46,25.71666653951009,305.5833333333333
Moraceae,Castilla tunu,-77.3666667,6.1166667,26.483333269755047,428.25
Moraceae,Castilla tunu,-83.3430555,8.4166667,25.88333336512248,252.33333333333334
Moraceae,Castilla tunu,-79.61666,0.9,25.4416667620341,95.66666666666667
Moraceae,Castilla tunu,-79.21666,0.88333,25.25,181.41666666666666
Moraceae,Castilla tunu,-85.76666,13.55,23.36666663487752,136.25
Moraceae,Castilla tunu,-84.78333,14.58333,25.266666571299236,209.83333333333334
Moraceae,Castilla tunu,-84.56666,14.06666,24.733333269755047,229.33333333333334
Moraceae,Castilla tunu,-84.28333,10.91666,25.72499990463257,269.8333333333333
Moraceae,Castilla tunu,-83.4986111,8.5819445,25.77499993642171,243.25
Moraceae,Castilla tunu,-85.18388,14.40416,25.583333333333332,178.5
Moraceae,Castilla tunu,-85.16944,14.25916,25.56666660308838,179.25
Moraceae,Castilla tunu,-85.10805,14.32861,25.13333336512248,184.83333333333334
Moraceae,Castilla tunu,-85.1,14.31666,25.258333206176758,184.5
Moraceae,Castilla tunu,-85.05222,14.37972,25.24166663487752,188.66666666666666
Moraceae,Castilla tunu,-85.05222,14.38472,25.24166663487752,188.41666666666666
Moraceae,Castilla tunu,-85.15,14.31666,25.141666571299236,182.83333333333334
Moraceae,Castilla tunu,-85.15,14.33333,25.11666663487752,182.5
Moraceae,Castilla tunu,-79.96666,0.01666,23.641666889190674,115.5
Moraceae,Castilla tunu,-83.58,8.46,25.71666653951009,305.5833333333333
Moraceae,Castilla tunu,-83.34,8.41,26.083333651224773,288.25
Moraceae,Castilla tunu,-83.53,8.7,24.78333330154419,257.8333333333333
Moraceae,Castilla tunu,-83.25,8.76,26.133333524068195,270.9166666666667
Moraceae,Castilla tunu,-83.21,8.68,25.22499990463257,247.66666666666666
Moraceae,Castilla tunu,-83.75,9.16,26.358333269755047,269.8333333333333
Moraceae,Castilla tunu,-86.619143,14.819222,23.0666667620341,112.33333333333333
Moraceae,Castilla tunu,-86.5,14.5,24.09999990463257,81.16666666666667
