familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Clusiaceae,Chrysochlamys allenii,-83.98,9.63,16.549999793370564,205.08333333333334
Clusiaceae,Chrysochlamys allenii,-83.039222,8.783333,19.383333524068195,282.75
Clusiaceae,Chrysochlamys allenii,-83.67,9.66,12.650000015894571,296.5
Clusiaceae,Chrysochlamys allenii,-83.98,10.05,18.65833346048991,298
Clusiaceae,Chrysochlamys allenii,-83.91,9.64,15.491666793823242,184.66666666666666
Clusiaceae,Chrysochlamys allenii,-84.38111,10.21166,15.71666685740153,195.75
Clusiaceae,Chrysochlamys allenii,-84.37,10.21,15.474999984105429,198.66666666666666
Clusiaceae,Chrysochlamys allenii,-82.6,8.83333,15.483333428700766,212.58333333333334
Clusiaceae,Chrysochlamys allenii,-82.6,8.833333,15.483333428700766,212.58333333333334
Clusiaceae,Chrysochlamys allenii,-82.461667,8.838333,16.274999856948853,202.16666666666666
Clusiaceae,Chrysochlamys allenii,-82.45,8.85,15.083333412806192,287.1666666666667
Clusiaceae,Chrysochlamys allenii,-84.04,10.09,17.949999809265137,298.8333333333333
Clusiaceae,Chrysochlamys allenii,-82.95,8.79,20.708333333333332,233.25
Clusiaceae,Chrysochlamys allenii,-82.55,8.866667,13.00000007947286,222.58333333333334
Clusiaceae,Chrysochlamys allenii,-82.25,8.5,26.21666653951009,254.41666666666666
Clusiaceae,Chrysochlamys allenii,-83.083333,8.966667,24.55833339691162,201.66666666666666
Clusiaceae,Chrysochlamys allenii,-81.823333,8.540556,18.533332983652752,249.33333333333334
Clusiaceae,Chrysochlamys allenii,-84.8,10.3,18.574999968210857,210.08333333333334
Clusiaceae,Chrysochlamys allenii,-84.79,10.3,18.35000006357829,240.33333333333334
Clusiaceae,Chrysochlamys allenii,-82.5625,8.874167,15.03333338101705,222.16666666666666
Clusiaceae,Chrysochlamys allenii,-82.2,8.75,20.39999993642171,303.9166666666667
Clusiaceae,Chrysochlamys allenii,-82.85,9.016667,12.549999872843424,226.08333333333334
Clusiaceae,Chrysochlamys allenii,-82.816667,9,14.066666523615519,264.6666666666667
Clusiaceae,Chrysochlamys allenii,-82.766667,8.95,17.016666571299236,215.16666666666666
