familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Clusiaceae,Chrysochlamys glauca,-83.9519,10.0114,17.35000006357829,334.6666666666667
Clusiaceae,Chrysochlamys glauca,-82.833333,8.45,26.3166667620341,269.5
Clusiaceae,Chrysochlamys glauca,-79.9106,8.5714,27.283333778381348,160.33333333333334
Clusiaceae,Chrysochlamys glauca,-83.628333,9.397778,20.458333333333332,221.08333333333334
Clusiaceae,Chrysochlamys glauca,-83.640833,9.393611,20.866666793823242,210.83333333333334
Clusiaceae,Chrysochlamys glauca,-84.42166,10.17805,18.824999968210857,227.08333333333334
Clusiaceae,Chrysochlamys glauca,-84.41333,10.18444,18.38333336512248,221.16666666666666
Clusiaceae,Chrysochlamys glauca,-84.43,10.28388,21.24999984105428,312.1666666666667
Clusiaceae,Chrysochlamys glauca,-84.42833,10.30138,22.141666412353516,301.8333333333333
Clusiaceae,Chrysochlamys glauca,-83.65333,9.37222,22.84166669845581,241.58333333333334
Clusiaceae,Chrysochlamys glauca,-83.36,9.86,21.71666653951009,270.1666666666667
Clusiaceae,Chrysochlamys glauca,-83.54,8.69,25.71666653951009,237.16666666666666
Clusiaceae,Chrysochlamys glauca,-83.5,8.69,26.233333110809326,283
Clusiaceae,Chrysochlamys glauca,-83.16666,8.63333,NA,NA
Clusiaceae,Chrysochlamys glauca,-82.96,8.8,20.983333269755047,239.91666666666666
Clusiaceae,Chrysochlamys glauca,-82.95,8.79,20.708333333333332,233.25
Clusiaceae,Chrysochlamys glauca,-82.916667,8.833333,22.19166644414266,245.91666666666666
Clusiaceae,Chrysochlamys glauca,-82.9,8.88333,21.52500009536743,241.83333333333334
Clusiaceae,Chrysochlamys glauca,-82.673333,9.375,24.949999968210857,245.58333333333334
Clusiaceae,Chrysochlamys glauca,-84.00917,9.59167,20.016666730244953,212.33333333333334
Clusiaceae,Chrysochlamys glauca,-84.003611,10.431389,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-82.95,9.79,25.43333339691162,273
Clusiaceae,Chrysochlamys glauca,-83.59,9.93,21.78333330154419,254.91666666666666
Clusiaceae,Chrysochlamys glauca,-84.01666,10.43333,25.949999809265137,317.4166666666667
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-84,10.5,26.02499993642171,310.25
Clusiaceae,Chrysochlamys glauca,-82.933333,8.733333,20.916666666666668,241.08333333333334
Clusiaceae,Chrysochlamys glauca,-82.925,8.73805,20.71666669845581,235.16666666666666
Clusiaceae,Chrysochlamys glauca,-82.906667,8.753333,21.03333346048991,236.66666666666666
Clusiaceae,Chrysochlamys glauca,-82.83,8.60833,23.675000031789143,289.3333333333333
Clusiaceae,Chrysochlamys glauca,-78.966667,9.358333,25.299999872843426,254.25
Clusiaceae,Chrysochlamys glauca,-78.96666,9.35833,25.633333206176758,247.75
Clusiaceae,Chrysochlamys glauca,-83.51,8.7,26.125000317891438,247.33333333333334
Clusiaceae,Chrysochlamys glauca,-78.930278,9.275556,24.958333333333332,190.75
Clusiaceae,Chrysochlamys glauca,-82.95,8.79,20.708333333333332,233.25
Clusiaceae,Chrysochlamys glauca,-83.6,8.5,26.216666380564373,319
Clusiaceae,Chrysochlamys glauca,-82.85,8.81666,22.43333355585734,232.91666666666666
Clusiaceae,Chrysochlamys glauca,-82.783333,8.833333,20.550000031789143,237.41666666666666
Clusiaceae,Chrysochlamys glauca,-82.70833,8.81666,19.616666793823242,261
Clusiaceae,Chrysochlamys glauca,-85.3,10.76,21.916666825612385,202.25
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-83.783333,10.5,26.03333346048991,305.9166666666667
Clusiaceae,Chrysochlamys glauca,-84.80888,10.30694,19.075000286102295,188.25
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-82.723333,8.828333,19.75833336512248,243.75
Clusiaceae,Chrysochlamys glauca,-82.72333,8.82833,19.75833336512248,243.75
Clusiaceae,Chrysochlamys glauca,-84.003611,10.431389,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-83.58333,8.46666,25.71666653951009,305.5833333333333
Clusiaceae,Chrysochlamys glauca,-82.783333,8.85,20.49999984105428,249
Clusiaceae,Chrysochlamys glauca,-82.766667,8.85,20.158333619435627,253.08333333333334
Clusiaceae,Chrysochlamys glauca,-85.3,10.783333,20.299999872843426,198.08333333333334
Clusiaceae,Chrysochlamys glauca,-84.48,10.15,20.491666793823242,261.1666666666667
Clusiaceae,Chrysochlamys glauca,-84.48,10.16,20.425000031789143,286.4166666666667
Clusiaceae,Chrysochlamys glauca,-84.043611,10.335278,24.3166667620341,311.8333333333333
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-83.7,9.8,22.208333015441895,251
Clusiaceae,Chrysochlamys glauca,-83.65,9.9,22.93333371480306,281.0833333333333
Clusiaceae,Chrysochlamys glauca,-83.01,8.82,22.71666653951009,267.75
Clusiaceae,Chrysochlamys glauca,-82.833333,8.95,18.3166667620341,256.3333333333333
Clusiaceae,Chrysochlamys glauca,-82.71666,8.83333,19.550000031789143,254.25
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-83.94,10.15,21.875000317891438,311.5
Clusiaceae,Chrysochlamys glauca,-83.58777,8.5175,26.224999745686848,248
Clusiaceae,Chrysochlamys glauca,-83.583333,8.5,25.74999984105428,278.4166666666667
Clusiaceae,Chrysochlamys glauca,-83.58333,8.5,25.74999984105428,278.4166666666667
Clusiaceae,Chrysochlamys glauca,-83.35,8.75,25.5666667620341,272.75
Clusiaceae,Chrysochlamys glauca,-83.08333,9.075,21.3166667620341,234.08333333333334
Clusiaceae,Chrysochlamys glauca,-82.933333,8.95,21.71666669845581,241.83333333333334
Clusiaceae,Chrysochlamys glauca,-82.66333,9.37333,25.19166660308838,254.83333333333334
Clusiaceae,Chrysochlamys glauca,-84.839722,10.3375,19.050000190734863,203
Clusiaceae,Chrysochlamys glauca,-84.8,10.28,20.63333336512248,212.66666666666666
Clusiaceae,Chrysochlamys glauca,-84.8,10.283333,20.63333336512248,212.66666666666666
Clusiaceae,Chrysochlamys glauca,-84.75,10.28,18.358333428700764,285.75
Clusiaceae,Chrysochlamys glauca,-84.75,10.28333,18.358333428700764,285.75
Clusiaceae,Chrysochlamys glauca,-84.73861,10.30666,21.0583332379659,284.4166666666667
Clusiaceae,Chrysochlamys glauca,-84.72944,10.3075,21.325000127156574,294.75
Clusiaceae,Chrysochlamys glauca,-84.6,9.783333,26.016666889190674,178.91666666666666
Clusiaceae,Chrysochlamys glauca,-84.55833,9.75,23.641666571299236,235
Clusiaceae,Chrysochlamys glauca,-84.55,9.75,23.43333339691162,225.91666666666666
Clusiaceae,Chrysochlamys glauca,-84.05,10.35,24.46666653951009,305.5
Clusiaceae,Chrysochlamys glauca,-84.033333,10.283333,23.1916667620341,298.8333333333333
Clusiaceae,Chrysochlamys glauca,-82.93,9.5,25.291666348775227,253.08333333333334
Clusiaceae,Chrysochlamys glauca,-82.83,8.93,18.88333336512248,234.91666666666666
Clusiaceae,Chrysochlamys glauca,-82.21,8.816667,22.61666663487752,304.5
Clusiaceae,Chrysochlamys glauca,-82.203333,8.828333,23.1833332379659,295.1666666666667
Clusiaceae,Chrysochlamys glauca,-82.203333,8.83,23.1833332379659,295.1666666666667
Clusiaceae,Chrysochlamys glauca,-84.833333,10.333333,19.083333492279053,200.25
Clusiaceae,Chrysochlamys glauca,-84.766667,10.416667,23.14999993642171,277.5
Clusiaceae,Chrysochlamys glauca,-84.75,10.33333,18.43333371480306,275.9166666666667
Clusiaceae,Chrysochlamys glauca,-84.666667,10.333333,22.1833332379659,311.3333333333333
Clusiaceae,Chrysochlamys glauca,-84.66,10.33,21.19166644414266,304.4166666666667
Clusiaceae,Chrysochlamys glauca,-84.56,10.3,24.25000015894572,291.75
Clusiaceae,Chrysochlamys glauca,-84.35,9.7,23.991666793823242,244.41666666666666
Clusiaceae,Chrysochlamys glauca,-84.00361,10.43138,26.008333206176758,307.9166666666667
Clusiaceae,Chrysochlamys glauca,-82.66666,8.75,19.741666793823242,242.25
