familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Chrysophyllum venezuelanense,-77.208,-2.262,24.949999650319416,279.3333333333333
Sapotaceae,Chrysophyllum venezuelanense,-48.48972,-1.45528,26.616666793823242,246.58333333333334
Sapotaceae,Chrysophyllum venezuelanense,-52.8731,-10.8339,25.53333346048991,172.25
Sapotaceae,Chrysophyllum venezuelanense,-83.9519,10.0114,17.35000006357829,334.6666666666667
Sapotaceae,Chrysophyllum venezuelanense,-82.1667,8.8333,23.74166663487752,273.3333333333333
Sapotaceae,Chrysophyllum venezuelanense,-80.102665,8.507188,26.266666730244953,185.25
Sapotaceae,Chrysophyllum venezuelanense,-70.25,-7.5,25.274999777475994,192.33333333333334
Sapotaceae,Chrysophyllum venezuelanense,-98.79,21.26,24.149999777475994,156.33333333333334
Sapotaceae,Chrysophyllum venezuelanense,-80.108333,8.623333,22.975000222524006,195.75
Sapotaceae,Chrysophyllum venezuelanense,-90.1792,15.7422,23.483333428700764,387.5
Sapotaceae,Chrysophyllum venezuelanense,-90.1792,15.7422,23.483333428700764,387.5
Sapotaceae,Chrysophyllum venezuelanense,-78.15,8.7,26.708333492279053,203.75
Sapotaceae,Chrysophyllum venezuelanense,-78.133333,8.666667,26.699999968210857,196.41666666666666
Sapotaceae,Chrysophyllum venezuelanense,-79.121667,8.258056,26.741666475931805,192.41666666666666
Sapotaceae,Chrysophyllum venezuelanense,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-78.38333,8.55,26.708333174387615,190.75
Sapotaceae,Chrysophyllum venezuelanense,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.02,10.42,25.766666889190674,314.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.01666,10.43333,25.949999809265137,317.4166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.01,10.43,25.949999809265137,317.4166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.10948,10.401,25.349999745686848,293.8333333333333
Sapotaceae,Chrysophyllum venezuelanense,-84.1,10.4,25.241666952768963,297.5833333333333
Sapotaceae,Chrysophyllum venezuelanense,-83.9519,10.0114,17.35000006357829,334.6666666666667
Sapotaceae,Chrysophyllum venezuelanense,-82.43333,9.26666,25.333333333333332,222.66666666666666
Sapotaceae,Chrysophyllum venezuelanense,-80.11666,8.60833,23.96666685740153,204.75
Sapotaceae,Chrysophyllum venezuelanense,-79.91583,8.6875,24.22499990463257,202.58333333333334
Sapotaceae,Chrysophyllum venezuelanense,-83.8667,10,13.466666539510092,317.3333333333333
Sapotaceae,Chrysophyllum venezuelanense,-81.09805,8.48222,22.52500009536743,206.41666666666666
Sapotaceae,Chrysophyllum venezuelanense,-80.11333,8.625,22.533333619435627,198.41666666666666
Sapotaceae,Chrysophyllum venezuelanense,-81.115,8.513056,22.10000006357829,240
Sapotaceae,Chrysophyllum venezuelanense,-94.61666,17.26666,25.291666666666668,303.8333333333333
Sapotaceae,Chrysophyllum venezuelanense,-79.36666,-0.58333,24.46666669845581,217.75
Sapotaceae,Chrysophyllum venezuelanense,-85.03,10.82,26.291666825612385,247.08333333333334
Sapotaceae,Chrysophyllum venezuelanense,-84.55,9.72,24.35000006357829,235.58333333333334
Sapotaceae,Chrysophyllum venezuelanense,-84.55,9.73,24.09166669845581,236.58333333333334
Sapotaceae,Chrysophyllum venezuelanense,-82.83,9.62,26.40000009536743,240.91666666666666
Sapotaceae,Chrysophyllum venezuelanense,-81.11666,8.51666,22.10000006357829,240
Sapotaceae,Chrysophyllum venezuelanense,-88.65,17.76666,25.96666669845581,140.91666666666666
Sapotaceae,Chrysophyllum venezuelanense,-65.5,-14,26.108333428700764,139.16666666666666
Sapotaceae,Chrysophyllum venezuelanense,-89.35083,16.08111,24.583333492279053,289.4166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.01,10.42,25.874999682108562,310.5
Sapotaceae,Chrysophyllum venezuelanense,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-73.75,-8.33333,25.699999968210857,153.5
Sapotaceae,Chrysophyllum venezuelanense,-79.36666,-0.58333,24.46666669845581,217.75
Sapotaceae,Chrysophyllum venezuelanense,-77.68333,-1.05,23.591666380564373,359.8333333333333
Sapotaceae,Chrysophyllum venezuelanense,-77.683,-1.05,23.591666380564373,359.8333333333333
Sapotaceae,Chrysophyllum venezuelanense,-76.63333,-2.56666,25.65000009536743,249.33333333333334
Sapotaceae,Chrysophyllum venezuelanense,-70.25,-12,24.558333079020183,225.75
Sapotaceae,Chrysophyllum venezuelanense,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-77.66666,-3.83333,26.383333206176758,197.41666666666666
Sapotaceae,Chrysophyllum venezuelanense,-76.46666,-2.8,25.90833314259847,228.66666666666666
Sapotaceae,Chrysophyllum venezuelanense,-95.257778,18.573056,22.833333174387615,201.16666666666666
Sapotaceae,Chrysophyllum venezuelanense,-95.06,18.58,25.633333206176758,205.5
Sapotaceae,Chrysophyllum venezuelanense,-95.058889,18.5925,25.425000031789143,204.91666666666666
Sapotaceae,Chrysophyllum venezuelanense,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-94.675,17.275,25.141666412353516,286.4166666666667
Sapotaceae,Chrysophyllum venezuelanense,-94.666667,17.266667,25.141666412353516,286.4166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.466667,11.683333,25.50000015894572,202.91666666666666
Sapotaceae,Chrysophyllum venezuelanense,-84.43333,11.11666,25.89999993642171,248.41666666666666
Sapotaceae,Chrysophyllum venezuelanense,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-72.83333,-3.46666,26.224999745686848,258
Sapotaceae,Chrysophyllum venezuelanense,-71.36666,-11.86666,25.02500009536743,214
Sapotaceae,Chrysophyllum venezuelanense,-95.073889,18.584722,25.3166667620341,203
Sapotaceae,Chrysophyllum venezuelanense,-84.74,10.03,26.84166669845581,179.5
Sapotaceae,Chrysophyllum venezuelanense,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapotaceae,Chrysophyllum venezuelanense,-83.93,10.16,23.1833332379659,302.8333333333333
Sapotaceae,Chrysophyllum venezuelanense,-83.45,8.96,26.30833339691162,261.1666666666667
Sapotaceae,Chrysophyllum venezuelanense,-83.08,9.65,24.30833339691162,285.6666666666667
Sapotaceae,Chrysophyllum venezuelanense,-74.849556,5.93631,26.53333314259847,200
Sapotaceae,Chrysophyllum venezuelanense,-74.65,5.88333,27.75000015894572,207.5
Sapotaceae,Chrysophyllum venezuelanense,-74.65,5.883333,27.75000015894572,207.5
Sapotaceae,Chrysophyllum venezuelanense,-96.099444,18.195,25.86666663487752,173.91666666666666
Sapotaceae,Chrysophyllum venezuelanense,-84.46666,11.03333,25.958333174387615,254.5
Sapotaceae,Chrysophyllum venezuelanense,-84.46666,11.05,25.80833339691162,245.16666666666666
Sapotaceae,Chrysophyllum venezuelanense,-77.6,-1.11666,23.97500006357829,355.4166666666667
Sapotaceae,Chrysophyllum venezuelanense,-77.6,-1.06666,23.958333174387615,355.3333333333333
Sapotaceae,Chrysophyllum venezuelanense,-76.75,-1.4,24.96666653951009,308.1666666666667
Sapotaceae,Chrysophyllum venezuelanense,-75.16666,-7.08333,27.016666412353516,145.25
Sapotaceae,Chrysophyllum venezuelanense,-83.658333,10.675,26.25833336512248,300.5
Sapotaceae,Chrysophyllum venezuelanense,-83.65,10.67,26.266666730244953,303.3333333333333
Sapotaceae,Chrysophyllum venezuelanense,-77.033333,-0.433333,24.875,296.0833333333333
Sapotaceae,Chrysophyllum venezuelanense,-77,-0.42,24.891666571299236,297.5
Sapotaceae,Chrysophyllum venezuelanense,-77,-0.416667,24.891666571299236,297.5
