familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Clethraceae,Clethra consimilis,-84.380936,10.211761,15.71666685740153,195.75
Clethraceae,Clethra consimilis,-84.37,10.21,15.474999984105429,198.66666666666666
Clethraceae,Clethra consimilis,-83.006944,9.386111,20.791666666666668,281.8333333333333
Clethraceae,Clethra consimilis,-84.75,10.28,18.358333428700764,285.75
Clethraceae,Clethra consimilis,-83.783333,9.775,18.199999968210857,252.16666666666666
Clethraceae,Clethra consimilis,-83,9.38,22.333333492279053,261.5833333333333
Clethraceae,Clethra consimilis,-83.979167,9.777778,17.25,172.58333333333334
Clethraceae,Clethra consimilis,-83.983328,9.791658,16.916666666666668,212.16666666666666
Clethraceae,Clethra consimilis,-83.9764,9.7444,16.11666663487752,197.58333333333334
Clethraceae,Clethra consimilis,-83.782389,9.692944,17.333333651224773,259.3333333333333
Clethraceae,Clethra consimilis,-84.073056,10.086944,14.941666603088379,200
Clethraceae,Clethra consimilis,-81.813333,8.531667,19.19166660308838,255.08333333333334
Clethraceae,Clethra consimilis,-81.8225,8.532778,20.03333330154419,251.25
Clethraceae,Clethra consimilis,-82.708333,8.911111,13.391666650772095,275.0833333333333
Clethraceae,Clethra consimilis,-83.976389,9.744444,16.11666663487752,197.58333333333334
Clethraceae,Clethra consimilis,-81.823333,8.540556,18.533332983652752,249.33333333333334
Clethraceae,Clethra consimilis,-81.82333,8.54055,18.533332983652752,249.33333333333334
Clethraceae,Clethra consimilis,-84.380936,10.212014,15.71666685740153,195.75
Clethraceae,Clethra consimilis,-84.37,10.21,15.474999984105429,198.66666666666666
Clethraceae,Clethra consimilis,-84.11,10.16,14.149999936421713,233.33333333333334
Clethraceae,Clethra consimilis,-84.1,10.18,16.125,311.5833333333333
Clethraceae,Clethra consimilis,-83.78,9.74,18.483333110809326,258.5
Clethraceae,Clethra consimilis,-82.26416,8.72777,20.19166644414266,247.83333333333334
Clethraceae,Clethra consimilis,-84.758333,10.283333,19.22500006357829,283.1666666666667
Clethraceae,Clethra consimilis,-83.784786,9.703809,17.06666660308838,258
Clethraceae,Clethra consimilis,-81.794167,8.517222,18.366666952768963,234.41666666666666
Clethraceae,Clethra consimilis,-83.979167,9.777778,17.25,172.58333333333334
Clethraceae,Clethra consimilis,-83.9519,10.0114,17.35000006357829,334.6666666666667
