familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Polygonaceae,Coccoloba floribunda,-102,23,17.06666660308838,30.666666666666668
Polygonaceae,Coccoloba floribunda,-89.42027,13.59833,23.53333314259847,159.25
Polygonaceae,Coccoloba floribunda,-86.325,11.716667,26.758333206176758,113.91666666666667
Polygonaceae,Coccoloba floribunda,-85.783333,11.15,26.65833314259847,144.33333333333334
Polygonaceae,Coccoloba floribunda,-95.23,16.32,28.366666793823242,75.25
Polygonaceae,Coccoloba floribunda,-85.966667,11.933333,26.65833330154419,127.33333333333333
Polygonaceae,Coccoloba floribunda,-87.31666,12.61666,27.49166663487752,160.16666666666666
Polygonaceae,Coccoloba floribunda,-85.95,11.93333,26.81666660308838,125.16666666666667
Polygonaceae,Coccoloba floribunda,-95.208333,16.191667,27.925000190734863,72.25
Polygonaceae,Coccoloba floribunda,-86.266667,12.15,26.9333332379659,142
Polygonaceae,Coccoloba floribunda,-87.65777,13.275,27.333333492279053,145.25
Polygonaceae,Coccoloba floribunda,-86.28333,12.01666,21.9333332379659,127.5
Polygonaceae,Coccoloba floribunda,-103.5,18.59,25.458333333333332,82.08333333333333
Polygonaceae,Coccoloba floribunda,-92.4175,14.719167,27.991666475931805,116.83333333333333
Polygonaceae,Coccoloba floribunda,-88.083333,13.283333,25.366666475931805,157.58333333333334
Polygonaceae,Coccoloba floribunda,-87.45,13.41666,28.541666666666668,130.83333333333334
Polygonaceae,Coccoloba floribunda,-87.183333,12.483333,NA,NA
Polygonaceae,Coccoloba floribunda,-85.366667,12.1,26.599999745686848,102.75
Polygonaceae,Coccoloba floribunda,-89.325833,13.485,26.333333174387615,152.75
Polygonaceae,Coccoloba floribunda,-85.551389,15.850556,27.333333015441895,163.33333333333334
Polygonaceae,Coccoloba floribunda,-104.708333,19.258333,26.016666730244953,87.58333333333333
Polygonaceae,Coccoloba floribunda,-104.598889,19.223333,26.15833330154419,88.58333333333333
Polygonaceae,Coccoloba floribunda,-95.190833,18.460556,24.31666660308838,174.75
Polygonaceae,Coccoloba floribunda,-89.44888,13.49583,NA,NA
Polygonaceae,Coccoloba floribunda,-92.025,15.691667,24.074999968210857,125.25
Polygonaceae,Coccoloba floribunda,-84.72,9.94,26.516666571299236,166.75
Polygonaceae,Coccoloba floribunda,-85.69,10.55,27.38333336512248,146.08333333333334
Polygonaceae,Coccoloba floribunda,-86.51666,11.78333,27.133333524068195,118.25
Polygonaceae,Coccoloba floribunda,-86.13333,11.96666,26.174999872843426,118
Polygonaceae,Coccoloba floribunda,-85.69,10.55,27.38333336512248,146.08333333333334
Polygonaceae,Coccoloba floribunda,-97.7925,23.193889,23.5666667620341,88.16666666666667
Polygonaceae,Coccoloba floribunda,-87.4975,13.29888,28.49166663487752,130.58333333333334
Polygonaceae,Coccoloba floribunda,-86.51666,11.78333,27.133333524068195,118.25
Polygonaceae,Coccoloba floribunda,-85.36666,10.58333,26.833333174387615,167.33333333333334
Polygonaceae,Coccoloba floribunda,-93.821944,15.946667,28.158333619435627,132.41666666666666
Polygonaceae,Coccoloba floribunda,-92.341667,15.875,24.716666380564373,104.16666666666667
Polygonaceae,Coccoloba floribunda,-87.68333,14.31666,23.56666660308838,105.41666666666667
Polygonaceae,Coccoloba floribunda,-85.3,10.33,27.15833330154419,146.66666666666666
Polygonaceae,Coccoloba floribunda,-93.81,15.93,NA,NA
Polygonaceae,Coccoloba floribunda,-85.65,12.3,26.141666412353516,119
Polygonaceae,Coccoloba floribunda,-85.31666,10.53333,27.15000009536743,147
Polygonaceae,Coccoloba floribunda,-89.000556,13.336944,NA,NA
Polygonaceae,Coccoloba floribunda,-87.5,13.01666,NA,NA
Polygonaceae,Coccoloba floribunda,-87.43333,13.55,28.374999682108562,128.75
Polygonaceae,Coccoloba floribunda,-86.33333,12.25,25.675000190734863,124.25
Polygonaceae,Coccoloba floribunda,-85.74,10.87,26.333333174387615,142.75
Polygonaceae,Coccoloba floribunda,-87.514167,13.274722,28.5,129.16666666666666
Polygonaceae,Coccoloba floribunda,-87.44166,13.1925,28.416666666666668,117.5
Polygonaceae,Coccoloba floribunda,-87.25,12.68333,27.69166660308838,148.41666666666666
Polygonaceae,Coccoloba floribunda,-86.516667,13.195833,24.61666663487752,107.83333333333333
Polygonaceae,Coccoloba floribunda,-85.3,10.33,27.15833330154419,146.66666666666666
Polygonaceae,Coccoloba floribunda,-86.35,12.25,26.991666475931805,123.75
Polygonaceae,Coccoloba floribunda,-86.21666,13.16666,21.074999968210857,94.58333333333333
Polygonaceae,Coccoloba floribunda,-86.1,12.31666,26.87499984105428,122.66666666666667
Polygonaceae,Coccoloba floribunda,-85.58,10.83,26.5,137.41666666666666
Polygonaceae,Coccoloba floribunda,-85.341111,10.344444,27.050000190734863,159.25
Polygonaceae,Coccoloba floribunda,-85.31666,10.53333,27.15000009536743,147
Polygonaceae,Coccoloba floribunda,-95.208333,16.191667,27.925000190734863,72.25
Polygonaceae,Coccoloba floribunda,-92.345561,15.058889,26.14999993642171,245.83333333333334
Polygonaceae,Coccoloba floribunda,-92.345556,15.058889,26.14999993642171,245.83333333333334
Polygonaceae,Coccoloba floribunda,-91.91,15.97,23.85000006357829,125.08333333333333
Polygonaceae,Coccoloba floribunda,-86.71666,12.08333,27.24999984105428,125.66666666666667
Polygonaceae,Coccoloba floribunda,-86.52777,11.82222,27.191666920979817,116.83333333333333
Polygonaceae,Coccoloba floribunda,-86.46666,12.6,27.30833339691162,114
Polygonaceae,Coccoloba floribunda,-86.358056,11.640278,NA,NA
Polygonaceae,Coccoloba floribunda,-86.341944,12.249444,26.991666475931805,123.75
Polygonaceae,Coccoloba floribunda,-86.338889,11.641667,26.916666825612385,115.75
Polygonaceae,Coccoloba floribunda,-86.33333,12.21666,26.791666666666668,123.83333333333333
Polygonaceae,Coccoloba floribunda,-86.26666,12.1,25.75833336512248,110.58333333333333
Polygonaceae,Coccoloba floribunda,-85.78333,11.15,26.65833314259847,144.33333333333334
Polygonaceae,Coccoloba floribunda,-85.7,10.53,26.708333492279053,141
Polygonaceae,Coccoloba floribunda,-85.69976317,10.53443001,27.416666507720947,134.58333333333334
Polygonaceae,Coccoloba floribunda,-85.66,10.79,27.324999809265137,142.75
Polygonaceae,Coccoloba floribunda,-85.66,10.8,27.366666475931805,148
Polygonaceae,Coccoloba floribunda,-85.61666,10.83333,25.858333110809326,146
Polygonaceae,Coccoloba floribunda,-85.6,10.83,26.03333346048991,134.16666666666666
Polygonaceae,Coccoloba floribunda,-86.41666,11.86666,26.19166660308838,107.75
Polygonaceae,Coccoloba floribunda,-86.35,12.23333,25.81666644414266,126.41666666666667
Polygonaceae,Coccoloba floribunda,-86.083333,12.366667,27.041666507720947,113.58333333333333
Polygonaceae,Coccoloba floribunda,-85.98333,12.63333,24.34999990463257,106.75
Polygonaceae,Coccoloba floribunda,-85.65,10.8,27.15000009536743,132.16666666666666
Polygonaceae,Coccoloba floribunda,-85.58,10.83,26.5,137.41666666666666
Polygonaceae,Coccoloba floribunda,-85.55,11.51666,26.608333110809326,136.83333333333334
Polygonaceae,Coccoloba floribunda,-103.555,18.454167,26.358333269755047,74.75
Polygonaceae,Coccoloba floribunda,-86.48055,12.35416,26.233333428700764,132
Polygonaceae,Coccoloba floribunda,-86.477778,12.358333,26.233333428700764,132
Polygonaceae,Coccoloba floribunda,-86.47083,12.35,26.5,132.33333333333334
Polygonaceae,Coccoloba floribunda,-86.26666,12.15,27.00833336512248,148.25
Polygonaceae,Coccoloba floribunda,-86.23333,11.85,23.8083332379659,111.75
Polygonaceae,Coccoloba floribunda,-86.23333,12.1,25.916666507720947,117.58333333333333
Polygonaceae,Coccoloba floribunda,-86.2,11.85,23.733333269755047,122.83333333333333
Polygonaceae,Coccoloba floribunda,-85.8,11.15,NA,NA
Polygonaceae,Coccoloba floribunda,-87.73981,19.77053,26.083333333333332,105.66666666666667
Polygonaceae,Coccoloba floribunda,-87.36666,13.58333,28.18333371480306,124.58333333333333
Polygonaceae,Coccoloba floribunda,-86.75,12.16666,27.541666825612385,121.25
Polygonaceae,Coccoloba floribunda,-86.73333,13.2,25.799999872843426,121.66666666666667
Polygonaceae,Coccoloba floribunda,-86.71666,12.23333,27.62499984105428,112.83333333333333
Polygonaceae,Coccoloba floribunda,-86.68333,12.08333,27.199999968210857,118.41666666666667
Polygonaceae,Coccoloba floribunda,-86.61666,13.18333,26.008333683013916,119.91666666666667
Polygonaceae,Coccoloba floribunda,-86.6,13.2,25.766666571299236,112.41666666666667
Polygonaceae,Coccoloba floribunda,-86.58333,12.41666,27.09166653951009,128.58333333333334
Polygonaceae,Coccoloba floribunda,-86.58333,13.16666,25.125,118.83333333333333
Polygonaceae,Coccoloba floribunda,-86.58333,13.18333,25.733333110809326,115.5
Polygonaceae,Coccoloba floribunda,-86.56666,13.18333,25.358333428700764,111.25
Polygonaceae,Coccoloba floribunda,-86.55,13.2,25.208333174387615,113.08333333333333
Polygonaceae,Coccoloba floribunda,-86.53333,12.38333,26.824999968210857,129.58333333333334
Polygonaceae,Coccoloba floribunda,-86.5,12.4,26.875,130.91666666666666
Polygonaceae,Coccoloba floribunda,-86.48055,12.35,26.516666730244953,132.41666666666666
Polygonaceae,Coccoloba floribunda,-86.37361,12.2875,26.858333110809326,126.16666666666667
Polygonaceae,Coccoloba floribunda,-86.35,12.18333,26.94166644414266,107.58333333333333
Polygonaceae,Coccoloba floribunda,-86.34166,12.60833,27.15000009536743,109.25
Polygonaceae,Coccoloba floribunda,-86.333333,12.216667,26.924999713897705,128.08333333333334
Polygonaceae,Coccoloba floribunda,-86.33333,12.25,25.675000190734863,124.25
Polygonaceae,Coccoloba floribunda,-86.31666,12.56666,27.083333174387615,108.33333333333333
Polygonaceae,Coccoloba floribunda,-86.30833,12.22222,26.6833332379659,120.25
Polygonaceae,Coccoloba floribunda,-86.26666,12.76666,25.175000190734863,99.58333333333333
Polygonaceae,Coccoloba floribunda,-86.26666,12.8,24.891666571299236,98.91666666666667
Polygonaceae,Coccoloba floribunda,-86.23611,12.76944,25.175000190734863,96.5
Polygonaceae,Coccoloba floribunda,-86.21666,12.86666,24.966666380564373,91.75
Polygonaceae,Coccoloba floribunda,-86.066667,11.916667,23.833333492279053,124.16666666666667
Polygonaceae,Coccoloba floribunda,-86.066667,11.933333,24.21666669845581,120.66666666666667
Polygonaceae,Coccoloba floribunda,-86.06666,12.58333,24.75833336512248,110.91666666666667
Polygonaceae,Coccoloba floribunda,-86.05,12.16666,27.024999777475994,117.66666666666667
Polygonaceae,Coccoloba floribunda,-85.65,12.26666,26.383333524068195,114.33333333333333
Polygonaceae,Coccoloba floribunda,-93.817778,15.938333,NA,NA
Polygonaceae,Coccoloba floribunda,-86.9,13.03333,27.983333428700764,134.75
Polygonaceae,Coccoloba floribunda,-86.88333,13.08333,27.791666666666668,138.83333333333334
Polygonaceae,Coccoloba floribunda,-86.75,12.16666,27.541666825612385,121.25
Polygonaceae,Coccoloba floribunda,-86.66666,12.43333,26.791666666666668,116.91666666666667
Polygonaceae,Coccoloba floribunda,-86.43333,12.06666,25.60000006357829,104.33333333333333
Polygonaceae,Coccoloba floribunda,-86.30833,12.225,26.6833332379659,120.25
Polygonaceae,Coccoloba floribunda,-86.275,12.70833,25.75833336512248,105.25
Polygonaceae,Coccoloba floribunda,-86.26666,12.15,27.00833336512248,148.25
Polygonaceae,Coccoloba floribunda,-86.11666,12.4,27.016666571299236,113.91666666666667
Polygonaceae,Coccoloba floribunda,-86.05,12.58333,24.81666660308838,112.5
Polygonaceae,Coccoloba floribunda,-86.05,12.63333,25.05833339691162,105.83333333333333
Polygonaceae,Coccoloba floribunda,-85.94166,12.00833,26.75833336512248,126.5
Polygonaceae,Coccoloba floribunda,-85.83333,12.4,25.300000190734863,123.08333333333333
