familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Polygonaceae,Coccoloba guanacastensis,-85.983333,11.65,26.799999872843426,124.41666666666667
Polygonaceae,Coccoloba guanacastensis,-85.61,11.04,25.96666653951009,140.5
Polygonaceae,Coccoloba guanacastensis,-84.139172,9.382295,26.433333079020183,190.83333333333334
Polygonaceae,Coccoloba guanacastensis,-85.670617,10.786459,27.4333332379659,139.83333333333334
Polygonaceae,Coccoloba guanacastensis,-83.197872,8.97956,25.53333346048991,185.16666666666666
Polygonaceae,Coccoloba guanacastensis,-85.643,10.811,26.291666666666668,138.91666666666666
Polygonaceae,Coccoloba guanacastensis,-85.733333,11.183333,25.758333206176758,157.16666666666666
Polygonaceae,Coccoloba guanacastensis,-84.347222,9.750556,25.083333651224773,211.41666666666666
Polygonaceae,Coccoloba guanacastensis,-84.34,9.75,25.041666825612385,180.5
Polygonaceae,Coccoloba guanacastensis,-85.31666,10.53333,27.15000009536743,147
Polygonaceae,Coccoloba guanacastensis,-85.31666,10.53333,27.15000009536743,147
Polygonaceae,Coccoloba guanacastensis,-85.64,10.81,26.47500006357829,139.66666666666666
Polygonaceae,Coccoloba guanacastensis,-84.34,9.75,25.041666825612385,180.5
Polygonaceae,Coccoloba guanacastensis,-84.34,9.75,25.041666825612385,180.5
Polygonaceae,Coccoloba guanacastensis,-83.317222,8.981944,24.425000031789143,266.3333333333333
Polygonaceae,Coccoloba guanacastensis,-84.56,9.95,25.941666920979817,197.75
Polygonaceae,Coccoloba guanacastensis,-84.56,9.95,25.941666920979817,197.75
Polygonaceae,Coccoloba guanacastensis,-85.611389,10.815278,26.016666730244953,138.66666666666666
Polygonaceae,Coccoloba guanacastensis,-84.6,10.02,24.833333333333332,197.16666666666666
Polygonaceae,Coccoloba guanacastensis,-84.63,10,25.824999968210857,227.58333333333334
Polygonaceae,Coccoloba guanacastensis,-84.15,9.380556,26.458333015441895,201.25
Polygonaceae,Coccoloba guanacastensis,-85.48333,11.46666,25.233332951863606,173.16666666666666
Polygonaceae,Coccoloba guanacastensis,-86,11.68333,26.75,125.33333333333333
Polygonaceae,Coccoloba guanacastensis,-85.379167,10.495833,27.28333314259847,149.5
Polygonaceae,Coccoloba guanacastensis,-85.875,11.38055,26.583333333333332,122.25
Polygonaceae,Coccoloba guanacastensis,-86.033333,11.683333,26.65000009536743,119.25
Polygonaceae,Coccoloba guanacastensis,-86.15,11.55,26.72499990463257,114.41666666666667
Polygonaceae,Coccoloba guanacastensis,-85.9725,11.35265,26.78333346048991,129.08333333333334
Polygonaceae,Coccoloba guanacastensis,-86.3,11.66666,26.899999777475994,109.91666666666667
Polygonaceae,Coccoloba guanacastensis,-86.085528,11.711083,26.40000009536743,117.41666666666667
Polygonaceae,Coccoloba guanacastensis,-85.431944,9.865278,26.74166663487752,157
Polygonaceae,Coccoloba guanacastensis,-86.016667,11.6,26.38333336512248,119.75
Polygonaceae,Coccoloba guanacastensis,-85.35535,10.348183,27.208333333333332,164.83333333333334
Polygonaceae,Coccoloba guanacastensis,-85.355067,10.34885,27.208333333333332,164.83333333333334
Polygonaceae,Coccoloba guanacastensis,-85.351167,10.347233,27.208333333333332,164.83333333333334
Polygonaceae,Coccoloba guanacastensis,-84.13,9.39,26.3083332379659,183.5
Polygonaceae,Coccoloba guanacastensis,-84.9,9.81,NA,NA
Polygonaceae,Coccoloba guanacastensis,-85.643689,10.80013,26.708333651224773,130.75
Polygonaceae,Coccoloba guanacastensis,-84.9,9.816667,26.40833346048991,147.91666666666666
Polygonaceae,Coccoloba guanacastensis,-84.53,9.77,25.616666952768963,203
Polygonaceae,Coccoloba guanacastensis,-84.53,9.77,25.616666952768963,203
Polygonaceae,Coccoloba guanacastensis,-84.15,9.38,26.458333015441895,201.25
Polygonaceae,Coccoloba guanacastensis,-85.64,10.8,26.949999968210857,135.66666666666666
Polygonaceae,Coccoloba guanacastensis,-85.64,10.8,26.949999968210857,135.66666666666666
Polygonaceae,Coccoloba guanacastensis,-85.61,10.81,26.016666730244953,138.66666666666666
Polygonaceae,Coccoloba guanacastensis,-85.61,10.81,26.016666730244953,138.66666666666666
Polygonaceae,Coccoloba guanacastensis,-84.347222,9.752778,25.083333651224773,211.41666666666666
Polygonaceae,Coccoloba guanacastensis,-84.533333,9.777778,25.616666952768963,203.08333333333334
Polygonaceae,Coccoloba guanacastensis,-84.53,9.77,25.616666952768963,203
Polygonaceae,Coccoloba guanacastensis,-85.37,10.49,26.916666825612385,151.83333333333334
Polygonaceae,Coccoloba guanacastensis,-85.37,10.49,26.916666825612385,151.83333333333334
Polygonaceae,Coccoloba guanacastensis,-85.431944,9.865278,26.74166663487752,157
Polygonaceae,Coccoloba guanacastensis,-85.58,10.83,26.5,137.41666666666666
Polygonaceae,Coccoloba guanacastensis,-85.58,10.83,26.5,137.41666666666666
Polygonaceae,Coccoloba guanacastensis,-83.31,8.98,24.925000031789143,264.0833333333333
Polygonaceae,Coccoloba guanacastensis,-83.31,8.98,24.925000031789143,264.0833333333333
Polygonaceae,Coccoloba guanacastensis,-83.170833,8.965278,24.966667016347248,232.66666666666666
Polygonaceae,Coccoloba guanacastensis,-85.25,10.5,27.266666571299236,168.83333333333334
