familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Polygonaceae,Coccoloba porphyrostachys,-84.930556,10.588889,22.174999872843426,293.25
Polygonaceae,Coccoloba porphyrostachys,-84.19,10.28,21.716666380564373,292.9166666666667
Polygonaceae,Coccoloba porphyrostachys,-85.465,10.923,20.916666825612385,193.91666666666666
Polygonaceae,Coccoloba porphyrostachys,-85.474,10.915,21.666666666666668,174.91666666666666
Polygonaceae,Coccoloba porphyrostachys,-84.95,10.81,26.25833336512248,241.66666666666666
Polygonaceae,Coccoloba porphyrostachys,-84.93,10.58,22.141666412353516,302.3333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.5,10.16,20.149999777475994,287.9166666666667
Polygonaceae,Coccoloba porphyrostachys,-85.47,10.92,21.233333269755047,180.66666666666666
Polygonaceae,Coccoloba porphyrostachys,-85.316667,10.766667,21.40833346048991,166
Polygonaceae,Coccoloba porphyrostachys,-85.316667,10.766667,21.40833346048991,166
Polygonaceae,Coccoloba porphyrostachys,-84.983333,10.683333,21.03333330154419,294.5
Polygonaceae,Coccoloba porphyrostachys,-84.716668,10.316667,20.858333587646484,282.5833333333333
Polygonaceae,Coccoloba porphyrostachys,-85.427779,10.990556,22.574999968210857,249.33333333333334
Polygonaceae,Coccoloba porphyrostachys,-85.459903,10.930121,19.958333174387615,198.58333333333334
Polygonaceae,Coccoloba porphyrostachys,-83.17603,9.80187,19.166666825612385,356
Polygonaceae,Coccoloba porphyrostachys,-84.8,10.38,20.883333524068195,280.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-82.25,8.75,20.491666793823242,244.83333333333334
Polygonaceae,Coccoloba porphyrostachys,-84.997056,10.703556,21.883333524068195,282.25
Polygonaceae,Coccoloba porphyrostachys,-84.88,10.41,21.458333333333332,285.3333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.883333,10.416667,21.833333492279053,262.5833333333333
Polygonaceae,Coccoloba porphyrostachys,-83.69,9.96,21.06666660308838,263.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-83.692198,9.97216,20.291666825612385,279.3333333333333
Polygonaceae,Coccoloba porphyrostachys,-83.69,9.96,21.06666660308838,263.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-82.25,8.75,20.491666793823242,244.83333333333334
Polygonaceae,Coccoloba porphyrostachys,-84.990278,10.671389,20.208333333333332,289.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-85.32,10.8,18.574999968210857,192.91666666666666
Polygonaceae,Coccoloba porphyrostachys,-84.5,10.166667,20.56666660308838,288.25
Polygonaceae,Coccoloba porphyrostachys,-83.970444,10.129694,21.27499993642171,296.6666666666667
Polygonaceae,Coccoloba porphyrostachys,-85.4,10.88,23.12499984105428,239.25
Polygonaceae,Coccoloba porphyrostachys,-85.46,10.91,21.40000009536743,181.25
Polygonaceae,Coccoloba porphyrostachys,-84.99027,10.67138,20.208333333333332,289.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-83.566667,8.666667,24.883333524068195,267.8333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.6,10.22,21.34166685740153,290.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-84.6,10.22,21.34166685740153,290.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-84.75,10.3,20.391666730244953,286.8333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.71,10.31,21.825000127156574,299.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-84.75,10.3,20.391666730244953,286.8333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.8,10.38,20.883333524068195,280.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-83.56,8.66,25.14999993642171,267.3333333333333
Polygonaceae,Coccoloba porphyrostachys,-83.58,8.55,26.224999745686848,235.16666666666666
Polygonaceae,Coccoloba porphyrostachys,-84.6,10.22,21.34166685740153,290.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-83.58,8.55,26.224999745686848,235.16666666666666
Polygonaceae,Coccoloba porphyrostachys,-83.76,9.29,20.983333428700764,236.41666666666666
Polygonaceae,Coccoloba porphyrostachys,-84.7,10.3,20.391666730244953,285.5
Polygonaceae,Coccoloba porphyrostachys,-84.75,10.3,20.391666730244953,286.8333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.8,10.38,20.883333524068195,280.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-84.8,10.383333,20.883333524068195,280.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-84.995833,10.611111,21.37500015894572,285.8333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.995833,10.611111,21.37500015894572,285.8333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.88333,10.41666,21.458333333333332,285.3333333333333
Polygonaceae,Coccoloba porphyrostachys,-84.95,10.82,26.25833336512248,227.58333333333334
Polygonaceae,Coccoloba porphyrostachys,-84.99,10.61,21.15833314259847,281.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-84.99,10.61,21.15833314259847,281.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-85.326167,10.863333,22.06666660308838,266.4166666666667
Polygonaceae,Coccoloba porphyrostachys,-85.316472,10.938333,24.241666475931805,256.4166666666667
