familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Bixaceae,Cochlospermum vitifolium,-80.717,-1.567,22.416666666666668,44.583333333333336
Bixaceae,Cochlospermum vitifolium,-80.083,-0.017,24.716666380564373,79.83333333333333
Bixaceae,Cochlospermum vitifolium,-105.07249279,19.54359262,25.47499990463257,75.66666666666667
Bixaceae,Cochlospermum vitifolium,-105.03482473,19.49570601,25.233333428700764,79.33333333333333
Bixaceae,Cochlospermum vitifolium,-105.03482471,19.49076224,25.233333587646484,78.91666666666667
Bixaceae,Cochlospermum vitifolium,-105.03399171,19.49562302,25.233333428700764,79.33333333333333
Bixaceae,Cochlospermum vitifolium,-104.99215795,19.54653677,25.125,88.66666666666667
Bixaceae,Cochlospermum vitifolium,-104.95798985,19.46892955,25.15833330154419,88.83333333333333
Bixaceae,Cochlospermum vitifolium,-96.784167,19.573333,22.36666663487752,107.33333333333333
Bixaceae,Cochlospermum vitifolium,-88.46475668,19.35244766,25.87500015894572,100.16666666666667
Bixaceae,Cochlospermum vitifolium,-106.44,23.299,24.924999713897705,66.33333333333333
Bixaceae,Cochlospermum vitifolium,-105.93316,23.408402,23.36666663487752,92
Bixaceae,Cochlospermum vitifolium,-106.443443,23.299457,24.875,66
Bixaceae,Cochlospermum vitifolium,-84.634477,9.775882,26.766666571299236,161.91666666666666
Bixaceae,Cochlospermum vitifolium,-92.998881,17.931866,26.541666666666668,169.5
Bixaceae,Cochlospermum vitifolium,-92.97186,16.75339,23.84166669845581,99.08333333333333
Bixaceae,Cochlospermum vitifolium,-96.134143,15.769197,27.19166660308838,99
Bixaceae,Cochlospermum vitifolium,-95.023381,16.675888,25.516666730244953,82.16666666666667
Bixaceae,Cochlospermum vitifolium,-89.969254,20.974282,26.233333428700764,70.83333333333333
Bixaceae,Cochlospermum vitifolium,-88.69752,16.517362,25.625,209.5
Bixaceae,Cochlospermum vitifolium,-79.700102,9.119215,26.416666666666668,202.91666666666666
Bixaceae,Cochlospermum vitifolium,-88.696918,16.516251,25.65833314259847,211.58333333333334
Bixaceae,Cochlospermum vitifolium,-70.999539,6.82015,26.77500009536743,155.25
Bixaceae,Cochlospermum vitifolium,-106.443272,23.299536,24.875,66
Bixaceae,Cochlospermum vitifolium,-106.4431,23.299852,24.875,66
Bixaceae,Cochlospermum vitifolium,-106.439195,23.307222,24.883333206176758,66.5
Bixaceae,Cochlospermum vitifolium,-95.011595,16.659084,25.949999968210857,85.5
Bixaceae,Cochlospermum vitifolium,-93.149986,16.988666,25.149999618530273,152.83333333333334
Bixaceae,Cochlospermum vitifolium,-85.949989,11.931012,26.81666660308838,125.16666666666667
Bixaceae,Cochlospermum vitifolium,-75.352722,9.538556,26.38333336512248,123.83333333333333
Bixaceae,Cochlospermum vitifolium,-106.44343,23.299,24.875,66
Bixaceae,Cochlospermum vitifolium,-106.443259,23.301067,24.791666666666668,66.33333333333333
Bixaceae,Cochlospermum vitifolium,-102.092108,19.021736,25.208333174387615,75.75
