familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Cojoba arborea,-79.617,-0.9,24.891666412353516,166.58333333333334
Fabaceae,Cojoba arborea,-89.118,16.407,22.016666571299236,240
Fabaceae,Cojoba arborea,-89.019,16.628,22.800000349680584,206.25
Fabaceae,Cojoba arborea,-91.312056,16.182417,24.208333492279053,191.16666666666666
Fabaceae,Cojoba arborea,-91.308139,16.201944,24.65833346048991,193.33333333333334
Fabaceae,Cojoba arborea,-96.39453,19.598719,24.924999872843426,90
Fabaceae,Cojoba arborea,-89.046357,16.20905,24.366666475931805,276.75
Fabaceae,Cojoba arborea,-97.4184,20.943966,24.291666666666668,103.5
Fabaceae,Cojoba arborea,-93.432198,16.87933,22.59999990463257,99.33333333333333
Fabaceae,Cojoba arborea,-91.727222,16.128564,19.6916667620341,200.08333333333334
Fabaceae,Cojoba arborea,-99.044108,21.685205,24.700000127156574,139
Fabaceae,Cojoba arborea,-99.126086,23.727769,23.699999968210857,61.333333333333336
Fabaceae,Cojoba arborea,-98.9327,21.979016,24.85000006357829,106.58333333333333
Fabaceae,Cojoba arborea,-99.63648,21.444171,23.449999968210857,86.33333333333333
Fabaceae,Cojoba arborea,-97.858542,22.228266,24.49999984105428,82.66666666666667
Fabaceae,Cojoba arborea,-93.120117,16.893259,23.74166663487752,120.33333333333333
Fabaceae,Cojoba arborea,-85.354156,10.732128,24.14999993642171,157.25
Fabaceae,Cojoba arborea,-91.312,16.182,24.208333492279053,191.16666666666666
Fabaceae,Cojoba arborea,-91.308,16.202,24.65833346048991,193.33333333333334
Fabaceae,Cojoba arborea,-97.1036,18.8497,20.133333524068195,108.33333333333333
Fabaceae,Cojoba arborea,-75,20.316667,21.625,139.41666666666666
Fabaceae,Cojoba arborea,-77.72,18.03,24.22499990463257,166.41666666666666
Fabaceae,Cojoba arborea,-77.1475,18.1869,21.52499993642171,157.75
Fabaceae,Cojoba arborea,-96.9275,19.54,18.616666714350384,138.41666666666666
Fabaceae,Cojoba arborea,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Cojoba arborea,-66.064197,18.44814,26.258333524068195,130.16666666666666
Fabaceae,Cojoba arborea,-81.327749,22.856303,24.508333206176758,115.33333333333333
Fabaceae,Cojoba arborea,-98.3489,20.4317,17.11666663487752,148.25
Fabaceae,Cojoba arborea,-98.33333,20.43333,18.358333190282185,140.33333333333334
Fabaceae,Cojoba arborea,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Cojoba arborea,-75.82,20.02,26.35000006357829,96.25
Fabaceae,Cojoba arborea,-90.3714,15.4708,19.266666412353516,200.41666666666666
Fabaceae,Cojoba arborea,-97.826389,22.181111,23.875,86.58333333333333
Fabaceae,Cojoba arborea,-97.8,22.09,23.78333330154419,94.5
Fabaceae,Cojoba arborea,-82.800101,21.870134,25.549999713897705,114.75
Fabaceae,Cojoba arborea,-82.7546,21.741114,25.416666984558105,116.16666666666667
Fabaceae,Cojoba arborea,-84.066667,22.2,24.97500006357829,115.91666666666667
Fabaceae,Cojoba arborea,-82.645,22.953056,24.108333587646484,123.33333333333333
Fabaceae,Cojoba arborea,-83.307567,22.628002,24.62500015894572,118.75
Fabaceae,Cojoba arborea,-82.124574,23.092556,24.94166660308838,114.08333333333333
Fabaceae,Cojoba arborea,-66.47333,18.0875,23.125,148.33333333333334
Fabaceae,Cojoba arborea,-82.957644,21.816534,25.358333746592205,112.83333333333333
Fabaceae,Cojoba arborea,-98.3489,20.4317,17.11666663487752,148.25
Fabaceae,Cojoba arborea,-98.333333,20.433333,18.358333190282185,140.33333333333334
Fabaceae,Cojoba arborea,-79.618941,21.870604,21.77499993642171,131.5
Fabaceae,Cojoba arborea,-90.59527,14.39638,14.974999904632568,134.91666666666666
Fabaceae,Cojoba arborea,-96.88,19.2125,20.366666952768963,124.08333333333333
Fabaceae,Cojoba arborea,-66.3742,18.038,25.71666685740153,83.16666666666667
Fabaceae,Cojoba arborea,-66.3742,18.038,25.71666685740153,83.16666666666667
Fabaceae,Cojoba arborea,-66.98,18.182,22.77500009536743,179.25
Fabaceae,Cojoba arborea,-98.815,21.23778,23.13333336512248,148.91666666666666
Fabaceae,Cojoba arborea,-98.7911,21.2611,24.149999777475994,156.33333333333334
Fabaceae,Cojoba arborea,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Cojoba arborea,-92.61,15.41,19.03333330154419,130.58333333333334
Fabaceae,Cojoba arborea,-92.633889,15.241669,27.47500006357829,176
Fabaceae,Cojoba arborea,-92.53628,15.5181,17.13333336512248,118.5
Fabaceae,Cojoba arborea,-92.152222,15.160278,18.783333619435627,213.08333333333334
Fabaceae,Cojoba arborea,-89.68,13.87,18.52499993642171,170.66666666666666
Fabaceae,Cojoba arborea,-82.8558,22.8644,24.36666663487752,128.58333333333334
Fabaceae,Cojoba arborea,-76.405,19.984,25.22500006357829,104.83333333333333
Fabaceae,Cojoba arborea,-88.9,16.26666,25.4333332379659,275.8333333333333
Fabaceae,Cojoba arborea,-84.2,13.11666,25.366666475931805,202
Fabaceae,Cojoba arborea,-83.45416,8.9675,25.97499990463257,248.83333333333334
Fabaceae,Cojoba arborea,-66.90641,18.07929,24.40833346048991,135.75
Fabaceae,Cojoba arborea,-92.791944,15.645,16.550000270207722,114.41666666666667
Fabaceae,Cojoba arborea,-95.113611,18.419444,24.766666730244953,164.58333333333334
Fabaceae,Cojoba arborea,-95.096667,18.333333,24.025000254313152,150.5
Fabaceae,Cojoba arborea,-88.40222,16.98944,25.375000317891438,187.83333333333334
Fabaceae,Cojoba arborea,-99.478439,17.335617,23.800000190734863,112.91666666666667
Fabaceae,Cojoba arborea,-98.975,21.608333,24.43333355585734,146.75
Fabaceae,Cojoba arborea,-98.875,21.458333,24.858333269755047,163.08333333333334
Fabaceae,Cojoba arborea,-89.65861,13.89027,16.741666714350384,175.25
Fabaceae,Cojoba arborea,-96.125,18.091667,25.958333333333332,206.08333333333334
Fabaceae,Cojoba arborea,-89.67277,17.01277,24.799999872843426,152.91666666666666
Fabaceae,Cojoba arborea,-96.960833,19.165278,19.241666555404663,143.5
Fabaceae,Cojoba arborea,-98.775,21.275,24.216666380564373,154.83333333333334
Fabaceae,Cojoba arborea,-97.69,20.472778,22.483333269755047,144.16666666666666
Fabaceae,Cojoba arborea,-97.591256,20.501459,22.991666952768963,123.66666666666667
Fabaceae,Cojoba arborea,-96.741667,19.941667,23.608333269755047,147.08333333333334
Fabaceae,Cojoba arborea,-96.900278,20.125,24.383333206176758,146.66666666666666
Fabaceae,Cojoba arborea,-98.725,21.291667,24.625,148.5
Fabaceae,Cojoba arborea,-90.19166,16.43111,26.141666730244953,246
Fabaceae,Cojoba arborea,-93.008333,17.391667,23.583333174387615,343.1666666666667
Fabaceae,Cojoba arborea,-91.825,16.125,19.9333332379659,158.33333333333334
Fabaceae,Cojoba arborea,-91.79,16.11,19.9416667620341,172.58333333333334
Fabaceae,Cojoba arborea,-83.48055,8.69027,26.424999872843426,299.8333333333333
Fabaceae,Cojoba arborea,-83.475789,8.689675,26.424999872843426,299.8333333333333
Fabaceae,Cojoba arborea,-79.416667,0.833333,25.700000127156574,140.08333333333334
Fabaceae,Cojoba arborea,-79.41666,0.83333,25.541666666666668,141.5
Fabaceae,Cojoba arborea,-91.691667,17.341667,25.983333269755047,203.91666666666666
Fabaceae,Cojoba arborea,-66.90641,18.07929,24.40833346048991,135.75
Fabaceae,Cojoba arborea,-96.975,20.025,24.03333330154419,145.5
Fabaceae,Cojoba arborea,-96.96,20,23.900000254313152,146.16666666666666
Fabaceae,Cojoba arborea,-96.825,19.991667,22.166666825612385,166.66666666666666
Fabaceae,Cojoba arborea,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Cojoba arborea,-96.608333,19.791667,22.3166667620341,130.83333333333334
Fabaceae,Cojoba arborea,-96.558056,18.801389,25.099999745686848,134.25
Fabaceae,Cojoba arborea,-95.298333,18.658333,24.97499990463257,194.58333333333334
Fabaceae,Cojoba arborea,-95.225,18.458333,24.800000031789143,177.75
Fabaceae,Cojoba arborea,-95.063056,18.559444,25.666666666666668,206.58333333333334
Fabaceae,Cojoba arborea,-95.349722,18.454722,23.733333110809326,192.08333333333334
Fabaceae,Cojoba arborea,-94.891667,18.291667,21.96666669845581,171.75
Fabaceae,Cojoba arborea,-92.941667,17.708333,26.40833346048991,222.91666666666666
Fabaceae,Cojoba arborea,-96.858333,18.875,22.28333330154419,143.75
Fabaceae,Cojoba arborea,-96.18333,17.95,25.641666730244953,261.4166666666667
