familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Cordiaceae,Cordia gerascanthus,-86.991667,20.308333,26.37499984105428,115.25
Cordiaceae,Cordia gerascanthus,-105.05,19.5,25.200000127156574,78.5
Cordiaceae,Cordia gerascanthus,-92.125,15.41667,22.458333333333332,162.66666666666666
Cordiaceae,Cordia gerascanthus,-105.07722,19.5375,25.49166663487752,73.75
Cordiaceae,Cordia gerascanthus,-82.49215484,23.08402409,25.299999713897705,108.5
Cordiaceae,Cordia gerascanthus,-77.643986,21.727869,25.63333336512248,110.33333333333333
Cordiaceae,Cordia gerascanthus,-82.645172,22.952896,24.108333587646484,123.33333333333333
Cordiaceae,Cordia gerascanthus,-83.222815,22.559953,24.858333110809326,117.58333333333333
Cordiaceae,Cordia gerascanthus,-82.9612434,22.9971562,25.033333619435627,119.5
Cordiaceae,Cordia gerascanthus,-100.406944,17.151111,27.21666653951009,84.41666666666667
Cordiaceae,Cordia gerascanthus,-101.550833,17.644167,27.24999984105428,86.33333333333333
Cordiaceae,Cordia gerascanthus,-99.563889,17.830556,26.25000015894572,96.91666666666667
Cordiaceae,Cordia gerascanthus,-88.742222,21.196111,25.791666507720947,98.5
Cordiaceae,Cordia gerascanthus,-89.384722,20.268611,25.674999872843426,95.08333333333333
Cordiaceae,Cordia gerascanthus,-88.766667,20.620833,25.774999618530273,96.41666666666667
Cordiaceae,Cordia gerascanthus,-88.174444,21.018889,25.608333110809326,113.83333333333333
Cordiaceae,Cordia gerascanthus,-88.936111,20.938889,25.766666889190674,87.25
Cordiaceae,Cordia gerascanthus,-89.911111,18.5525,25.716666380564373,86.58333333333333
Cordiaceae,Cordia gerascanthus,-89.901389,18.516389,25.758333206176758,87.41666666666667
Cordiaceae,Cordia gerascanthus,-96.01833,15.875,26.358333269755047,102.08333333333333
Cordiaceae,Cordia gerascanthus,-96.06333,15.78361,27.15000009536743,97.91666666666667
Cordiaceae,Cordia gerascanthus,-95.92611,15.89,26.791666825612385,94.41666666666667
Cordiaceae,Cordia gerascanthus,-96.09969,15.77567,27.25,99.33333333333333
Cordiaceae,Cordia gerascanthus,-96.0875,15.77472,27.291666507720947,96.33333333333333
Cordiaceae,Cordia gerascanthus,-95.92806,15.87472,27.049999872843426,93.83333333333333
