familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lecythidaceae,Couratari guianensis,-76.91666,-1.25,24.608333428700764,320.4166666666667
Lecythidaceae,Couratari guianensis,-74.066667,8.25,23.59166653951009,220.16666666666666
Lecythidaceae,Couratari guianensis,-74.07,8.25,23.59166653951009,220.16666666666666
Lecythidaceae,Couratari guianensis,-66.17,0.83,26.516666730244953,243.33333333333334
Lecythidaceae,Couratari guianensis,-68.047778,-11.594167,25.699999968210857,139.5
Lecythidaceae,Couratari guianensis,-67.83,-10,25.508333206176758,139.41666666666666
Lecythidaceae,Couratari guianensis,-67.98333,-11.73333,25.791666825612385,139.41666666666666
Lecythidaceae,Couratari guianensis,-67.98333,-11.73333,25.791666825612385,139.41666666666666
Lecythidaceae,Couratari guianensis,-67.98,-11.73,25.791666825612385,139.41666666666666
Lecythidaceae,Couratari guianensis,-56.7889,2.325,26.074999968210857,157.91666666666666
Lecythidaceae,Couratari guianensis,-56.788889,2.325,26.074999968210857,157.91666666666666
Lecythidaceae,Couratari guianensis,-56.7889,2.325,26.074999968210857,157.91666666666666
Lecythidaceae,Couratari guianensis,-56.7889,2.325,26.074999968210857,157.91666666666666
Lecythidaceae,Couratari guianensis,-68.536835,-11.158193,25.36666663487752,142.75
Lecythidaceae,Couratari guianensis,-83.197778,8.686667,25.94166644414266,266
Lecythidaceae,Couratari guianensis,-61.63,4.38,24.40833314259847,176.75
Lecythidaceae,Couratari guianensis,-61.63333,4.38333,24.40833314259847,176.75
Lecythidaceae,Couratari guianensis,-67.833333,-10,25.508333206176758,139.41666666666666
Lecythidaceae,Couratari guianensis,-83.51,8.71,24.21666653951009,261.6666666666667
Lecythidaceae,Couratari guianensis,-52.533333,-0.866667,26.333333651224773,184.58333333333334
Lecythidaceae,Couratari guianensis,-52.5,3.25,25.300000031789143,230.41666666666666
Lecythidaceae,Couratari guianensis,-73.46416,-4.12472,26.308333079020183,215.16666666666666
Lecythidaceae,Couratari guianensis,-84.365278,9.705556,23.1916667620341,232.91666666666666
