familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Coursetia elliptica,-85.863833,11.300444,26.300000031789143,130.08333333333334
Fabaceae,Coursetia elliptica,-86.038528,12.949861,22.96666669845581,101.16666666666667
Fabaceae,Coursetia elliptica,-86.318361,11.971833,22.458333333333332,114.66666666666667
Fabaceae,Coursetia elliptica,-86.411556,13.682972,22.608333428700764,92.83333333333333
Fabaceae,Coursetia elliptica,-86.338889,11.947222,23.391666571299236,104.58333333333333
Fabaceae,Coursetia elliptica,-85.722222,11.098333,26.72499990463257,147.5
Fabaceae,Coursetia elliptica,-86.214722,11.584583,26.608333269755047,113.66666666666667
Fabaceae,Coursetia elliptica,-85.233333,10.811111,24.883333683013916,259.3333333333333
Fabaceae,Coursetia elliptica,-85.32,10.71,24.041666507720947,159.83333333333334
Fabaceae,Coursetia elliptica,-85.32704,10.71203,24.141666571299236,159.83333333333334
Fabaceae,Coursetia elliptica,-85.71,10.86,26.633333524068195,141.66666666666666
Fabaceae,Coursetia elliptica,-85.615278,10.836111,25.75833336512248,138.5
Fabaceae,Coursetia elliptica,-85.614,10.844,25.766666730244953,139.66666666666666
Fabaceae,Coursetia elliptica,-85.615278,10.834722,25.75833336512248,138.5
Fabaceae,Coursetia elliptica,-86.0167,12.6333,25.02500009536743,107.75
Fabaceae,Coursetia elliptica,-86.4,12.116667,24.858333428700764,107.41666666666667
Fabaceae,Coursetia elliptica,-86,12.583333,24.266666571299236,111.08333333333333
Fabaceae,Coursetia elliptica,-85.64075,10.802833,26.81666644414266,137.75
Fabaceae,Coursetia elliptica,-85.7,10.885,25.075000127156574,143.33333333333334
Fabaceae,Coursetia elliptica,-85.350001,10.35,27.208333333333332,164.83333333333334
Fabaceae,Coursetia elliptica,-85.61,10.84,25.75833336512248,138.5
Fabaceae,Coursetia elliptica,-85.89,10.89,26.61666663487752,134.5
Fabaceae,Coursetia elliptica,-85.842778,11.286944,25.53333346048991,144.33333333333334
Fabaceae,Coursetia elliptica,-85.351389,10.777778,22.00000015894572,178.58333333333334
Fabaceae,Coursetia elliptica,-85.611389,10.815278,26.016666730244953,138.66666666666666
Fabaceae,Coursetia elliptica,-85.893333,10.895833,25.708333651224773,132.66666666666666
Fabaceae,Coursetia elliptica,-85.305556,10.55,27.083333651224773,147.08333333333334
Fabaceae,Coursetia elliptica,-85.691,10.882333,25.299999713897705,139.91666666666666
Fabaceae,Coursetia elliptica,-85.783333,13.016667,23.583333333333332,131.33333333333334
Fabaceae,Coursetia elliptica,-85.61472,10.83611,25.75833336512248,138.5
Fabaceae,Coursetia elliptica,-85.808333,11.733333,25.15833346048991,134.66666666666666
Fabaceae,Coursetia elliptica,-85.863889,11.764444,26.55833339691162,137
Fabaceae,Coursetia elliptica,-85.841667,11.7625,26.416666507720947,139.75
Fabaceae,Coursetia elliptica,-85.85,11.766667,26.608333587646484,135.33333333333334
Fabaceae,Coursetia elliptica,-85.755556,10.925,26.324999968210857,142.25
Fabaceae,Coursetia elliptica,-86.33333,12.25,25.675000190734863,124.25
Fabaceae,Coursetia elliptica,-85.307523,10.762456,22.00000015894572,177.91666666666666
Fabaceae,Coursetia elliptica,-86.266667,12.15,26.9333332379659,142
Fabaceae,Coursetia elliptica,-86.266667,12.1,25.71666653951009,115.25
Fabaceae,Coursetia elliptica,-86.266667,12.116667,26.52500009536743,146.5
Fabaceae,Coursetia elliptica,-86.261667,13.385278,21.4416667620341,99.83333333333333
Fabaceae,Coursetia elliptica,-86.261667,13.385278,21.4416667620341,99.83333333333333
Fabaceae,Coursetia elliptica,-85.783333,10.9,26.40833314259847,136.83333333333334
Fabaceae,Coursetia elliptica,-85.78,10.9,26.40833314259847,136.83333333333334
Fabaceae,Coursetia elliptica,-85.3,10.533333,27.166666666666668,145.25
Fabaceae,Coursetia elliptica,-85.3,10.533333,27.166666666666668,145.25
Fabaceae,Coursetia elliptica,-86.467167,13.459444,23.00000015894572,91.5
Fabaceae,Coursetia elliptica,-85.35,10.35,27.075000127156574,158.5
Fabaceae,Coursetia elliptica,-85.779167,10.890833,26.008333206176758,138.5
Fabaceae,Coursetia elliptica,-85.688889,10.972222,27.03333330154419,136.5
Fabaceae,Coursetia elliptica,-85.338333,10.798056,19.15000009536743,177.58333333333334
Fabaceae,Coursetia elliptica,-85.35,10.35,27.075000127156574,158.5
Fabaceae,Coursetia elliptica,-85.35,10.35,27.075000127156574,158.5
Fabaceae,Coursetia elliptica,-85.351389,10.777778,22.00000015894572,178.58333333333334
Fabaceae,Coursetia elliptica,-85.35,10.77,22.40000009536743,172.58333333333334
Fabaceae,Coursetia elliptica,-85.23,10.81,24.883333683013916,259.3333333333333
Fabaceae,Coursetia elliptica,-85.307523,10.762456,22.00000015894572,177.91666666666666
Fabaceae,Coursetia elliptica,-85.35,10.8,20.208333174387615,179.5
Fabaceae,Coursetia elliptica,-85.31,10.76,22.09166653951009,171.75
Fabaceae,Coursetia elliptica,-85.64075,10.802833,26.81666644414266,137.75
Fabaceae,Coursetia elliptica,-85.755556,10.925,26.324999968210857,142.25
Fabaceae,Coursetia elliptica,-85.779167,10.890833,26.008333206176758,138.5
Fabaceae,Coursetia elliptica,-85.730556000000007,10.902778,27.075000127156574,132.75
Fabaceae,Coursetia elliptica,-85.61,10.83,25.858333110809326,146
Fabaceae,Coursetia elliptica,-85.61,10.83,25.858333110809326,146
Fabaceae,Coursetia elliptica,-85.616667,10.833333,25.81666644414266,143.58333333333334
Fabaceae,Coursetia elliptica,-85.63,10.8,26.225000222524006,137.5
Fabaceae,Coursetia elliptica,-85.394444,10.669444,26.016666730244953,164.66666666666666
Fabaceae,Coursetia elliptica,-85.9,11.283333,26.65833330154419,125.16666666666667
Fabaceae,Coursetia elliptica,-85.61666,10.83333,25.858333110809326,146
