familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapindaceae,Cupania cinerea,-64.586,5.493,26.09166653951009,247.41666666666666
Sapindaceae,Cupania cinerea,-64.579,5.498,26.09166653951009,244.91666666666666
Sapindaceae,Cupania cinerea,-64.527,6.325,26.891666730244953,202.25
Sapindaceae,Cupania cinerea,-74.780667,4.513694,26.425000031789143,154.91666666666666
Sapindaceae,Cupania cinerea,-71.901806,5.571972,26.5,211.08333333333334
Sapindaceae,Cupania cinerea,-76.648336,3.918571,22.391666571299236,196.75
Sapindaceae,Cupania cinerea,-76.643983,3.891813,21.808333079020183,217.83333333333334
Sapindaceae,Cupania cinerea,-76.630266,3.899902,21.175000031789143,124.66666666666667
Sapindaceae,Cupania cinerea,-76.62677,3.892921,21.175000031789143,124.66666666666667
Sapindaceae,Cupania cinerea,-76.62483,3.894998,22.050000190734863,131.41666666666666
Sapindaceae,Cupania cinerea,-76.751728,3.789562,23.733333110809326,128.5
Sapindaceae,Cupania cinerea,-76.739064,3.778989,22.89999993642171,129.83333333333334
Sapindaceae,Cupania cinerea,-75.883914,4.855008,23.25000015894572,182.75
Sapindaceae,Cupania cinerea,-75.606389,1.605556,25.69166660308838,273.6666666666667
Sapindaceae,Cupania cinerea,-74.14,-9.1839,26.22499990463257,146.33333333333334
Sapindaceae,Cupania cinerea,-74.375627,-9.163761,26.425000349680584,151.5
Sapindaceae,Cupania cinerea,-74.233333,-1.016667,25.75833336512248,239.5
Sapindaceae,Cupania cinerea,-79.61138,9.01805,26.6833332379659,197.58333333333334
Sapindaceae,Cupania cinerea,-65.18,7.33,27.516666730244953,149.25
Sapindaceae,Cupania cinerea,-64.9,6.98,27.34166653951009,154.5
Sapindaceae,Cupania cinerea,-79.71666,9.11666,26.52499993642171,194.58333333333334
Sapindaceae,Cupania cinerea,-82.257334,9.242775,25.88333336512248,232.16666666666666
Sapindaceae,Cupania cinerea,-74.4,3.2,24.38333336512248,194.91666666666666
