familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapindaceae,Cupania hirsuta,-56.75,4.87,26.37500015894572,171.16666666666666
Sapindaceae,Cupania hirsuta,-55.13,4.94,26.62499984105428,172.5
Sapindaceae,Cupania hirsuta,-55.12,4.92,26.649999777475994,168.33333333333334
Sapindaceae,Cupania hirsuta,-54.98,4.92,26.50000015894572,195.66666666666666
Sapindaceae,Cupania hirsuta,-53.96,5.51,26.300000031789143,196.66666666666666
Sapindaceae,Cupania hirsuta,-79.9106,8.5714,27.283333778381348,160.33333333333334
Sapindaceae,Cupania hirsuta,-52.45,3.17,25.608333428700764,222.5
Sapindaceae,Cupania hirsuta,-56.81,3.33,25.916666825612385,174.66666666666666
Sapindaceae,Cupania hirsuta,-56.53,3.68,22.799999872843426,170.08333333333334
Sapindaceae,Cupania hirsuta,-53.38,3.21,25.541666666666668,214.91666666666666
Sapindaceae,Cupania hirsuta,-84.02,10.42,25.766666889190674,314.9166666666667
Sapindaceae,Cupania hirsuta,-84.68333,10.48333,24.200000127156574,296.6666666666667
Sapindaceae,Cupania hirsuta,-52.88,2.25,25.8083332379659,202
Sapindaceae,Cupania hirsuta,-61.61666,8.05,25.133333206176758,134.66666666666666
Sapindaceae,Cupania hirsuta,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-84,10.43138,26.050000031789143,308.9166666666667
Sapindaceae,Cupania hirsuta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-53.1,2.41,25.450000127156574,200.25
Sapindaceae,Cupania hirsuta,-61.47,6.22,25.925000031789143,149.25
Sapindaceae,Cupania hirsuta,-61.46666,6.21666,25.96666685740153,174
Sapindaceae,Cupania hirsuta,-52.88,2.25,25.8083332379659,202
Sapindaceae,Cupania hirsuta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-52.86,2.23,25.691666920979817,201.91666666666666
Sapindaceae,Cupania hirsuta,-53.05,5.15,25.75,252.33333333333334
Sapindaceae,Cupania hirsuta,-53.1667,5,25.46666669845581,235.83333333333334
Sapindaceae,Cupania hirsuta,-62.85,6.2,26.03333330154419,186.25
Sapindaceae,Cupania hirsuta,-56.88056,4.75833,26.616666475931805,170.41666666666666
Sapindaceae,Cupania hirsuta,-56.880556,4.758333,26.616666475931805,170.41666666666666
Sapindaceae,Cupania hirsuta,-56.88,4.75,26.46666685740153,179
Sapindaceae,Cupania hirsuta,-52.53,2.95,25.52499993642171,224.41666666666666
Sapindaceae,Cupania hirsuta,-72.683333,5.435833,14.424999872843424,189.91666666666666
Sapindaceae,Cupania hirsuta,-56.880556,4.758333,26.616666475931805,170.41666666666666
Sapindaceae,Cupania hirsuta,-56.88,4.75,26.46666685740153,179
Sapindaceae,Cupania hirsuta,-55.625,4.1006,26.40000009536743,190.58333333333334
Sapindaceae,Cupania hirsuta,-52.7,4.05,25.391666730244953,257.25
Sapindaceae,Cupania hirsuta,-56.87,4.75,26.516666730244953,178.58333333333334
Sapindaceae,Cupania hirsuta,-53.0667,5.2833,25.65000009536743,232.16666666666666
Sapindaceae,Cupania hirsuta,-53.06,5.28,25.61666663487752,228.16666666666666
Sapindaceae,Cupania hirsuta,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-56.5925,3.180278,25.891666889190674,176
Sapindaceae,Cupania hirsuta,-56.59,3.18,25.90833346048991,179.58333333333334
Sapindaceae,Cupania hirsuta,-55.625,4.1006,26.40000009536743,190.58333333333334
Sapindaceae,Cupania hirsuta,-56.7539,2.36389,26.166666666666668,159.5
Sapindaceae,Cupania hirsuta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-56.7889,2.325,26.074999968210857,157.91666666666666
Sapindaceae,Cupania hirsuta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sapindaceae,Cupania hirsuta,-75.1925,8.362056,27.758333524068195,155.66666666666666
Sapindaceae,Cupania hirsuta,-55.6456,3.86241,26.241666316986084,196.58333333333334
Sapindaceae,Cupania hirsuta,-55.6411,3.85958,26.291666507720947,194.25
Sapindaceae,Cupania hirsuta,-75.112028,6.971583,21.675000031789143,257.5833333333333
Sapindaceae,Cupania hirsuta,-65.9119,7.0758,27.366666952768963,155.91666666666666
Sapindaceae,Cupania hirsuta,-61.733333,8.066667,25.21666653951009,129.5
Sapindaceae,Cupania hirsuta,-57.5,4,26.35000006357829,171.16666666666666
Sapindaceae,Cupania hirsuta,-56.5,3.6,25.666666348775227,181.5
Sapindaceae,Cupania hirsuta,-55.625,4.1006,26.40000009536743,190.58333333333334
Sapindaceae,Cupania hirsuta,-54.683333,5.466667,26.53333346048991,191.33333333333334
Sapindaceae,Cupania hirsuta,-53.241224,3.924688,25.291666666666668,227.58333333333334
Sapindaceae,Cupania hirsuta,-52.9708,3.8558,25.333333333333332,235.08333333333334
Sapindaceae,Cupania hirsuta,-52.883333,2.95,25.5666667620341,213.83333333333334
Sapindaceae,Cupania hirsuta,-52.7,4.05,25.391666730244953,257.25
