familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Damburneya cufodontisii,-83.7,9.55,11.44166668256124,180.41666666666666
Lauraceae,Damburneya cufodontisii,-83.7,9.55,11.44166668256124,180.41666666666666
Lauraceae,Damburneya cufodontisii,-84.1,10.09,15.633333365122477,197.41666666666666
Lauraceae,Damburneya cufodontisii,-82.583333,8.833333,13.708333333333334,210.66666666666666
Lauraceae,Damburneya cufodontisii,-84.16,10.13,15.916666507720947,213.33333333333334
Lauraceae,Damburneya cufodontisii,-84.16,10.13,15.916666507720947,213.33333333333334
Lauraceae,Damburneya cufodontisii,-84.101389,10.101667,14.358333349227905,193.58333333333334
Lauraceae,Damburneya cufodontisii,-83.8,9.580556,11.541666666666666,186.25
Lauraceae,Damburneya cufodontisii,-83.99,9.83,18.03333330154419,190.16666666666666
Lauraceae,Damburneya cufodontisii,-82.84,9.08,11.891666650772095,246.08333333333334
Lauraceae,Damburneya cufodontisii,-81.75,8.583333,22.1833332379659,305.5833333333333
Lauraceae,Damburneya cufodontisii,-84.127778,10.116667,13.18333331743876,222.58333333333334
Lauraceae,Damburneya cufodontisii,-82.759193,8.932986,16.958333333333332,215.83333333333334
Lauraceae,Damburneya cufodontisii,-83.862504,9.561578,15.62499992052714,182.08333333333334
Lauraceae,Damburneya cufodontisii,-83.59,9.52,12.883333444595337,194.41666666666666
Lauraceae,Damburneya cufodontisii,-84.140278,9.849167,14.616666714350382,216.75
Lauraceae,Damburneya cufodontisii,-84.14,9.84,16.166666746139526,195.5
Lauraceae,Damburneya cufodontisii,-84.14,9.84,16.166666746139526,195.5
Lauraceae,Damburneya cufodontisii,-84.140278,9.849167,14.616666714350382,216.75
Lauraceae,Damburneya cufodontisii,-82.566667,8.85,14.558333396911621,184.66666666666666
Lauraceae,Damburneya cufodontisii,-82.56666,8.85,13.991666634877523,206.75
Lauraceae,Damburneya cufodontisii,-82.56666,8.85,13.991666634877523,206.75
Lauraceae,Damburneya cufodontisii,-84.02,9.83,17.38333336512248,181.91666666666666
Lauraceae,Damburneya cufodontisii,-83.96,9.72,14.383333365122477,172.33333333333334
Lauraceae,Damburneya cufodontisii,-82.841667,9.083333,10.90833338101705,257
Lauraceae,Damburneya cufodontisii,-82.766667,8.983333,14.524999936421713,205.75
Lauraceae,Damburneya cufodontisii,-83.925,10.038333,17.89999993642171,351.3333333333333
Lauraceae,Damburneya cufodontisii,-84.133333,10.125,13.18333331743876,222.58333333333334
Lauraceae,Damburneya cufodontisii,-82.766667,8.983333,14.524999936421713,205.75
Lauraceae,Damburneya cufodontisii,-82.858277,8.945877,19.24999984105428,236.5
Lauraceae,Damburneya cufodontisii,-84.11,9.83,16.99166663487752,196.5
Lauraceae,Damburneya cufodontisii,-82.55,8.866667,13.00000007947286,222.58333333333334
Lauraceae,Damburneya cufodontisii,-83.7,9.55,11.44166668256124,180.41666666666666
Lauraceae,Damburneya cufodontisii,-83.66,9.55,13.258333365122477,225.66666666666666
Lauraceae,Damburneya cufodontisii,-83.66,9.55,13.258333365122477,225.66666666666666
Lauraceae,Damburneya cufodontisii,-84.109722,9.841667,17.40833330154419,233.83333333333334
Lauraceae,Damburneya cufodontisii,-83.963889,9.726389,15.05833331743876,183.66666666666666
Lauraceae,Damburneya cufodontisii,-83.96,9.72,14.383333365122477,172.33333333333334
Lauraceae,Damburneya cufodontisii,-83.96,9.94,17.458333015441895,288.9166666666667
Lauraceae,Damburneya cufodontisii,-83.591667,9.529722,11.525000174840292,174.08333333333334
Lauraceae,Damburneya cufodontisii,-83.591667,9.529722,11.525000174840292,174.08333333333334
Lauraceae,Damburneya cufodontisii,-83.668333,9.555833,10.34166661898295,195.5
Lauraceae,Damburneya cufodontisii,-82.48333,8.8,17.5583332379659,224.75
Lauraceae,Damburneya cufodontisii,-83.85,9.67,12.025000015894571,214.41666666666666
Lauraceae,Damburneya cufodontisii,-82.85,8.95,18.90833330154419,236
Lauraceae,Damburneya cufodontisii,-82.766667,8.983333,14.524999936421713,205.75
Lauraceae,Damburneya cufodontisii,-82.76,8.98,14.224999984105429,209.5
Lauraceae,Damburneya cufodontisii,-82.73333,8.9,15.81666668256124,201.83333333333334
Lauraceae,Damburneya cufodontisii,-82.83,8.9,20.358333269755047,227.75
Lauraceae,Damburneya cufodontisii,-82.83,8.9,20.358333269755047,227.75
Lauraceae,Damburneya cufodontisii,-82.76,8.92,17.208333333333332,222
Lauraceae,Damburneya cufodontisii,-82.761111,8.925,17.208333333333332,222
Lauraceae,Damburneya cufodontisii,-82.743694,8.949224,16,208.5
Lauraceae,Damburneya cufodontisii,-84.8,10.316667,17.083333333333332,220.75
Lauraceae,Damburneya cufodontisii,-83.7,9.53,13.09166669845581,225.58333333333334
Lauraceae,Damburneya cufodontisii,-82.96,8.78,20.333333333333332,230.16666666666666
Lauraceae,Damburneya cufodontisii,-83.95,9.73,14.108333428700766,215.41666666666666
Lauraceae,Damburneya cufodontisii,-83.94,9.73,14.050000190734863,202.75
Lauraceae,Damburneya cufodontisii,-81.75,8.583333,22.1833332379659,305.5833333333333
Lauraceae,Damburneya cufodontisii,-81.765556,8.4825,18.80833339691162,239.16666666666666
Lauraceae,Damburneya cufodontisii,-83.97,9.81611,17.166666666666668,196.08333333333334
