familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Damburneya purpurea,-78.9697223,-4.6072222,19.96666669845581,100.33333333333333
Lauraceae,Damburneya purpurea,-78.83111,-4.04916,21.500000317891438,108.83333333333333
Lauraceae,Damburneya purpurea,-75.5863889,-10.1961111,20.80833339691162,102
Lauraceae,Damburneya purpurea,-75.5741667,-10.1833333,22.00833336512248,137.83333333333334
Lauraceae,Damburneya purpurea,-76.037143,4.119685,21.325000127156574,133.41666666666666
Lauraceae,Damburneya purpurea,-76.035647,4.120633,21.325000127156574,133.41666666666666
Lauraceae,Damburneya purpurea,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Lauraceae,Damburneya purpurea,-79.77443663,9.20040524,26.050000031789143,210.91666666666666
Lauraceae,Damburneya purpurea,-79.74438574,9.15660996,26.416666507720947,215.41666666666666
Lauraceae,Damburneya purpurea,-79.86121916,9.15829246,26.208333492279053,206.91666666666666
Lauraceae,Damburneya purpurea,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Lauraceae,Damburneya purpurea,-79.77443663,9.20040524,26.050000031789143,210.91666666666666
Lauraceae,Damburneya purpurea,-79.74438574,9.15660996,26.416666507720947,215.41666666666666
Lauraceae,Damburneya purpurea,-78.985830000000007,-2.32027,16.616666793823242,68.16666666666667
Lauraceae,Damburneya purpurea,-79.8167,-4.3,18.18333339691162,77.25
Lauraceae,Damburneya purpurea,-78.4833,-0.8167,8.200000087420145,89.25
Lauraceae,Damburneya purpurea,-76.8545,7.60635,27.46666669845581,242.16666666666666
Lauraceae,Damburneya purpurea,-76.8545,7.60635,27.46666669845581,242.16666666666666
Lauraceae,Damburneya purpurea,-39.946389,-19.430278,23.47500006357829,102
Lauraceae,Damburneya purpurea,-39.538889,-15.161944,21.35000006357829,109.58333333333333
Lauraceae,Damburneya purpurea,-39.115,-14.499722,22.80833339691162,171.25
Lauraceae,Damburneya purpurea,-84.6,10.21,20.87500015894572,289.25
Lauraceae,Damburneya purpurea,-84.5,10.13,20.866666793823242,244.91666666666666
Lauraceae,Damburneya purpurea,-84.22,9.7,21.858333269755047,243.33333333333334
Lauraceae,Damburneya purpurea,-78.666667,0.175,19.641666889190674,158.83333333333334
Lauraceae,Damburneya purpurea,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Damburneya purpurea,-84.04,10.42,25.700000127156574,309.1666666666667
Lauraceae,Damburneya purpurea,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lauraceae,Damburneya purpurea,-79.698056,9.180278,26.200000286102295,222.16666666666666
Lauraceae,Damburneya purpurea,-78.1869,-1.4628,18.10000006357829,196.5
Lauraceae,Damburneya purpurea,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Damburneya purpurea,-75.25,-10.5,19.825000127156574,132.58333333333334
Lauraceae,Damburneya purpurea,-75,-4,26.225000222524006,209
Lauraceae,Damburneya purpurea,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lauraceae,Damburneya purpurea,-72.8667,3.8811,26.583333174387615,229.33333333333334
Lauraceae,Damburneya purpurea,-64.435,-16.7261,25.208333333333332,250.41666666666666
Lauraceae,Damburneya purpurea,-52.8731,-10.8339,25.53333346048991,172.25
Lauraceae,Damburneya purpurea,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lauraceae,Damburneya purpurea,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Damburneya purpurea,-76.5,3.75,19.62500015894572,133.41666666666666
Lauraceae,Damburneya purpurea,-72.8667,3.8811,26.583333174387615,229.33333333333334
Lauraceae,Damburneya purpurea,-75.25,-10.5,19.825000127156574,132.58333333333334
Lauraceae,Damburneya purpurea,-72.8667,3.8811,26.583333174387615,229.33333333333334
Lauraceae,Damburneya purpurea,-77,6,26.47500006357829,536.25
Lauraceae,Damburneya purpurea,-76.115361,4.779222,18.90833330154419,172
Lauraceae,Damburneya purpurea,-76.094556,4.800444,18.84166653951009,207.58333333333334
Lauraceae,Damburneya purpurea,-75.720683,4.5771,20.53333330154419,162.83333333333334
Lauraceae,Damburneya purpurea,-75.678056,4.657778,18.39999993642171,186.16666666666666
Lauraceae,Damburneya purpurea,-76.111917,4.77875,18.90833330154419,172
Lauraceae,Damburneya purpurea,-76.111639,4.779472,18.90833330154419,172
Lauraceae,Damburneya purpurea,-76.111556,4.779278,18.90833330154419,172
Lauraceae,Damburneya purpurea,-75.731611,4.608667,20.341667016347248,162
Lauraceae,Damburneya purpurea,-75.72925,4.609556,20.341667016347248,162
Lauraceae,Damburneya purpurea,-75.697194,4.594917,19.708333333333332,175
Lauraceae,Damburneya purpurea,-74.37556,-9.16389,26.425000349680584,151.5
Lauraceae,Damburneya purpurea,-79.6,9.1,25.958333174387615,207.91666666666666
Lauraceae,Damburneya purpurea,-79.55,8.98333,27.04166618982951,175.83333333333334
Lauraceae,Damburneya purpurea,-78.9666667,-4.1166667,22.416666666666668,119.91666666666667
Lauraceae,Damburneya purpurea,-78.9666667,-4.1166667,22.416666666666668,119.91666666666667
Lauraceae,Damburneya purpurea,-77.88333,-0.6,16.241666475931805,191.83333333333334
Lauraceae,Damburneya purpurea,-79.75,-3.48333,23.166666507720947,71.83333333333333
Lauraceae,Damburneya purpurea,-78.58333,-3.41666,23.15833330154419,153
Lauraceae,Damburneya purpurea,-74.270836,2.362167,25.400000254313152,185.41666666666666
Lauraceae,Damburneya purpurea,-74.27083,2.36222,25.400000254313152,185.41666666666666
Lauraceae,Damburneya purpurea,-75.883914,4.855008,23.25000015894572,182.75
Lauraceae,Damburneya purpurea,-76.177139,3.958417,20.733333428700764,145.25
Lauraceae,Damburneya purpurea,-75.883914,4.855008,23.25000015894572,182.75
Lauraceae,Damburneya purpurea,-70.26,5.60667,27.025000254313152,210.25
Lauraceae,Damburneya purpurea,-70.242111,5.6625,27.133333524068195,196.41666666666666
