familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Damburneya salicina,-84.0825,10.2772,21.183332920074463,285.3333333333333
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.82,10.31,19.24999984105428,205.41666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.91666,10.36666,21.27499993642171,203.33333333333334
Lauraceae,Damburneya salicina,-84.82,10.27,22.37500015894572,205.25
Lauraceae,Damburneya salicina,-84.16,9.84,17.049999872843426,194.25
Lauraceae,Damburneya salicina,-84.12,9.8,19.916666825612385,195.91666666666666
Lauraceae,Damburneya salicina,-83.9519,10.0114,17.35000006357829,334.6666666666667
Lauraceae,Damburneya salicina,-82.25,8.5,26.21666653951009,254.41666666666666
Lauraceae,Damburneya salicina,-84,9.6667,17.50833336512248,180.33333333333334
Lauraceae,Damburneya salicina,-84,9.6667,17.50833336512248,180.33333333333334
Lauraceae,Damburneya salicina,-93.875,16.325,25.625,90.58333333333333
Lauraceae,Damburneya salicina,-93.3101111,17.0150556,25.125,146.58333333333334
Lauraceae,Damburneya salicina,-92.806944,15.656944,17.050000111262005,120.25
Lauraceae,Damburneya salicina,-92.823611,15.629444,21.19166660308838,196.58333333333334
Lauraceae,Damburneya salicina,-84.833334,10.333333,19.333333333333332,202.08333333333334
Lauraceae,Damburneya salicina,-84.800002,10.3,18.699999968210857,200.83333333333334
Lauraceae,Damburneya salicina,-84.783333,10.25,19.233333269755047,207.41666666666666
Lauraceae,Damburneya salicina,-84.766667,10.283333,18.358333428700764,248.5
Lauraceae,Damburneya salicina,-85.283333,10.75,22.541666666666668,217.5
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.800001,10.3,18.699999968210857,200.83333333333334
Lauraceae,Damburneya salicina,-85.470834,10.929167,20.908333619435627,180.91666666666666
Lauraceae,Damburneya salicina,-85.470833,10.917778,21.233333269755047,180.66666666666666
Lauraceae,Damburneya salicina,-85.470833,10.929167,20.908333619435627,180.91666666666666
Lauraceae,Damburneya salicina,-84.800002,10.3,18.699999968210857,200.83333333333334
Lauraceae,Damburneya salicina,-84.8,10.283333,20.63333336512248,212.66666666666666
Lauraceae,Damburneya salicina,-84.833334,10.3,20.891666730244953,201.41666666666666
Lauraceae,Damburneya salicina,-84.833333,10.316667,19.333333333333332,200.5
Lauraceae,Damburneya salicina,-84.825,10.313889,19.24999984105428,205.41666666666666
Lauraceae,Damburneya salicina,-85.493889,10.927222,23.96666685740153,182
Lauraceae,Damburneya salicina,-85.352778,10.777778,22.00000015894572,178.58333333333334
Lauraceae,Damburneya salicina,-84.800001,10.3,18.699999968210857,200.83333333333334
Lauraceae,Damburneya salicina,-85.354167,10.786111,21.091666380564373,186.08333333333334
Lauraceae,Damburneya salicina,-84.916667,10.366667,21.291666666666668,213.33333333333334
Lauraceae,Damburneya salicina,-84.825,10.275,22.37500015894572,205.25
Lauraceae,Damburneya salicina,-84.161111,9.847778,17.366666793823242,196.66666666666666
Lauraceae,Damburneya salicina,-84.125,9.802778,18.858333428700764,181.08333333333334
Lauraceae,Damburneya salicina,-85.469445,10.928611,20.908333619435627,180.91666666666666
Lauraceae,Damburneya salicina,-85.351389,10.777778,22.00000015894572,178.58333333333334
Lauraceae,Damburneya salicina,-85.475773,10.889383,23.724999745686848,157.58333333333334
Lauraceae,Damburneya salicina,-85.117671,10.709184,18.96666685740153,265.3333333333333
Lauraceae,Damburneya salicina,-84.816667,10.266667,22.37500015894572,205.25
Lauraceae,Damburneya salicina,-85.491568,10.955326,23.09999990463257,165.58333333333334
Lauraceae,Damburneya salicina,-85.35,10.8,20.208333174387615,179.5
Lauraceae,Damburneya salicina,-84.336111,10.141667,18.64999993642171,203.16666666666666
Lauraceae,Damburneya salicina,-84.16024,9.849795,17.366666793823242,196.66666666666666
Lauraceae,Damburneya salicina,-84.838129,10.260385,21.71666669845581,204.83333333333334
Lauraceae,Damburneya salicina,-84.234616,10.676228,25.88333336512248,281.6666666666667
Lauraceae,Damburneya salicina,-85.346139,10.779306,21.708333333333332,180
Lauraceae,Damburneya salicina,-85.349167,10.788694,20.90833346048991,182.08333333333334
Lauraceae,Damburneya salicina,-85.489167,10.955556,23.09999990463257,165.58333333333334
Lauraceae,Damburneya salicina,-85.473889,10.927778,20.908333619435627,180.91666666666666
Lauraceae,Damburneya salicina,-84.33,10.13,19.608333110809326,205.16666666666666
Lauraceae,Damburneya salicina,-80.5,7.333333,26.399999777475994,183.33333333333334
Lauraceae,Damburneya salicina,-82.3333333,8.65,24.875,272.3333333333333
Lauraceae,Damburneya salicina,-82.4458333,8.825,16.974999745686848,203.66666666666666
Lauraceae,Damburneya salicina,-85.47,10.99,21.499999682108562,219.33333333333334
Lauraceae,Damburneya salicina,-82.49027,8.8175,16.083333412806194,209.41666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-85.35,10.78472,20.90833346048991,182.08333333333334
Lauraceae,Damburneya salicina,-84.83972,10.3375,19.050000190734863,203
Lauraceae,Damburneya salicina,-84.8333333,10.3333333,19.083333492279053,200.25
Lauraceae,Damburneya salicina,-85.49,10.95,23.27499993642171,174.33333333333334
Lauraceae,Damburneya salicina,-85.31,10.78,20.791666666666668,180.5
Lauraceae,Damburneya salicina,-84.83333,10.33333,19.083333492279053,200.25
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-80.8511111,7.7011111,24.333333333333332,184.83333333333334
Lauraceae,Damburneya salicina,-85.25,10.75,23.408333619435627,195.41666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-85.4933333,10.96,23.483333587646484,159.91666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-83.7,9.57,10.691666523615519,178.25
Lauraceae,Damburneya salicina,-80.5,7.33333,26.399999777475994,183.33333333333334
Lauraceae,Damburneya salicina,-85.65,10.7,26.68333355585734,137.08333333333334
Lauraceae,Damburneya salicina,-85.47083,10.92916,20.908333619435627,180.91666666666666
Lauraceae,Damburneya salicina,-85.47,10.92,21.233333269755047,180.66666666666666
Lauraceae,Damburneya salicina,-84.8,10.28333,20.63333336512248,212.66666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.83333,10.31666,19.600000222524006,203.5
Lauraceae,Damburneya salicina,-84.83,10.3,20.90833346048991,208.66666666666666
Lauraceae,Damburneya salicina,-85.49388,10.92722,23.96666685740153,182
Lauraceae,Damburneya salicina,-84.0825,10.27722,21.183332920074463,285.3333333333333
Lauraceae,Damburneya salicina,-85.35,10.78,21.708333333333332,180
Lauraceae,Damburneya salicina,-85.46944,10.92861,20.908333619435627,180.91666666666666
Lauraceae,Damburneya salicina,-85.35138,10.77777,22.00000015894572,178.58333333333334
Lauraceae,Damburneya salicina,-82.21666,8.63333,21.40833346048991,253.83333333333334
Lauraceae,Damburneya salicina,-85.11,10.7,20.616666475931805,246.08333333333334
Lauraceae,Damburneya salicina,-84.1602778,9.8497222,17.366666793823242,196.66666666666666
Lauraceae,Damburneya salicina,-84.83,10.33,19.083333492279053,200.25
Lauraceae,Damburneya salicina,-84.48,10.01,20.25,193
Lauraceae,Damburneya salicina,-82.85,8.95,18.90833330154419,236
Lauraceae,Damburneya salicina,-85.31,10.78,20.791666666666668,180.5
Lauraceae,Damburneya salicina,-84.83,10.33,19.083333492279053,200.25
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.78,10.25,19.233333269755047,207.41666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
Lauraceae,Damburneya salicina,-85.47,10.92,21.233333269755047,180.66666666666666
Lauraceae,Damburneya salicina,-85.42,10.99,22.90000009536743,256.0833333333333
Lauraceae,Damburneya salicina,-84.8,10.28,20.63333336512248,212.66666666666666
Lauraceae,Damburneya salicina,-84.8,10.3,18.574999968210857,210.08333333333334
