familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Metteniusaceae,Dendrobangia boliviana,-66.3,4.7,27.608333269755047,252.41666666666666
Metteniusaceae,Dendrobangia boliviana,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Metteniusaceae,Dendrobangia boliviana,-64.670931,-16.714611,25.358333428700764,296.1666666666667
Metteniusaceae,Dendrobangia boliviana,-64.435,-16.7261,25.208333333333332,250.41666666666666
Metteniusaceae,Dendrobangia boliviana,-52.8731,-10.8339,25.53333346048991,172.25
Metteniusaceae,Dendrobangia boliviana,-52.8731,-10.8339,25.53333346048991,172.25
Metteniusaceae,Dendrobangia boliviana,-52.8731,-10.8339,25.53333346048991,172.25
Metteniusaceae,Dendrobangia boliviana,-52.8731,-10.8339,25.53333346048991,172.25
Metteniusaceae,Dendrobangia boliviana,-51.1,-4.633333,24.89999993642171,153.25
Metteniusaceae,Dendrobangia boliviana,-48.406626,-1.399729,26.59166669845581,235.5
Metteniusaceae,Dendrobangia boliviana,-69.504833,-4.696879,26.18333355585734,214.25
Metteniusaceae,Dendrobangia boliviana,-48.482874,-1.399729,26.583333492279053,232.91666666666666
Metteniusaceae,Dendrobangia boliviana,-76.8333,2.5,18.86666663487752,199.16666666666666
Metteniusaceae,Dendrobangia boliviana,-76.5,3.75,19.62500015894572,133.41666666666666
Metteniusaceae,Dendrobangia boliviana,-48.456396,-1.430413,26.55833355585734,242.33333333333334
Metteniusaceae,Dendrobangia boliviana,-48.50489144,-1.45916693,26.60000006357829,236.08333333333334
Metteniusaceae,Dendrobangia boliviana,-59.97,-2.883333,26.508333683013916,193.08333333333334
Metteniusaceae,Dendrobangia boliviana,-75.5,7,16.18333339691162,220.91666666666666
Metteniusaceae,Dendrobangia boliviana,-73.37583,-3.82611,26.24166663487752,224.5
Metteniusaceae,Dendrobangia boliviana,-73.138889,-4.0619440000000004,26.175000190734863,220.83333333333334
Metteniusaceae,Dendrobangia boliviana,-75.067344,7.289121,24.541666984558105,302.4166666666667
Metteniusaceae,Dendrobangia boliviana,-75.05,7.216667,23.799999713897705,281.75
Metteniusaceae,Dendrobangia boliviana,-59.986249,-3.097461,26.949999968210857,203.41666666666666
Metteniusaceae,Dendrobangia boliviana,-75.050556,7.216667,23.09166685740153,279.3333333333333
Metteniusaceae,Dendrobangia boliviana,-74.83333,7.5,27.666666666666668,306.4166666666667
Metteniusaceae,Dendrobangia boliviana,-75.050556,7.216667,23.09166685740153,279.3333333333333
Metteniusaceae,Dendrobangia boliviana,-74.33333,-1,25.86666663487752,240.58333333333334
Metteniusaceae,Dendrobangia boliviana,-48.318558,-1.292522,26.4333332379659,222.33333333333334
Metteniusaceae,Dendrobangia boliviana,-76.6,-8.2,24.84166669845581,205.08333333333334
Metteniusaceae,Dendrobangia boliviana,-76.509167,-8.1675,25.324999809265137,213.08333333333334
Metteniusaceae,Dendrobangia boliviana,-73.5,-3.83333,26.24166663487752,225.08333333333334
Metteniusaceae,Dendrobangia boliviana,-62.66666,10.66666,23.616666793823242,84.83333333333333
Metteniusaceae,Dendrobangia boliviana,-62.65138,10.68472,23.708333492279053,114.75
Metteniusaceae,Dendrobangia boliviana,-62.61666,10.7,21.824999968210857,92.41666666666667
Metteniusaceae,Dendrobangia boliviana,-61.526572,4.043111,24.31666644414266,173.91666666666666
Metteniusaceae,Dendrobangia boliviana,-68.81666,10.43333,20.28333330154419,81.83333333333333
Metteniusaceae,Dendrobangia boliviana,-59.97,-2.883333,26.508333683013916,193.08333333333334
Metteniusaceae,Dendrobangia boliviana,-59.888583,-2.429224,26.233333110809326,200.58333333333334
Metteniusaceae,Dendrobangia boliviana,-59.87,-2.4,26.31666660308838,199.25
Metteniusaceae,Dendrobangia boliviana,-48.07,-0.883333,26.59999990463257,233.66666666666666
Metteniusaceae,Dendrobangia boliviana,-48.066667,-0.883333,26.59999990463257,233.66666666666666
Metteniusaceae,Dendrobangia boliviana,-77.41666,4.16666,25.708333333333332,478
Metteniusaceae,Dendrobangia boliviana,-74.937644,6.010853,25.358333269755047,232.5
Metteniusaceae,Dendrobangia boliviana,-74.817908,5.972871,26.474999745686848,202.16666666666666
Metteniusaceae,Dendrobangia boliviana,-74.860456,5.932034,24.9333332379659,229.75
Metteniusaceae,Dendrobangia boliviana,-60.08,-2.316667,26.441667079925537,201.83333333333334
Metteniusaceae,Dendrobangia boliviana,-59.993886,-2.391921,26.258333047231037,200.33333333333334
Metteniusaceae,Dendrobangia boliviana,-74.65,5.88333,27.75000015894572,207.5
Metteniusaceae,Dendrobangia boliviana,-73.58333,-3.91666,26.24166663487752,221.83333333333334
Metteniusaceae,Dendrobangia boliviana,-73.5,-3.86666,26.266666571299236,222
Metteniusaceae,Dendrobangia boliviana,-72.83333,-3.46666,26.224999745686848,258
Metteniusaceae,Dendrobangia boliviana,-77.63333,-5.75,17.4416667620341,94.75
Metteniusaceae,Dendrobangia boliviana,-75.4,-10.5667,18.80833371480306,108.25
Metteniusaceae,Dendrobangia boliviana,-75,-9.83333,26.15000009536743,170.16666666666666
Metteniusaceae,Dendrobangia boliviana,-74.849556,5.93631,26.53333314259847,200
Metteniusaceae,Dendrobangia boliviana,-74.65,5.88333,27.75000015894572,207.5
Metteniusaceae,Dendrobangia boliviana,-49.939889,-0.981984,26.449999809265137,215.25
Metteniusaceae,Dendrobangia boliviana,-47.98333,-1.5,26.3083332379659,202.08333333333334
Metteniusaceae,Dendrobangia boliviana,-76.38333,-0.52555,24.891666571299236,277.75
Metteniusaceae,Dendrobangia boliviana,-75,-9.83333,26.15000009536743,170.16666666666666
Metteniusaceae,Dendrobangia boliviana,-73.41666,-3.8,26.21666669845581,224.91666666666666
Metteniusaceae,Dendrobangia boliviana,-73.28333,-4.38333,26.37499984105428,210.75
Metteniusaceae,Dendrobangia boliviana,-69.71666,-12.81666,25.00000015894572,264
Metteniusaceae,Dendrobangia boliviana,-60.091744,-2.326638,26.358333428700764,202.08333333333334
Metteniusaceae,Dendrobangia boliviana,-60.08,-2.316667,26.441667079925537,201.83333333333334
Metteniusaceae,Dendrobangia boliviana,-76.36666,-0.55,25.016666730244953,276.9166666666667
Metteniusaceae,Dendrobangia boliviana,-76.366,-0.55,25.016666730244953,276.9166666666667
Metteniusaceae,Dendrobangia boliviana,-75.003247,6.038224,21.150000254313152,260.1666666666667
Metteniusaceae,Dendrobangia boliviana,-74.783333,6,26.458333174387615,213.5
Metteniusaceae,Dendrobangia boliviana,-74.75,6,26.86666663487752,213.66666666666666
Metteniusaceae,Dendrobangia boliviana,-73.75,-4.91666,26.50000015894572,211.41666666666666
Metteniusaceae,Dendrobangia boliviana,-78.46666,0.86666,21.88333336512248,187
Metteniusaceae,Dendrobangia boliviana,-77.166667,3.883333,26.083333174387615,527.9166666666666
Metteniusaceae,Dendrobangia boliviana,-77.16666,3.83333,NA,NA
Metteniusaceae,Dendrobangia boliviana,-77.16666,3.88333,26.083333174387615,513.5833333333334
Metteniusaceae,Dendrobangia boliviana,-77.13333,3.93333,26.049999713897705,543.0833333333334
Metteniusaceae,Dendrobangia boliviana,-77,3.83333,26.375000317891438,472.0833333333333
Metteniusaceae,Dendrobangia boliviana,-75.003247,6.038224,21.150000254313152,260.1666666666667
Metteniusaceae,Dendrobangia boliviana,-74.91666,8.33333,27.958333333333332,230.25
Metteniusaceae,Dendrobangia boliviana,-74.85599,5.899527,26.38333336512248,206.75
Metteniusaceae,Dendrobangia boliviana,-74.817908,5.972871,26.474999745686848,202.16666666666666
Metteniusaceae,Dendrobangia boliviana,-74.783333,6,26.458333174387615,213.5
Metteniusaceae,Dendrobangia boliviana,-74.75,6,26.86666663487752,213.66666666666666
Metteniusaceae,Dendrobangia boliviana,-74.561356,8.339856,27.88333336512248,257
Metteniusaceae,Dendrobangia boliviana,-74.55,8.333333,27.875,273.8333333333333
Metteniusaceae,Dendrobangia boliviana,-74.0006,6.00069,24.275000254313152,201.5
Metteniusaceae,Dendrobangia boliviana,-73.75,-4.91666,26.50000015894572,211.41666666666666
Metteniusaceae,Dendrobangia boliviana,-73.75,-4.83333,26.50000015894572,209.08333333333334
Metteniusaceae,Dendrobangia boliviana,-73.41666,-3.8,26.21666669845581,224.91666666666666
Metteniusaceae,Dendrobangia boliviana,-70.5,-3.91666,26.675000349680584,243.33333333333334
