familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Araliaceae,Dendropanax caucanus,-75.8615,4.71084,22.59166669845581,161
Araliaceae,Dendropanax caucanus,-72.8667,3.8811,26.583333174387615,229.33333333333334
Araliaceae,Dendropanax caucanus,-69.962639,-4.03367,26.53333330154419,250.25
Araliaceae,Dendropanax caucanus,-79.5,0.6667,25.21666685740153,142.33333333333334
Araliaceae,Dendropanax caucanus,-77.73333,7.86666,22.59166685740153,235
Araliaceae,Dendropanax caucanus,-79.76666,9.16666,26.05833339691162,207.66666666666666
Araliaceae,Dendropanax caucanus,-79.375,9.23388,23.300000031789143,239.16666666666666
Araliaceae,Dendropanax caucanus,-75.050556,7.216667,23.09166685740153,279.3333333333333
Araliaceae,Dendropanax caucanus,-75.05,7.216667,23.799999713897705,281.75
Araliaceae,Dendropanax caucanus,-83.52,8.95,26.59166685740153,285.8333333333333
Araliaceae,Dendropanax caucanus,-75.5,7,16.18333339691162,220.91666666666666
Araliaceae,Dendropanax caucanus,-75.05812,7.27195,23.916666666666668,281.5833333333333
Araliaceae,Dendropanax caucanus,-75.05,7.216667,23.799999713897705,281.75
Araliaceae,Dendropanax caucanus,-84.01,10.43,25.949999809265137,317.4166666666667
Araliaceae,Dendropanax caucanus,-84,10.5,26.02499993642171,310.25
Araliaceae,Dendropanax caucanus,-79.79222,9.21222,26.233333428700764,182.33333333333334
Araliaceae,Dendropanax caucanus,-75.05,7.216667,23.799999713897705,281.75
Araliaceae,Dendropanax caucanus,-80.6,8.67083,22.791666348775227,291.25
Araliaceae,Dendropanax caucanus,-73.91444,6.61888,27.708333333333332,235.5
Araliaceae,Dendropanax caucanus,-76.491524,7.244894,27.041666825612385,300
Araliaceae,Dendropanax caucanus,-79.75,9.21666,25.84166669845581,237.66666666666666
Araliaceae,Dendropanax caucanus,-79.658333,9.391667,23.899999777475994,236.58333333333334
Araliaceae,Dendropanax caucanus,-77.833333,7.733333,26.133333524068195,250.33333333333334
Araliaceae,Dendropanax caucanus,-74.65,5.88333,27.75000015894572,207.5
Araliaceae,Dendropanax caucanus,-83.591667,8.5,26.216666380564373,319
Araliaceae,Dendropanax caucanus,-78.53982,1.39133,25.28333346048991,270.25
Araliaceae,Dendropanax caucanus,-75.05,7.35,24.93333339691162,296.75
Araliaceae,Dendropanax caucanus,-74.65,5.88333,27.75000015894572,207.5
Araliaceae,Dendropanax caucanus,-78.5,8.4833,26.633333206176758,184.75
Araliaceae,Dendropanax caucanus,-77.65,-1.08333,23.666666666666668,358.6666666666667
Araliaceae,Dendropanax caucanus,-84.441667,10.079445,20.558333079020183,206
Araliaceae,Dendropanax caucanus,-79.116667,9.433333,26.449999968210857,224.66666666666666
Araliaceae,Dendropanax caucanus,-79,9.25,26.40000009536743,209.83333333333334
Araliaceae,Dendropanax caucanus,-78.58333,-3.41666,23.15833330154419,153
Araliaceae,Dendropanax caucanus,-77.5,-1.133333,24.050000031789143,352.8333333333333
Araliaceae,Dendropanax caucanus,-84.733334,10.316667,19.608333269755047,265.5
Araliaceae,Dendropanax caucanus,-84.73333,10.31666,20.78333330154419,275.25
Araliaceae,Dendropanax caucanus,-84.73,10.31,20.78333330154419,275.25
Araliaceae,Dendropanax caucanus,-81.833333,9.083333,26.05833339691162,242.5
Araliaceae,Dendropanax caucanus,-78.5,8.4833,26.633333206176758,184.75
Araliaceae,Dendropanax caucanus,-77.61666,-1.06666,23.94166660308838,355.3333333333333
Araliaceae,Dendropanax caucanus,-77.6,-1.06666,23.958333174387615,355.3333333333333
Araliaceae,Dendropanax caucanus,-76.425088,7.243311,26.6833332379659,284.3333333333333
Araliaceae,Dendropanax caucanus,-74.83333,7.58333,28.574999809265137,316.6666666666667
Araliaceae,Dendropanax caucanus,-74.819116,7.513876,27.958333333333332,318.6666666666667
Araliaceae,Dendropanax caucanus,-74.000913,6.000201,24.275000254313152,201.5
Araliaceae,Dendropanax caucanus,-74.000383,6.0005,24.275000254313152,201.5
Araliaceae,Dendropanax caucanus,-84.952778,10.727778,24.43333355585734,276.25
Araliaceae,Dendropanax caucanus,-83.583338,8.466667,26.05833339691162,305.3333333333333
