familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Araliaceae,Dendropanax querceti,-84.14,9.84,16.166666746139526,195.5
Araliaceae,Dendropanax querceti,-84.06,9.58,19.46666669845581,251.75
Araliaceae,Dendropanax querceti,-83.84,9.5,15.441666603088379,242.66666666666666
Araliaceae,Dendropanax querceti,-84.39305,10.18583,17.333333015441895,210.16666666666666
Araliaceae,Dendropanax querceti,-82.51666,8.85,14.066666762034098,202.25
Araliaceae,Dendropanax querceti,-82.48333,8.81666,17.208333651224773,219.75
Araliaceae,Dendropanax querceti,-82.448333,8.816667,16.974999745686848,203.66666666666666
Araliaceae,Dendropanax querceti,-79.375,9.153889,24.708333333333332,227.08333333333334
Araliaceae,Dendropanax querceti,-83.9,9.79,18.8166667620341,211.41666666666666
Araliaceae,Dendropanax querceti,-83.75,9.8333,20.25833336512248,263.4166666666667
Araliaceae,Dendropanax querceti,-82.598889,8.848333,16.083333253860474,195.66666666666666
Araliaceae,Dendropanax querceti,-79.375,9.233889,23.300000031789143,239.16666666666666
Araliaceae,Dendropanax querceti,-82.45,8.833333,16.550000031789143,203.33333333333334
Araliaceae,Dendropanax querceti,-79.375,9.233889,23.300000031789143,239.16666666666666
Araliaceae,Dendropanax querceti,-82.45,8.816667,16.974999745686848,203.66666666666666
Araliaceae,Dendropanax querceti,-82.25,8.5,26.21666653951009,254.41666666666666
Araliaceae,Dendropanax querceti,-83.7,9.56,10.25000007947286,171.83333333333334
Araliaceae,Dendropanax querceti,-81.12805,8.51222,21.758333206176758,288.75
Araliaceae,Dendropanax querceti,-81.82083,8.53222,20.03333330154419,251.25
Araliaceae,Dendropanax querceti,-81.79333,8.52083,18.366666952768963,234.41666666666666
Araliaceae,Dendropanax querceti,-82.25,8.73333,19.37499984105428,278.1666666666667
Araliaceae,Dendropanax querceti,-84.8075,10.30861,18.28333330154419,196.58333333333334
Araliaceae,Dendropanax querceti,-84.810556,10.3075,19.075000286102295,188.25
Araliaceae,Dendropanax querceti,-84.80861,10.30583,19.075000286102295,188.25
Araliaceae,Dendropanax querceti,-84.80666,10.3175,17.65833314259847,214.41666666666666
Araliaceae,Dendropanax querceti,-79.91666,8.7,24.1916667620341,210.91666666666666
Araliaceae,Dendropanax querceti,-84.80666,10.3175,17.65833314259847,214.41666666666666
Araliaceae,Dendropanax querceti,-83.96,9.74,15.733333508173624,201.5
Araliaceae,Dendropanax querceti,-84.839722,10.3375,19.050000190734863,203
Araliaceae,Dendropanax querceti,-84.78888,10.28166,19.633333206176758,242.16666666666666
Araliaceae,Dendropanax querceti,-84.04,9.7,17.03333314259847,211
Araliaceae,Dendropanax querceti,-83.8,9.58,11.541666666666666,186.25
Araliaceae,Dendropanax querceti,-83.7,9.49,14.724999984105429,281
Araliaceae,Dendropanax querceti,-84.75,10.33333,18.43333371480306,275.9166666666667
Araliaceae,Dendropanax querceti,-84.15,10.15,14.59166661898295,216.08333333333334
Araliaceae,Dendropanax querceti,-83.91,9.62,13.683333396911621,202.5
Araliaceae,Dendropanax querceti,-83.8,9.56,11.766666650772095,192.5
Araliaceae,Dendropanax querceti,-82.4,8.816667,15.600000143051147,269.5833333333333
Araliaceae,Dendropanax querceti,-83.96,9.8,16.758333524068195,192.75
Araliaceae,Dendropanax querceti,-83.93,9.78,18.333333492279053,190
Araliaceae,Dendropanax querceti,-84.816667,10.3,20.18333339691162,191.5
Araliaceae,Dendropanax querceti,-84.83333,10.8,26.366666793823242,241
Araliaceae,Dendropanax querceti,-84.83,10.8,26.366666793823242,241
Araliaceae,Dendropanax querceti,-84.8,10.25,21.074999968210857,204.16666666666666
Araliaceae,Dendropanax querceti,-84.716667,10.416667,21.300000031789143,290.1666666666667
Araliaceae,Dendropanax querceti,-84.133333,10.122222,13.18333331743876,222.58333333333334
Araliaceae,Dendropanax querceti,-84.13,10.12,13.18333331743876,222.58333333333334
Araliaceae,Dendropanax querceti,-84.8,10.3,18.574999968210857,210.08333333333334
Araliaceae,Dendropanax querceti,-84.783333,10.308333,18.15833314259847,262.75
Araliaceae,Dendropanax querceti,-84.78,10.3,18.616666475931805,253.41666666666666
