familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Ebenaceae,Diospyros juruensis,-93.0166667,18.4166667,26.3166667620341,143.5
Ebenaceae,Diospyros juruensis,-92.0833,18.25,26.791666507720947,151.83333333333334
Ebenaceae,Diospyros juruensis,-90.1894444,16.5263889,26.016666571299236,231.91666666666666
Ebenaceae,Diospyros juruensis,-90.03,16.145,26.166666825612385,288.0833333333333
Ebenaceae,Diospyros juruensis,-92.6,17.7166667,26.649999777475994,217.58333333333334
Ebenaceae,Diospyros juruensis,-83.4,10.2855555,26.18333355585734,290
Ebenaceae,Diospyros juruensis,-90.5258334,16.4816667,26.233333269755047,248.58333333333334
Ebenaceae,Diospyros juruensis,-89.9525,15.8019444,26.40833314259847,305.4166666666667
Ebenaceae,Diospyros juruensis,-89.9455555,15.8061111,26.416666507720947,304.75
Ebenaceae,Diospyros juruensis,-89.9438889,15.8044444,26.416666507720947,304.75
Ebenaceae,Diospyros juruensis,-90.2111111,16.3944444,25.800000190734863,261.25
Ebenaceae,Diospyros juruensis,-90.1136111,16.4152778,26,251.5
Ebenaceae,Diospyros juruensis,-89.35,16.0833333,24.541666666666668,289.3333333333333
Ebenaceae,Diospyros juruensis,-95.9833333,18.7166667,25.39999993642171,122.08333333333333
Ebenaceae,Diospyros juruensis,-77.7333333,7.8666667,23.100000222524006,241.91666666666666
Ebenaceae,Diospyros juruensis,-89.5902777,15.7869444,25.958333333333332,286.3333333333333
Ebenaceae,Diospyros juruensis,-90.1905,16.5303,26.016666571299236,231.91666666666666
Ebenaceae,Diospyros juruensis,-89.3508333,16.0811111,24.583333492279053,289.4166666666667
Ebenaceae,Diospyros juruensis,-89.3508333,16.0811111,24.583333492279053,289.4166666666667
Ebenaceae,Diospyros juruensis,-84.8166667,10.3,20.18333339691162,191.5
Ebenaceae,Diospyros juruensis,-84.8,10.25,21.074999968210857,204.16666666666666
Ebenaceae,Diospyros juruensis,-80.6,8.6833333,23.09166685740153,273.5
Ebenaceae,Diospyros juruensis,-92.5622222,17.7225,26.65833314259847,219.5
Ebenaceae,Diospyros juruensis,-84.8,10.25,21.074999968210857,204.16666666666666
Ebenaceae,Diospyros juruensis,-84.8,10.2833333,20.63333336512248,212.66666666666666
Ebenaceae,Diospyros juruensis,-82.7166667,8.9166667,13.324999968210856,205.08333333333334
Ebenaceae,Diospyros juruensis,-93.22,18.18,26.3083332379659,155.41666666666666
Ebenaceae,Diospyros juruensis,-92.8213889,17.6847222,26.408333619435627,226
Ebenaceae,Diospyros juruensis,-90.8833333,16.8,25.741666793823242,245.33333333333334
Ebenaceae,Diospyros juruensis,-90.6333333,16.45,26.15833346048991,252.08333333333334
Ebenaceae,Diospyros juruensis,-84.88,10.46,21.850000222524006,293.6666666666667
Ebenaceae,Diospyros juruensis,-84.8,10.2666667,20.166666666666668,208.16666666666666
Ebenaceae,Diospyros juruensis,-84.8333333,10.3333333,19.083333492279053,200.25
Ebenaceae,Diospyros juruensis,-84.75,10.33333,18.43333371480306,275.9166666666667
Ebenaceae,Diospyros juruensis,-84.7166667,10.3333333,20.44166660308838,284.6666666666667
Ebenaceae,Diospyros juruensis,-84.63,10.24,21.77499993642171,292.25
Ebenaceae,Diospyros juruensis,-97.0166667,16.15,21.84166685740153,127.58333333333333
Ebenaceae,Diospyros juruensis,-97.01,16.16,21.39999993642171,129.25
Ebenaceae,Diospyros juruensis,-84.7666667,10.2833333,18.358333428700764,248.5
Ebenaceae,Diospyros juruensis,-84.7333333,10.3166667,20.28333346048991,268.75
Ebenaceae,Diospyros juruensis,-84.7166667,10.3,20.40000009536743,277.5
Ebenaceae,Diospyros juruensis,-84.7166667,10.3333333,20.44166660308838,284.6666666666667
Ebenaceae,Diospyros juruensis,-84.71666,10.33333,21.016666889190674,282.6666666666667
Ebenaceae,Diospyros juruensis,-76.9166667,7.5,27.424999872843426,277.3333333333333
Ebenaceae,Diospyros juruensis,-96.96,16.16,21.18333339691162,124.83333333333333
Ebenaceae,Diospyros juruensis,-89.4,15.4816667,27.18333355585734,219.75
Ebenaceae,Diospyros juruensis,-84.73,10.3,20.391666730244953,286.0833333333333
Ebenaceae,Diospyros juruensis,-84.71,10.31,21.825000127156574,299.4166666666667
Ebenaceae,Diospyros juruensis,-76.9166667,7.5,27.424999872843426,277.3333333333333
Ebenaceae,Diospyros juruensis,-73.6666667,-4.9166667,26.44166660308838,214.75
Ebenaceae,Diospyros juruensis,-84.85,10.33,19.591667016347248,193
Ebenaceae,Diospyros juruensis,-84.71,10.31,21.825000127156574,299.4166666666667
Ebenaceae,Diospyros juruensis,-83.1972222,9.2944444,16.708333412806194,231.75
Ebenaceae,Diospyros juruensis,-96.9833333,16.1666667,20.62500015894572,118.25
Ebenaceae,Diospyros juruensis,-85.4708334,10.9291667,20.908333619435627,180.91666666666666
Ebenaceae,Diospyros juruensis,-85.2527778,10.7755556,23.28333330154419,268.1666666666667
Ebenaceae,Diospyros juruensis,-84.8,10.25,21.074999968210857,204.16666666666666
Ebenaceae,Diospyros juruensis,-84.8,10.3,18.574999968210857,210.08333333333334
Ebenaceae,Diospyros juruensis,-84.8,10.3333333,17.375,238
Ebenaceae,Diospyros juruensis,-84.71,10.31,21.825000127156574,299.4166666666667
Ebenaceae,Diospyros juruensis,-83.47,8.5,23.52499993642171,299
Ebenaceae,Diospyros juruensis,-85.3052778,10.7972222,18.47499990463257,227.16666666666666
Ebenaceae,Diospyros juruensis,-84.8,10.3,18.574999968210857,210.08333333333334
Ebenaceae,Diospyros juruensis,-84.72,10.3,20.40000009536743,277.5
Ebenaceae,Diospyros juruensis,-82.75,8.8333333,20.31666660308838,237.58333333333334
Ebenaceae,Diospyros juruensis,-84.6902777,10.4430555,21.050000031789143,281.0833333333333
Ebenaceae,Diospyros juruensis,-83.58,8.68,24.61666663487752,239.08333333333334
Ebenaceae,Diospyros juruensis,-82.75,8.8333333,20.31666660308838,237.58333333333334
Ebenaceae,Diospyros juruensis,-78.5833333,9.3666667,26.233333428700764,230.75
Ebenaceae,Diospyros juruensis,-74.1744445,-4.8163889,26.675000031789143,201.25
Ebenaceae,Diospyros juruensis,-85.4,10.88,23.12499984105428,239.25
Ebenaceae,Diospyros juruensis,-83.53,8.72,24.208333174387615,289.3333333333333
Ebenaceae,Diospyros juruensis,-83.18,8.81,20.233333269755047,289.9166666666667
Ebenaceae,Diospyros juruensis,-73.75,-4.9166667,26.50000015894572,211.66666666666666
Ebenaceae,Diospyros juruensis,-73.7333333,-4.9833333,26.44166660308838,213.66666666666666
Ebenaceae,Diospyros juruensis,-84.79,10.27,19.40000009536743,220.5
Ebenaceae,Diospyros juruensis,-79.75,0.3666667,22.68333355585734,146.58333333333334
Ebenaceae,Diospyros juruensis,-79.7333333,0.35,22.84166669845581,148.5
Ebenaceae,Diospyros juruensis,-79.73333,0.35,22.84166669845581,148.5
Ebenaceae,Diospyros juruensis,-83.5972222,9.3916666,19.97500006357829,248.33333333333334
Ebenaceae,Diospyros juruensis,-79.7333333,0.35,22.84166669845581,148.5
Ebenaceae,Diospyros juruensis,-79.7111111,0.36,23.191666920979817,148.91666666666666
Ebenaceae,Diospyros juruensis,-83.45,8.71,NA,NA
Ebenaceae,Diospyros juruensis,-79.7333333,0.35,22.84166669845581,148.5
Ebenaceae,Diospyros juruensis,-79.73333,0.35,22.84166669845581,148.5
Ebenaceae,Diospyros juruensis,-85.3833333,10.8,21.241666793823242,192.41666666666666
Ebenaceae,Diospyros juruensis,-83.2166667,8.6833333,25.69166644414266,249.16666666666666
Ebenaceae,Diospyros juruensis,-79.7333333,0.35,22.84166669845581,148.5
Ebenaceae,Diospyros juruensis,-79.73333,0.35,22.84166669845581,148.5
