familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Ebenaceae,Diospyros nigra,-90.433,17.4,26.291666825612385,151.08333333333334
Ebenaceae,Diospyros nigra,-97.423611,19.979722,19.949999888737995,168.66666666666666
Ebenaceae,Diospyros nigra,-93.213329,17.124406,22.733333428700764,180.08333333333334
Ebenaceae,Diospyros nigra,-92.265716,16.194728,22.583333651224773,110.41666666666667
Ebenaceae,Diospyros nigra,-91.896172000000007,15.827601,24.77499993642171,130.66666666666666
Ebenaceae,Diospyros nigra,-97.336064,21.012166,24.09166669845581,106.75
Ebenaceae,Diospyros nigra,-97.335909,21.012247,24.09166669845581,106.75
Ebenaceae,Diospyros nigra,-93.142927,16.761425,24.800000031789143,92.75
Ebenaceae,Diospyros nigra,-84.802068,10.287611,20.083333492279053,201.75
Ebenaceae,Diospyros nigra,-97.424,19.98,19.949999888737995,168.66666666666666
Ebenaceae,Diospyros nigra,-96.931667,18.891111,21.633333206176758,135.58333333333334
Ebenaceae,Diospyros nigra,-88.313056,17.878333,26.108333587646484,140.91666666666666
Ebenaceae,Diospyros nigra,-91.49,17.44,26.708333015441895,180.83333333333334
Ebenaceae,Diospyros nigra,-102.47,19.09,26.458333174387615,68.33333333333333
Ebenaceae,Diospyros nigra,-87.03333,12.56666,27.383333206176758,135.16666666666666
Ebenaceae,Diospyros nigra,-96.9175,20.006667,23.125,167.75
Ebenaceae,Diospyros nigra,-96.9175,20.006667,23.125,167.75
Ebenaceae,Diospyros nigra,-93.091667,17.558333,25.96666653951009,289.1666666666667
Ebenaceae,Diospyros nigra,-90.05916,16.0525,26.275000254313152,299.6666666666667
Ebenaceae,Diospyros nigra,-92.81716728,16.55632934,25.74999984105428,98.16666666666667
Ebenaceae,Diospyros nigra,-97.009722,18.849444,20.633333524068195,128.66666666666666
Ebenaceae,Diospyros nigra,-96.791667,20.241667,24.316667079925537,140
Ebenaceae,Diospyros nigra,-96.678333,20.041111,24.366666793823242,137.5
Ebenaceae,Diospyros nigra,-96.608333,19.791667,22.3166667620341,130.83333333333334
Ebenaceae,Diospyros nigra,-95.298333,18.658333,24.97499990463257,194.58333333333334
Ebenaceae,Diospyros nigra,-90.985278,17.179167,25.741666475931805,206.08333333333334
Ebenaceae,Diospyros nigra,-96.858333,18.875,22.28333330154419,143.75
Ebenaceae,Diospyros nigra,-98.031111,21.174167,23.366666793823242,119.83333333333333
Ebenaceae,Diospyros nigra,-97.75,21.316667,23.59999990463257,112.08333333333333
Ebenaceae,Diospyros nigra,-96.758333,19.458333,21.824999968210857,102.41666666666667
Ebenaceae,Diospyros nigra,-96.678333,20.041111,24.366666793823242,137.5
Ebenaceae,Diospyros nigra,-95.0687,18.5853,25.3166667620341,203
Ebenaceae,Diospyros nigra,-95.052222,18.586111,25.641666412353516,207.66666666666666
Ebenaceae,Diospyros nigra,-95.1,18.5,22.883333524068195,186.16666666666666
Ebenaceae,Diospyros nigra,-81.116667,8.516667,22.46666653951009,281.6666666666667
Ebenaceae,Diospyros nigra,-95.091667,18.391667,24.791666666666668,155.33333333333334
Ebenaceae,Diospyros nigra,-101.191667,19.708333,18.09166653951009,64.5
Ebenaceae,Diospyros nigra,-95.19472887,18.37790102,25.63333336512248,163.33333333333334
Ebenaceae,Diospyros nigra,-95.05833731,18.60205775,25.574999809265137,206.41666666666666
Ebenaceae,Diospyros nigra,-95.052222,18.586111,25.641666412353516,207.66666666666666
Ebenaceae,Diospyros nigra,-95.05,18.6,NA,NA
Ebenaceae,Diospyros nigra,-88.98333,14.96666,21.641666571299236,143.5
Ebenaceae,Diospyros nigra,-96.591667,19.325,24.700000286102295,93.91666666666667
Ebenaceae,Diospyros nigra,-91.139444,17.695556,26.749999682108562,143.58333333333334
Ebenaceae,Diospyros nigra,-96.983333,18.666667,21.050000031789143,140.33333333333334
Ebenaceae,Diospyros nigra,-96.981944,18.674722,21.050000031789143,140.33333333333334
Ebenaceae,Diospyros nigra,-91.091667,18.541667,26.6833332379659,118.16666666666667
Ebenaceae,Diospyros nigra,-96.493333,19.31,24.94166628519694,88.75
Ebenaceae,Diospyros nigra,-96.398611,19.6,24.924999872843426,90
Ebenaceae,Diospyros nigra,-96.366667,19.583333,NA,NA
Ebenaceae,Diospyros nigra,-97.075,18.141667,23.9416667620341,73.91666666666667
Ebenaceae,Diospyros nigra,-95.073889,18.584722,25.3166667620341,203
Ebenaceae,Diospyros nigra,-98.908333,21.641667,24.375,140.16666666666666
Ebenaceae,Diospyros nigra,-98.894439,21.634719,24.34166653951009,140.75
Ebenaceae,Diospyros nigra,-96.900278,20.125,24.383333206176758,146.66666666666666
Ebenaceae,Diospyros nigra,-96.858333,19.925,23.35000006357829,157.41666666666666
Ebenaceae,Diospyros nigra,-96.735556,19.536389,23.108333587646484,100.91666666666667
Ebenaceae,Diospyros nigra,-96.6667,19.3333,23.87499984105428,93.66666666666667
Ebenaceae,Diospyros nigra,-95.443333,18.591667,25.77499993642171,162.58333333333334
Ebenaceae,Diospyros nigra,-95.366667,18.6,25.608333428700764,176
Ebenaceae,Diospyros nigra,-95.361667,18.603889,25.616666793823242,177.41666666666666
Ebenaceae,Diospyros nigra,-95.141667,18.691667,NA,NA
Ebenaceae,Diospyros nigra,-95.133333,18.683333,NA,NA
Ebenaceae,Diospyros nigra,-95.07,18.601667,25.558333079020183,206.08333333333334
Ebenaceae,Diospyros nigra,-95.050556,18.593333,25.53333346048991,206.08333333333334
Ebenaceae,Diospyros nigra,-95.05,18.6,NA,NA
