familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Diphysa americana,-93.082435,16.795511,23.675000190734863,96.58333333333333
Fabaceae,Diphysa americana,-93.076014,16.830544,21.024999777475994,91.66666666666667
Fabaceae,Diphysa americana,-90.42944,14.34111,22.583333333333332,152
Fabaceae,Diphysa americana,-99.23,18.91,21.97500006357829,96.91666666666667
Fabaceae,Diphysa americana,-89.2031,13.7086,23.37500015894572,152.58333333333334
Fabaceae,Diphysa americana,-100.29,19.01,23.008333206176758,101.75
Fabaceae,Diphysa americana,-99.94,18.92,14.424999952316284,91.5
Fabaceae,Diphysa americana,-79.54972,8.95861,26.96666685740153,164.91666666666666
Fabaceae,Diphysa americana,-79.51666,8.98333,27.124999682108562,180.25
Fabaceae,Diphysa americana,-100.15,18.9,21.458333492279053,103.33333333333333
Fabaceae,Diphysa americana,-100.15,18.91,21.041666825612385,100.33333333333333
Fabaceae,Diphysa americana,-92.6333,15.3333,26.974999745686848,192.66666666666666
Fabaceae,Diphysa americana,-100.98,18.12,23.02500009536743,105.08333333333333
Fabaceae,Diphysa americana,-84.11,9.96,21.491666793823242,218.33333333333334
Fabaceae,Diphysa americana,-101.61,17.98,24.866666952768963,81.66666666666667
Fabaceae,Diphysa americana,-101.6,17.97,24.34166685740153,87.75
Fabaceae,Diphysa americana,-82.816667,8.8,22.358333269755047,244.91666666666666
Fabaceae,Diphysa americana,-80.433333,7.966667,27.47500006357829,173
Fabaceae,Diphysa americana,-92.658331,15.319439,27.266666730244953,187.41666666666666
Fabaceae,Diphysa americana,-80.783333,7.95,26.675000031789143,161.75
Fabaceae,Diphysa americana,-84.8333,10,26.93333339691162,153
Fabaceae,Diphysa americana,-78.864444,9.215,26.69166660308838,200.41666666666666
Fabaceae,Diphysa americana,-82.65,8.78333,19.016666730244953,260.5
Fabaceae,Diphysa americana,-82.616667,8.733333,20.449999809265137,286.9166666666667
Fabaceae,Diphysa americana,-80.97055,8.24444,26.52499993642171,214.91666666666666
Fabaceae,Diphysa americana,-80.78333,7.95,26.675000031789143,161.75
Fabaceae,Diphysa americana,-82.1,8.3,26.733333269755047,263
Fabaceae,Diphysa americana,-84.18,9.93,21.733333269755047,221.25
Fabaceae,Diphysa americana,-80.55222,7.73361,26.916666666666668,160.33333333333334
Fabaceae,Diphysa americana,-78.066667,9.216667,26.583333492279053,174.08333333333334
Fabaceae,Diphysa americana,-80.94194,8.08722,26.90000009536743,184
Fabaceae,Diphysa americana,-80.13611,7.73611,27.21666653951009,157.16666666666666
Fabaceae,Diphysa americana,-79.29027,9.1025,26.949999968210857,181.91666666666666
