familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Putrajivaceae,Drypetes standleyi,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Putrajivaceae,Drypetes standleyi,-79.86121916,9.15829246,26.208333492279053,206.91666666666666
Putrajivaceae,Drypetes standleyi,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Putrajivaceae,Drypetes standleyi,-83.07,9.68,23.10000006357829,276.75
Putrajivaceae,Drypetes standleyi,-84.11,10.4,25.291666825612385,297
Putrajivaceae,Drypetes standleyi,-84.06,10.45,25.933333079020183,302.4166666666667
Putrajivaceae,Drypetes standleyi,-83.51,10.02,24.366666316986084,298.3333333333333
Putrajivaceae,Drypetes standleyi,-84.18,10.65,25.93333355585734,293.9166666666667
Putrajivaceae,Drypetes standleyi,-84.6,10.35,24.291666666666668,292.75
Putrajivaceae,Drypetes standleyi,-84.53,9.77,25.616666952768963,203
Putrajivaceae,Drypetes standleyi,-83.71,10.48,26.15833346048991,301.5
Putrajivaceae,Drypetes standleyi,-84.00361,10.43138,26.008333206176758,307.9166666666667
Putrajivaceae,Drypetes standleyi,-79.85833,9.15277,25.983333269755047,199.5
Putrajivaceae,Drypetes standleyi,-78.1869,-1.4628,18.10000006357829,196.5
Putrajivaceae,Drypetes standleyi,-83.8667,10,13.466666539510092,317.3333333333333
Putrajivaceae,Drypetes standleyi,-85.316667,10.933333,24.541666825612385,251.91666666666666
Putrajivaceae,Drypetes standleyi,-85.008333,10.725,22.766666571299236,279.1666666666667
Putrajivaceae,Drypetes standleyi,-83.55,8.7,25.19166644414266,257.0833333333333
Putrajivaceae,Drypetes standleyi,-85.408334,11.033333,24.641666571299236,230.25
Putrajivaceae,Drypetes standleyi,-85.427779,10.990556,22.574999968210857,249.33333333333334
Putrajivaceae,Drypetes standleyi,-83.072222,9.680556,23.10000006357829,276.75
Putrajivaceae,Drypetes standleyi,-84.1125,10.409722,25.408332983652752,294.6666666666667
Putrajivaceae,Drypetes standleyi,-84.066667,10.45,25.824999968210857,307.1666666666667
Putrajivaceae,Drypetes standleyi,-83.466667,8.983333,25.424999872843426,289.4166666666667
Putrajivaceae,Drypetes standleyi,-83.5,8.583333,25.77499993642171,243.25
Putrajivaceae,Drypetes standleyi,-84.616667,10.283333,20.641666571299236,276.0833333333333
Putrajivaceae,Drypetes standleyi,-84.533333,9.775,25.616666952768963,203
Putrajivaceae,Drypetes standleyi,-83.519444,10.022222,23.641666730244953,284.5833333333333
Putrajivaceae,Drypetes standleyi,-82.64083,9.633436,NA,NA
Putrajivaceae,Drypetes standleyi,-84.183333,10.65,25.93333355585734,293.9166666666667
Putrajivaceae,Drypetes standleyi,-83.491667,8.45,NA,NA
Putrajivaceae,Drypetes standleyi,-83.716667,10.483333,26.15000009536743,300.0833333333333
Putrajivaceae,Drypetes standleyi,-83.216667,8.683333,25.69166644414266,249.16666666666666
Putrajivaceae,Drypetes standleyi,-82.666667,9.575,26.40000009536743,229.08333333333334
Putrajivaceae,Drypetes standleyi,-83.856667,10.197778,24.716667016347248,306.1666666666667
Putrajivaceae,Drypetes standleyi,-82.636667,9.56,26.358333269755047,227.5
Putrajivaceae,Drypetes standleyi,-83.519167,8.9875,26.28333330154419,270.5
Putrajivaceae,Drypetes standleyi,-85.491568,10.955326,23.09999990463257,165.58333333333334
Putrajivaceae,Drypetes standleyi,-84.016668,10.433333,25.949999809265137,316.25
Putrajivaceae,Drypetes standleyi,-84.527778,10.297222,24.266666730244953,303.4166666666667
Putrajivaceae,Drypetes standleyi,-84.204712,10.665885,25.59166653951009,294.8333333333333
Putrajivaceae,Drypetes standleyi,-83.857778,10.191111,24.616666793823242,312.0833333333333
Putrajivaceae,Drypetes standleyi,-83.508846,9.023852,24.06666644414266,261
Putrajivaceae,Drypetes standleyi,-85.321333,10.965833,24.39999993642171,253.16666666666666
Putrajivaceae,Drypetes standleyi,-83.466389,8.752889,25.30833339691162,272.25
Putrajivaceae,Drypetes standleyi,-83.48,8.45,NA,NA
Putrajivaceae,Drypetes standleyi,-83.72,10.48,26.15000009536743,300.0833333333333
Putrajivaceae,Drypetes standleyi,-83.2167,8.68333,25.69166644414266,249.16666666666666
Putrajivaceae,Drypetes standleyi,-83.2167,8.68333,25.69166644414266,249.16666666666666
Putrajivaceae,Drypetes standleyi,-84.05,14.46666,24.53333330154419,229.83333333333334
Putrajivaceae,Drypetes standleyi,-84.45,11.86666,25.266666571299236,211.33333333333334
Putrajivaceae,Drypetes standleyi,-84.41666,11.6,25.449999968210857,223.16666666666666
Putrajivaceae,Drypetes standleyi,-85.31,10.93,24.50833336512248,248.41666666666666
