familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Duguetia panamensis,-83.98333,10.76666,25.708333492279053,291.4166666666667
Annonaceae,Duguetia panamensis,-83.47,8.52,22.991666793823242,277.3333333333333
Annonaceae,Duguetia panamensis,-84.39,9.69,24.858333428700764,233.58333333333334
Annonaceae,Duguetia panamensis,-84.39,9.7,24.608333269755047,232.91666666666666
Annonaceae,Duguetia panamensis,-83.73,10.64,26.06666660308838,304.9166666666667
Annonaceae,Duguetia panamensis,-84.53,9.75,24.94166660308838,231.33333333333334
Annonaceae,Duguetia panamensis,-83.51666,8.7,26.125000317891438,247.33333333333334
Annonaceae,Duguetia panamensis,-77,6,26.47500006357829,536.25
Annonaceae,Duguetia panamensis,-83.8667,10,13.466666539510092,317.3333333333333
Annonaceae,Duguetia panamensis,-77.28,8.0583,22.00000015894572,200.41666666666666
Annonaceae,Duguetia panamensis,-81.25,8.1667,26.34166669845581,247.66666666666666
Annonaceae,Duguetia panamensis,-84.5,10.5,26.18333339691162,277.0833333333333
Annonaceae,Duguetia panamensis,-80.10278,8.50722,26.266666730244953,185.25
Annonaceae,Duguetia panamensis,-82.65,9.583333,26.224999745686848,228.41666666666666
Annonaceae,Duguetia panamensis,-83.366667,8.783333,26.083333492279053,277.25
Annonaceae,Duguetia panamensis,-83.602778,8.683333,25.416666507720947,240.58333333333334
Annonaceae,Duguetia panamensis,-83.736111,10.643889,26.074999968210857,304.5833333333333
Annonaceae,Duguetia panamensis,-83.736112,10.643889,26.074999968210857,304.5833333333333
Annonaceae,Duguetia panamensis,-84.4,10.766667,25.891666730244953,257.0833333333333
Annonaceae,Duguetia panamensis,-82.666667,9.575,26.40000009536743,229.08333333333334
Annonaceae,Duguetia panamensis,-82.638889,9.566667,26.25833288828532,233.25
Annonaceae,Duguetia panamensis,-82.65,9.583333,26.224999745686848,228.41666666666666
Annonaceae,Duguetia panamensis,-81.86,7.51,25.59166669845581,241.25
Annonaceae,Duguetia panamensis,-81.48,7.8,25.391666412353516,197.25
Annonaceae,Duguetia panamensis,-84.25,11.7833333,25.1833332379659,241.08333333333334
Annonaceae,Duguetia panamensis,-82.65,9.58,26.224999745686848,228.41666666666666
Annonaceae,Duguetia panamensis,-82.6166667,9.6,26.324999809265137,258.4166666666667
Annonaceae,Duguetia panamensis,-83.5638889,8.6777778,25.424999872843426,241.83333333333334
Annonaceae,Duguetia panamensis,-83.3666667,8.7833333,26.083333492279053,277.25
Annonaceae,Duguetia panamensis,-83.33,8.4,26.166666507720947,315
Annonaceae,Duguetia panamensis,-83.6,8.69,25.21666653951009,242.5
Annonaceae,Duguetia panamensis,-84.4,10.76666,25.84166653951009,264.3333333333333
Annonaceae,Duguetia panamensis,-82.6666667,9.575,26.40000009536743,229.08333333333334
Annonaceae,Duguetia panamensis,-83.98333,10.76666,25.708333492279053,291.4166666666667
Annonaceae,Duguetia panamensis,-82.6333333,9.5333333,26.458333651224773,255.08333333333334
Annonaceae,Duguetia panamensis,-83.5163889,8.5663889,25.40833314259847,247.75
Annonaceae,Duguetia panamensis,-84.4,10.76,25.84166653951009,264.3333333333333
Annonaceae,Duguetia panamensis,-82.66,9.57,26.31666644414266,235.16666666666666
Annonaceae,Duguetia panamensis,-85,12.5,23.55833355585734,166.66666666666666
Annonaceae,Duguetia panamensis,-84.9917,10.7022,21.883333524068195,282.25
Annonaceae,Duguetia panamensis,-84.0169,9.4944,22.299999872843426,242.66666666666666
Annonaceae,Duguetia panamensis,-83.9725,10.1239,20.84166685740153,301.8333333333333
Annonaceae,Duguetia panamensis,-83.4272,9.7058,21.975000222524006,270.6666666666667
Annonaceae,Duguetia panamensis,-83.0328,9.6464,23.60000006357829,271
Annonaceae,Duguetia panamensis,-82.1875,8.7778,21.72500006357829,297.25
Annonaceae,Duguetia panamensis,-79.3553,9.2578,22.833333333333332,233.25
Annonaceae,Duguetia panamensis,-82.63333,9.53333,26.458333651224773,255.08333333333334
