familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Elaeagia glossostipula,-84.075833,9.618611,17.14999993642171,193.16666666666666
Rubiaceae,Elaeagia glossostipula,-82.208333,8.801667,21.28333346048991,304.75
Rubiaceae,Elaeagia glossostipula,-82.215,8.773333,19.87499984105428,296.5
Rubiaceae,Elaeagia glossostipula,-84.100833,9.6075,18.36666663487752,208.91666666666666
Rubiaceae,Elaeagia glossostipula,-84.148611,9.586111,21.425000031789143,249.83333333333334
Rubiaceae,Elaeagia glossostipula,-84.148611,9.586111,21.425000031789143,249.83333333333334
Rubiaceae,Elaeagia glossostipula,-83.76,9.29,20.983333428700764,236.41666666666666
Rubiaceae,Elaeagia glossostipula,-83.1673,9.81371,19.824999968210857,312.5
Rubiaceae,Elaeagia glossostipula,-83.764167,9.294722,21.033333619435627,252.33333333333334
Rubiaceae,Elaeagia glossostipula,-84.08,9.62,17.14999993642171,193.16666666666666
Rubiaceae,Elaeagia glossostipula,-83.690278,9.477778,16.37500015894572,305
Rubiaceae,Elaeagia glossostipula,-82.216667,8.771667,18.86666663487752,296.4166666666667
Rubiaceae,Elaeagia glossostipula,-82.207222,8.778611,20.574999968210857,294.0833333333333
Rubiaceae,Elaeagia glossostipula,-82.25,8.75,20.491666793823242,244.83333333333334
Rubiaceae,Elaeagia glossostipula,-82.216667,8.766667,18.86666663487752,296.4166666666667
Rubiaceae,Elaeagia glossostipula,-83.781944,9.748056,18.65833330154419,334.9166666666667
Rubiaceae,Elaeagia glossostipula,-84.448611,9.785833,19.724999745686848,193.91666666666666
Rubiaceae,Elaeagia glossostipula,-84.466667,9.794444,18.666666507720947,203.25
Rubiaceae,Elaeagia glossostipula,-82.25,8.75,20.491666793823242,244.83333333333334
Rubiaceae,Elaeagia glossostipula,-84.46,9.79,19.52500009536743,181.75
