familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Elaeagia karstenii,-79.0705556,-3.9763889,16.283333381017048,75.91666666666667
Rubiaceae,Elaeagia karstenii,-72.54611,-12.86694,14.37500007947286,89.83333333333333
Rubiaceae,Elaeagia karstenii,-73.013256,7.150294,17.208333333333332,114.75
Rubiaceae,Elaeagia karstenii,-73.084167,7.3446109999999996,18.641666571299236,112
Rubiaceae,Elaeagia karstenii,-72.8125,-12.90861,18.59999990463257,143.91666666666666
Rubiaceae,Elaeagia karstenii,-74.14,-9.1839,26.22499990463257,146.33333333333334
Rubiaceae,Elaeagia karstenii,-72.8667,3.8811,26.583333174387615,229.33333333333334
Rubiaceae,Elaeagia karstenii,-65.9119,7.0758,27.366666952768963,155.91666666666666
Rubiaceae,Elaeagia karstenii,-65.9119,7.0758,27.366666952768963,155.91666666666666
Rubiaceae,Elaeagia karstenii,-84.8333,10,26.93333339691162,153
Rubiaceae,Elaeagia karstenii,-84.8333,10,26.93333339691162,153
Rubiaceae,Elaeagia karstenii,-84,9.6667,17.50833336512248,180.33333333333334
Rubiaceae,Elaeagia karstenii,-75.5,7,16.18333339691162,220.91666666666666
Rubiaceae,Elaeagia karstenii,-90.1838889,15.1772223,14.675000031789144,145.58333333333334
Rubiaceae,Elaeagia karstenii,-78.6167,0.116667,19.083333333333332,159.75
Rubiaceae,Elaeagia karstenii,-77.6667,-5.75,17.991666793823242,93.41666666666667
Rubiaceae,Elaeagia karstenii,-76.587,6.613,23.650000254313152,294
Rubiaceae,Elaeagia karstenii,-76.5833,3.53333,16.983333428700764,144.75
Rubiaceae,Elaeagia karstenii,-83.95,9.486111,23.550000031789143,258.9166666666667
Rubiaceae,Elaeagia karstenii,-75.251611,5.698556,12.199999888737997,180.41666666666666
Rubiaceae,Elaeagia karstenii,-75.247944,5.696722,11.99999992052714,205
Rubiaceae,Elaeagia karstenii,-73.425833,4.586111,19.666666825612385,214.5
Rubiaceae,Elaeagia karstenii,-75.645833,4.682778,17.72500006357829,202.75
Rubiaceae,Elaeagia karstenii,-72.840833,7.438889,12.924999952316284,119.58333333333333
Rubiaceae,Elaeagia karstenii,-76.016667,5.158056,14.90833338101705,194.58333333333334
Rubiaceae,Elaeagia karstenii,-75.17,5.368056,15.18333331743876,195.75
Rubiaceae,Elaeagia karstenii,-72.95,7.033333,14.300000031789144,104.16666666666667
Rubiaceae,Elaeagia karstenii,-72.95,7.043611,12.666666666666666,96.5
Rubiaceae,Elaeagia karstenii,-77.995778,1.158778,16.93333339691162,128.75
Rubiaceae,Elaeagia karstenii,-76.349722,1.81,14.5,169.91666666666666
Rubiaceae,Elaeagia karstenii,-77.7333333,7.8333333,21.458333492279053,223.08333333333334
Rubiaceae,Elaeagia karstenii,-84.38,10.37,23.80833339691162,297.6666666666667
Rubiaceae,Elaeagia karstenii,-83.69,9.96,21.06666660308838,263.4166666666667
Rubiaceae,Elaeagia karstenii,-87.5833333,15.2,18.666666507720947,114
Rubiaceae,Elaeagia karstenii,-83.95,9.4861111,23.550000031789143,258.9166666666667
Rubiaceae,Elaeagia karstenii,-78.24,0.94972,17.891666730244953,132.66666666666666
Rubiaceae,Elaeagia karstenii,-83.0717,9.124167,16.541666746139526,263.5833333333333
Rubiaceae,Elaeagia karstenii,-82.7080556,9.0508333,18.02499993642171,247.58333333333334
Rubiaceae,Elaeagia karstenii,-77.7975,-0.6536111,17.358333428700764,219.75
Rubiaceae,Elaeagia karstenii,-78.32166,-3.26,14.866666714350382,112.08333333333333
Rubiaceae,Elaeagia karstenii,-78.29138,-3.24472,17.324999809265137,123.08333333333333
Rubiaceae,Elaeagia karstenii,-78.24166,-3.22916,21.125000476837158,153.16666666666666
Rubiaceae,Elaeagia karstenii,-82.96,8.79,20.6833332379659,222.83333333333334
Rubiaceae,Elaeagia karstenii,-84.06,10.29,21.958333333333332,290.1666666666667
Rubiaceae,Elaeagia karstenii,-90.5,15,17.608333428700764,128.08333333333334
Rubiaceae,Elaeagia karstenii,-86.5,14.5,24.09999990463257,81.16666666666667
Rubiaceae,Elaeagia karstenii,-84.0169,9.4944,22.299999872843426,242.66666666666666
Rubiaceae,Elaeagia karstenii,-83.4272,9.7058,21.975000222524006,270.6666666666667
Rubiaceae,Elaeagia karstenii,-82.4394,8.6981,21.96666685740153,230.5
Rubiaceae,Elaeagia karstenii,-82.2381,8.7192,19.71666653951009,303.0833333333333
Rubiaceae,Elaeagia karstenii,-79.0603,-3.9708,18.108333428700764,68.33333333333333
Rubiaceae,Elaeagia karstenii,-78.6983,-4.4361,21.583333492279053,122.58333333333333
Rubiaceae,Elaeagia karstenii,-78.6644,-4.2797,22.78333330154419,141.33333333333334
Rubiaceae,Elaeagia karstenii,-78.6586,0.6358,20.933333079020183,156.5
Rubiaceae,Elaeagia karstenii,-78.6222,0.5589,18.65000009536743,133.66666666666666
Rubiaceae,Elaeagia karstenii,-78.6178,0.1158,18.741666793823242,152.25
Rubiaceae,Elaeagia karstenii,-78.2961,-1.4086,16.71666669845581,117.75
Rubiaceae,Elaeagia karstenii,-78.1442,-1.4364,18.641666730244953,239.41666666666666
Rubiaceae,Elaeagia karstenii,-78.1431,0.8131,18.5583332379659,118.25
Rubiaceae,Elaeagia karstenii,-77.8256,-2.9317,22.849999745686848,203.41666666666666
Rubiaceae,Elaeagia karstenii,-77.7597,-2.0847,21.100000222524006,276.75
Rubiaceae,Elaeagia karstenii,-77.7239,-0.2181,18.500000476837158,204
Rubiaceae,Elaeagia karstenii,-77.7069,7.8681,20.950000127156574,229.25
Rubiaceae,Elaeagia karstenii,-77.6986,8.0197,23.450000127156574,195.08333333333334
Rubiaceae,Elaeagia karstenii,-77.6825,-0.6992,19.40833346048991,292.25
Rubiaceae,Elaeagia karstenii,-77.5597,-4.1942,22.916666666666668,186.33333333333334
Rubiaceae,Elaeagia karstenii,-77.5358,-0.5272,19.766666571299236,304.5
Rubiaceae,Elaeagia karstenii,-77.3803,8.4472,23.016666730244953,201.66666666666666
Rubiaceae,Elaeagia karstenii,-77.3292,8.2358,22.008333524068195,188.08333333333334
Rubiaceae,Elaeagia karstenii,-77.2153,8.0797,21.108333110809326,183
Rubiaceae,Elaeagia karstenii,-77.2075,-7.6944,15.708333412806192,87
Rubiaceae,Elaeagia karstenii,-76.9692,-6.0789,22.458333333333332,120.5
Rubiaceae,Elaeagia karstenii,-76.5772,6.6958,20.583333651224773,260.9166666666667
Rubiaceae,Elaeagia karstenii,-76.4617,-6.3003,20.14999993642171,124.25
Rubiaceae,Elaeagia karstenii,-76.3731,-9.2364,19.608333110809326,77.08333333333333
Rubiaceae,Elaeagia karstenii,-76.36,6.7442,23.308332920074463,259.0833333333333
Rubiaceae,Elaeagia karstenii,-76.3292,6.3711,22.975000222524006,326.0833333333333
Rubiaceae,Elaeagia karstenii,-76.1697,5.8342,17.63333336512248,202.41666666666666
Rubiaceae,Elaeagia karstenii,-76.1319,6.2239,18.1833332379659,194.91666666666666
Rubiaceae,Elaeagia karstenii,-75.9925,-9.3072,24.508333206176758,250.58333333333334
Rubiaceae,Elaeagia karstenii,-75.9594,7.235,19.925000190734863,225.75
Rubiaceae,Elaeagia karstenii,-75.915,-7.56,24.175000190734863,165.66666666666666
Rubiaceae,Elaeagia karstenii,-75.8892,-7.5681,21.89999993642171,148.25
Rubiaceae,Elaeagia karstenii,-75.8569,5.1906,18.141666730244953,185.33333333333334
Rubiaceae,Elaeagia karstenii,-75.8356,4.8703,23.06666660308838,180.08333333333334
Rubiaceae,Elaeagia karstenii,-75.6953,5.9842,22.833333492279053,196.83333333333334
Rubiaceae,Elaeagia karstenii,-75.6739,5.9253,19.033333619435627,203.75
Rubiaceae,Elaeagia karstenii,-75.6347,4.8086,18.24166663487752,166
Rubiaceae,Elaeagia karstenii,-75.4236,-10.9603,13.924999952316284,71
Rubiaceae,Elaeagia karstenii,-75.1733,6.2386,18.758333683013916,224
Rubiaceae,Elaeagia karstenii,-75.1083,6.8781,19.424999872843426,229.75
Rubiaceae,Elaeagia karstenii,-74.9414,5.0931,23.97500006357829,191.66666666666666
Rubiaceae,Elaeagia karstenii,-74.785,-10.6658,23.608333110809326,163.83333333333334
Rubiaceae,Elaeagia karstenii,-72.4706,-12.1872,20.52499993642171,146.25
Rubiaceae,Elaeagia karstenii,-72.0947,-12.2583,17.9416667620341,118.16666666666667
Rubiaceae,Elaeagia karstenii,-71.4672,-12.8319,23.05833355585734,242.75
Rubiaceae,Elaeagia karstenii,-71.1419,8.6256,17.74999984105428,97.83333333333333
Rubiaceae,Elaeagia karstenii,-71.0533,8.9869,21.991666475931805,108.25
Rubiaceae,Elaeagia karstenii,-70.8286,9.1861,22.46666653951009,100.83333333333333
Rubiaceae,Elaeagia karstenii,-70.2958,9.1608,17.74999984105428,84.75
Rubiaceae,Elaeagia karstenii,-69.7731,9.5914,18.700000127156574,88.91666666666667
Rubiaceae,Elaeagia karstenii,-68.7647,10.3836,20.224999745686848,87.33333333333333
Rubiaceae,Elaeagia karstenii,-67.5211,10.4108,20.450000127156574,80.5
Rubiaceae,Elaeagia karstenii,-67.28944,10.40556,15.958333333333334,80.33333333333333
Rubiaceae,Elaeagia karstenii,-74.696826,2.812919,19.550000031789143,160.16666666666666
Rubiaceae,Elaeagia karstenii,-78.6167,0.116667,19.083333333333332,159.75
Rubiaceae,Elaeagia karstenii,-77.6667,-5.75,17.991666793823242,93.41666666666667
