familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Enterolobium cyclocarpum,-97.084167,18.075,25.31666660308838,66.5
Fabaceae,Enterolobium cyclocarpum,-83.855904,9.246078,26.125000317891438,196.91666666666666
Fabaceae,Enterolobium cyclocarpum,-94.756537,16.592161,27.016666730244953,91.66666666666667
Fabaceae,Enterolobium cyclocarpum,-93.30196,16.19965,24.733333587646484,97.66666666666667
Fabaceae,Enterolobium cyclocarpum,-85.658173,10.587384,27.53333330154419,138.16666666666666
Fabaceae,Enterolobium cyclocarpum,-90.004663,20.587095,26.300000031789143,86.5
Fabaceae,Enterolobium cyclocarpum,-73.748211,8.326211,28.541666666666668,198.33333333333334
Fabaceae,Enterolobium cyclocarpum,-84.595078,9.796899,26.56666660308838,182.83333333333334
Fabaceae,Enterolobium cyclocarpum,-106.435533,23.303298,24.883333206176758,66.5
Fabaceae,Enterolobium cyclocarpum,-96.777191,20.231017,24.316667079925537,139.58333333333334
Fabaceae,Enterolobium cyclocarpum,-85.76005,10.456042,27.40833330154419,141.75
Fabaceae,Enterolobium cyclocarpum,-79.696218,9.121986,26.425000031789143,204.58333333333334
Fabaceae,Enterolobium cyclocarpum,-106.440697,23.299181,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-106.440682,23.29911,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-106.438873,23.299654,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-99.29173,18.802785,22.800000190734863,82.08333333333333
Fabaceae,Enterolobium cyclocarpum,-97.145233,16.107834,24.22499990463257,82.83333333333333
Fabaceae,Enterolobium cyclocarpum,-88.568092,20.679633,25.808332920074463,101.5
Fabaceae,Enterolobium cyclocarpum,-88.388853,18.675662,25.833333333333332,89.25
Fabaceae,Enterolobium cyclocarpum,-84.658127,9.696821,26.299999872843426,200.66666666666666
Fabaceae,Enterolobium cyclocarpum,-76.201278,3.942444,19.81666660308838,139.08333333333334
Fabaceae,Enterolobium cyclocarpum,-69.279785,7.48775,27.24999984105428,146.5
Fabaceae,Enterolobium cyclocarpum,-106.443186,23.299615,24.875,66
Fabaceae,Enterolobium cyclocarpum,-106.439828,23.298807,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-106.439173,23.297634,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-103.741146,19.267584,26.28333330154419,77.5
Fabaceae,Enterolobium cyclocarpum,-97.150726,16.111792,23.708333333333332,96.91666666666667
Fabaceae,Enterolobium cyclocarpum,-87.661908,20.592697,25.40833330154419,97.41666666666667
Fabaceae,Enterolobium cyclocarpum,-85.365311,12.109655,26.62499984105428,126.16666666666667
Fabaceae,Enterolobium cyclocarpum,-75.84425,6.872194,25.366666316986084,216.66666666666666
Fabaceae,Enterolobium cyclocarpum,-75.837417,6.867833,25.46666653951009,223.66666666666666
Fabaceae,Enterolobium cyclocarpum,-75.833944,6.863722,25.31666660308838,225.58333333333334
Fabaceae,Enterolobium cyclocarpum,-75.82825,6.862694,24.49166663487752,215.5
Fabaceae,Enterolobium cyclocarpum,-75.826917,6.608917,25.125000317891438,205.41666666666666
Fabaceae,Enterolobium cyclocarpum,-75.822361,6.863889,24.133333524068195,220.33333333333334
Fabaceae,Enterolobium cyclocarpum,-75.6652,5.7852,25.100000222524006,177.5
Fabaceae,Enterolobium cyclocarpum,-106.44343,23.299,24.875,66
Fabaceae,Enterolobium cyclocarpum,-106.438894,23.297482,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-105.723495,22.545458,24.958333333333332,88
Fabaceae,Enterolobium cyclocarpum,-105.401807,20.901625,24.5666667620341,91.08333333333333
Fabaceae,Enterolobium cyclocarpum,-99.508946,18.910773,19.458333174387615,88.25
Fabaceae,Enterolobium cyclocarpum,-99.146673,18.899264,21.983333269755047,83.75
Fabaceae,Enterolobium cyclocarpum,-96.151721,17.229759,22.34166653951009,167.91666666666666
Fabaceae,Enterolobium cyclocarpum,-92.015717,17.50093,26.399999777475994,233.33333333333334
Fabaceae,Enterolobium cyclocarpum,-92.015052,17.499272,26.358333428700764,234.66666666666666
Fabaceae,Enterolobium cyclocarpum,-85.087104,10.465126,26.89999993642171,159.66666666666666
Fabaceae,Enterolobium cyclocarpum,-84.982563,10.266318,26.608333428700764,167.41666666666666
Fabaceae,Enterolobium cyclocarpum,-83.855904,9.246078,26.125000317891438,196.91666666666666
Fabaceae,Enterolobium cyclocarpum,-73.873333,9.203056,28.35000006357829,155.83333333333334
Fabaceae,Enterolobium cyclocarpum,-106.833758,23.873465,25.391666571299236,59.916666666666664
Fabaceae,Enterolobium cyclocarpum,-106.440681,23.299181,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-106.439911,23.297072,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-105.221487,20.704015,25.93333339691162,90.91666666666667
Fabaceae,Enterolobium cyclocarpum,-99.582006,18.476767,23.09166669845581,104.5
Fabaceae,Enterolobium cyclocarpum,-96.098657,18.091401,25.916666666666668,202.41666666666666
Fabaceae,Enterolobium cyclocarpum,-95.754347,18.566594,25.666666666666668,118.5
Fabaceae,Enterolobium cyclocarpum,-110.968785,18.790239,21.133333683013916,38.333333333333336
Fabaceae,Enterolobium cyclocarpum,-106.746082,23.841925,25.016666889190674,63.666666666666664
Fabaceae,Enterolobium cyclocarpum,-106.440783,23.2993,24.924999713897705,66.33333333333333
Fabaceae,Enterolobium cyclocarpum,-104.136902,19.715349,22.59166653951009,67.5
Fabaceae,Enterolobium cyclocarpum,-103.760467,19.360942,24.583333492279053,71.25
Fabaceae,Enterolobium cyclocarpum,-103.724087,19.245234,26.266666730244953,77.75
Fabaceae,Enterolobium cyclocarpum,-101.977954,19.308102,21.874999682108562,74.58333333333333
Fabaceae,Enterolobium cyclocarpum,-101.455715,19.114186,23.300000190734863,75.25
Fabaceae,Enterolobium cyclocarpum,-99.27038,18.547566,25.241666952768963,82
Fabaceae,Enterolobium cyclocarpum,-97.015908,20.476483,24.208333651224773,119
Fabaceae,Enterolobium cyclocarpum,-96.732044,20.065606,24.21666685740153,141.91666666666666
Fabaceae,Enterolobium cyclocarpum,-96.388007,19.603328,24.891666571299236,90.83333333333333
Fabaceae,Enterolobium cyclocarpum,-96.385822,19.600912,24.891666571299236,90.83333333333333
Fabaceae,Enterolobium cyclocarpum,-96.33303,18.299162,25.86666663487752,177.66666666666666
Fabaceae,Enterolobium cyclocarpum,-93.400257,16.795358,23.791666666666668,88
Fabaceae,Enterolobium cyclocarpum,-93.143967,16.760048,24.800000031789143,92.75
Fabaceae,Enterolobium cyclocarpum,-92.647419,18.384285,26.56666644414266,141.08333333333334
Fabaceae,Enterolobium cyclocarpum,-89.656513,20.977174,26.300000031789143,80.75
Fabaceae,Enterolobium cyclocarpum,-89.619407,20.975234,26.449999968210857,80.33333333333333
Fabaceae,Enterolobium cyclocarpum,-89.299974,21.095599,25.84166653951009,73.41666666666667
Fabaceae,Enterolobium cyclocarpum,-88.242971,20.660454,25.866666793823242,97
Fabaceae,Enterolobium cyclocarpum,-86.236174,12.114993,26.36666663487752,145.75
Fabaceae,Enterolobium cyclocarpum,-85.354156,10.732128,24.14999993642171,157.25
Fabaceae,Enterolobium cyclocarpum,-74.186862,11.225837,28.12499984105428,65.5
Fabaceae,Enterolobium cyclocarpum,-106.653705,24.065763,25.24999984105428,67.83333333333333
Fabaceae,Enterolobium cyclocarpum,-106.62794,24.054667,25.041666825612385,71.16666666666667
Fabaceae,Enterolobium cyclocarpum,-105.860905,22.988867,25.59166669845581,75.83333333333333
Fabaceae,Enterolobium cyclocarpum,-103.72221,19.368969,22.741666793823242,71.83333333333333
Fabaceae,Enterolobium cyclocarpum,-96.133332,15.758595,27.19166660308838,97.58333333333333
Fabaceae,Enterolobium cyclocarpum,-102.0525,19.545,16.083333253860474,92.75
Fabaceae,Enterolobium cyclocarpum,-101.638333,19.404722,15.93333331743876,86
Fabaceae,Enterolobium cyclocarpum,-101.615,19.519167,16.700000047683716,82.66666666666667
Fabaceae,Enterolobium cyclocarpum,-100.896944,18.626389,28.22499990463257,75.16666666666667
Fabaceae,Enterolobium cyclocarpum,-93.407222,16.001111,23.358333428700764,116.83333333333333
Fabaceae,Enterolobium cyclocarpum,-76.072,4.442056,23.849999745686848,135
Fabaceae,Enterolobium cyclocarpum,-75.832322,6.53276,25.8083332379659,113.66666666666667
Fabaceae,Enterolobium cyclocarpum,-75.832237,6.531943,25.8083332379659,113.66666666666667
Fabaceae,Enterolobium cyclocarpum,-75.831985,6.531845,25.8083332379659,113.66666666666667
Fabaceae,Enterolobium cyclocarpum,-75.831952,6.532555,25.8083332379659,113.66666666666667
Fabaceae,Enterolobium cyclocarpum,-75.831722,6.532453,25.8083332379659,113.66666666666667
Fabaceae,Enterolobium cyclocarpum,-73.7925,10.193056,25.97500006357829,123.75
Fabaceae,Enterolobium cyclocarpum,-73.786389,10.113333,27.34999990463257,132
Fabaceae,Enterolobium cyclocarpum,-73.685556,10.085833,28.39999993642171,111.25
Fabaceae,Enterolobium cyclocarpum,-73.408083,11.190444,27.541666825612385,92.91666666666667
Fabaceae,Enterolobium cyclocarpum,-72.546967,5.326749,24.574999650319416,268.25
Fabaceae,Enterolobium cyclocarpum,-102.052,19.545,16.083333253860474,92.75
Fabaceae,Enterolobium cyclocarpum,-101.638,19.405,15.93333331743876,86
Fabaceae,Enterolobium cyclocarpum,-101.615,19.519,16.700000047683716,82.66666666666667
Fabaceae,Enterolobium cyclocarpum,-100.897,18.626,28.22499990463257,75.16666666666667
Fabaceae,Enterolobium cyclocarpum,-101.695,19.539,16.799999793370564,81.5
Fabaceae,Enterolobium cyclocarpum,-85.96666,11.93333,26.71666685740153,148.41666666666666
Fabaceae,Enterolobium cyclocarpum,-89.016667,20.933333,25.74166663487752,83.25
Fabaceae,Enterolobium cyclocarpum,-105.516667,23.083333,22.56666644414266,114.58333333333333
Fabaceae,Enterolobium cyclocarpum,-101.71797,18.97342,22.850000222524006,76.16666666666667
Fabaceae,Enterolobium cyclocarpum,-85.25,10.5,27.266666571299236,168.83333333333334
Fabaceae,Enterolobium cyclocarpum,-80.3528,8.5158,26.983333269755047,180.25
Fabaceae,Enterolobium cyclocarpum,-106.21469,23.18969,25.458333174387615,70.25
Fabaceae,Enterolobium cyclocarpum,-98.1775,22.055278,24.8166667620341,81.33333333333333
Fabaceae,Enterolobium cyclocarpum,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Enterolobium cyclocarpum,-88.71,20.5,25.824999809265137,98.75
Fabaceae,Enterolobium cyclocarpum,-86.73333,12.1,27.375,124.66666666666667
Fabaceae,Enterolobium cyclocarpum,-104.2906,21.1139,22.34166669845581,78.5
Fabaceae,Enterolobium cyclocarpum,-94.995,16.71192,25.483333428700764,95.83333333333333
Fabaceae,Enterolobium cyclocarpum,-85.43,10.62,26.99166663487752,173.83333333333334
Fabaceae,Enterolobium cyclocarpum,-88.572222,20.670833,25.808332920074463,101.5
Fabaceae,Enterolobium cyclocarpum,-88.569444,20.677778,25.808332920074463,101.5
Fabaceae,Enterolobium cyclocarpum,-100.47,18.88,19.72499990463257,97.08333333333333
Fabaceae,Enterolobium cyclocarpum,-100.466667,18.866667,19.59166669845581,97.16666666666667
Fabaceae,Enterolobium cyclocarpum,-100.15,18.8,23.34999990463257,105.41666666666667
Fabaceae,Enterolobium cyclocarpum,-99.67,18.84,18.649999618530273,83
Fabaceae,Enterolobium cyclocarpum,-70.25,-7.5,25.274999777475994,192.33333333333334
Fabaceae,Enterolobium cyclocarpum,-69,-9.33,24.641666412353516,171.33333333333334
Fabaceae,Enterolobium cyclocarpum,-100.5667,18.4667,28.59999990463257,86.08333333333333
Fabaceae,Enterolobium cyclocarpum,-88.60666,17.37555,25.616666475931805,159.25
Fabaceae,Enterolobium cyclocarpum,-88.60666,17.53944,25.75000015894572,155.41666666666666
Fabaceae,Enterolobium cyclocarpum,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Enterolobium cyclocarpum,-59.83,3.16,27.699999809265137,136.33333333333334
Fabaceae,Enterolobium cyclocarpum,-96.925,17.658333,25.016666730244953,42.416666666666664
Fabaceae,Enterolobium cyclocarpum,-88.572222,20.670833,25.808332920074463,101.5
Fabaceae,Enterolobium cyclocarpum,-96.686667,18.633333,23.858333428700764,231.08333333333334
Fabaceae,Enterolobium cyclocarpum,-76.381955,3.56223,23.641666571299236,107.41666666666667
Fabaceae,Enterolobium cyclocarpum,-76.236756,3.572546,22.84166653951009,122.83333333333333
Fabaceae,Enterolobium cyclocarpum,-92.6742,15.33942,27.300000031789143,186.33333333333334
Fabaceae,Enterolobium cyclocarpum,-92.674167,15.339444,27.300000031789143,186.33333333333334
Fabaceae,Enterolobium cyclocarpum,-88.63139,20.86861,25.749999682108562,104.33333333333333
Fabaceae,Enterolobium cyclocarpum,-88.6025,20.965556,25.733333269755047,109
Fabaceae,Enterolobium cyclocarpum,-96.141667,18.091667,25.949999809265137,213.91666666666666
Fabaceae,Enterolobium cyclocarpum,-77.33333,7.75,26.583333333333332,207.33333333333334
Fabaceae,Enterolobium cyclocarpum,-96.391667,18.841667,25.416666666666668,100.33333333333333
Fabaceae,Enterolobium cyclocarpum,-86.4167,12,25.35000006357829,105.41666666666667
Fabaceae,Enterolobium cyclocarpum,-85.83333,12.4,25.300000190734863,123.08333333333333
