familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Erythroxyllaceae,Erythroxylum havanense,-73.8556,7.15295,28.10000006357829,238
Erythroxyllaceae,Erythroxylum havanense,-81.253681,27.44337,22.525000254313152,100.33333333333333
Erythroxyllaceae,Erythroxylum havanense,-76,20.5,25.824999809265137,100.08333333333333
Erythroxyllaceae,Erythroxylum havanense,-76,20.5,25.824999809265137,100.08333333333333
Erythroxyllaceae,Erythroxylum havanense,-73.8894,11.1177,20.825000286102295,122.66666666666667
Erythroxyllaceae,Erythroxylum havanense,-82.799,21.885,25.541666348775227,113.91666666666667
Erythroxyllaceae,Erythroxylum havanense,-82.3869,22.97,24.77500009536743,113.91666666666667
Erythroxyllaceae,Erythroxylum havanense,-82.386275,22.97392,24.77500009536743,113.91666666666667
Erythroxyllaceae,Erythroxylum havanense,-77.597189,21.738625,25.77499993642171,106.58333333333333
Erythroxyllaceae,Erythroxylum havanense,-82.456346,23.094654,25.449999968210857,107.33333333333333
Erythroxyllaceae,Erythroxylum havanense,-82.4333,23.0833,25.24166663487752,108.41666666666667
Erythroxyllaceae,Erythroxylum havanense,-75.897525,20.304265,24.891666730244953,113.83333333333333
Erythroxyllaceae,Erythroxylum havanense,-79.53333,8.96666,NA,NA
Erythroxyllaceae,Erythroxylum havanense,-79.515833,8.970833,NA,NA
Erythroxyllaceae,Erythroxylum havanense,-79.50638,8.99,27.141666412353516,200.08333333333334
Erythroxyllaceae,Erythroxylum havanense,-72.4903,18.9756,20.675000031789143,134.41666666666666
Erythroxyllaceae,Erythroxylum havanense,-96.978889,19.524722,18.050000111262005,131.25
Erythroxyllaceae,Erythroxylum havanense,-84.7,9.85,NA,NA
Erythroxyllaceae,Erythroxylum havanense,-103.269169,18.923331,23.774999777475994,82
Erythroxyllaceae,Erythroxylum havanense,-64.86,6.9,27.200000127156574,161
Erythroxyllaceae,Erythroxylum havanense,-61.88,8.03,25.3083332379659,126.91666666666667
Erythroxyllaceae,Erythroxylum havanense,-80.337979,22.132364,25.041666507720947,104.83333333333333
Erythroxyllaceae,Erythroxylum havanense,-80.223497,21.980283,22.56666660308838,118
Erythroxyllaceae,Erythroxylum havanense,-80.150585,21.96649,20.22499990463257,130.41666666666666
Erythroxyllaceae,Erythroxylum havanense,-80.15,21.966667,19.741666475931805,133.58333333333334
