familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lecythidaceae,Eschweilera calyculata,-79.308611,9.284167,23.84166653951009,217.5
Lecythidaceae,Eschweilera calyculata,-80.075,9.25,26.533333619435627,219.41666666666666
Lecythidaceae,Eschweilera calyculata,-79.866667,9.4,26.85000006357829,181
Lecythidaceae,Eschweilera calyculata,-80.514167,8.876667,26.43333339691162,243.91666666666666
Lecythidaceae,Eschweilera calyculata,-79.86472,9.39361,26.858333269755047,177.58333333333334
Lecythidaceae,Eschweilera calyculata,-83.533333,10.216667,26.208333651224773,317.6666666666667
Lecythidaceae,Eschweilera calyculata,-83.53,10.21,26.18333355585734,309.25
Lecythidaceae,Eschweilera calyculata,-76.4243,7.21095,26.791666348775227,283.0833333333333
Lecythidaceae,Eschweilera calyculata,-76.4243,7.210951,26.791666348775227,283.0833333333333
Lecythidaceae,Eschweilera calyculata,-79.66666,9.36666,25.68333371480306,234.5
Lecythidaceae,Eschweilera calyculata,-76.95,7.65,27.37499984105428,256.1666666666667
Lecythidaceae,Eschweilera calyculata,-76.709689,7.571218,27.516666730244953,266.5
Lecythidaceae,Eschweilera calyculata,-76.847585,7.602115,27.458333333333332,241.16666666666666
Lecythidaceae,Eschweilera calyculata,-76.847585,7.602115,27.458333333333332,241.16666666666666
Lecythidaceae,Eschweilera calyculata,-76.95,7.65,27.37499984105428,256.1666666666667
Lecythidaceae,Eschweilera calyculata,-76.95,7.65,27.37499984105428,256.1666666666667
Lecythidaceae,Eschweilera calyculata,-76.95,7.65,27.37499984105428,256.1666666666667
Lecythidaceae,Eschweilera calyculata,-79.375,9.23388,23.300000031789143,239.16666666666666
Lecythidaceae,Eschweilera calyculata,-83.53,10.58,26.300000031789143,350.1666666666667
Lecythidaceae,Eschweilera calyculata,-82.45,9.47,NA,NA
Lecythidaceae,Eschweilera calyculata,-82.45,9.466667,NA,NA
Lecythidaceae,Eschweilera calyculata,-83.016667,9.966667,NA,NA
Lecythidaceae,Eschweilera calyculata,-80.591944,8.911111,26.199999809265137,261.75
Lecythidaceae,Eschweilera calyculata,-80.591944,8.911111,26.199999809265137,261.75
Lecythidaceae,Eschweilera calyculata,-79.87861,9.37138,26.9416667620341,202.08333333333334
Lecythidaceae,Eschweilera calyculata,-79.87,9.42,NA,NA
Lecythidaceae,Eschweilera calyculata,-80.15055,9.1925,26.5666667620341,231.66666666666666
Lecythidaceae,Eschweilera calyculata,-80.150556,9.191667,26.5666667620341,231.66666666666666
Lecythidaceae,Eschweilera calyculata,-83.666667,10.2,25.741666952768963,313.4166666666667
Lecythidaceae,Eschweilera calyculata,-77.354444,8.651667,25.88333336512248,158.58333333333334
Lecythidaceae,Eschweilera calyculata,-79.533333,9.55,26.10000006357829,244.16666666666666
Lecythidaceae,Eschweilera calyculata,-82.383333,9.283333,NA,NA
Lecythidaceae,Eschweilera calyculata,-82.38,9.28,NA,NA
Lecythidaceae,Eschweilera calyculata,-80.64511,8.89053,26.208333174387615,260.5
Lecythidaceae,Eschweilera calyculata,-80.64508,8.8903,26.208333174387615,260.5
Lecythidaceae,Eschweilera calyculata,-80.3842,8.5325,26.97499990463257,168.08333333333334
Lecythidaceae,Eschweilera calyculata,-83.4167,10.2856,26.225000381469727,283.75
Lecythidaceae,Eschweilera calyculata,-83.416667,10.285556,26.225000381469727,283.75
Lecythidaceae,Eschweilera calyculata,-84.95,10.816667,26.25833336512248,227.58333333333334
Lecythidaceae,Eschweilera calyculata,-80.446667,8.691111,25.03333330154419,250.33333333333334
Lecythidaceae,Eschweilera calyculata,-82.82638,9.73944,NA,NA
Lecythidaceae,Eschweilera calyculata,-82.23033,8.99117,25.799999872843426,241.75
Lecythidaceae,Eschweilera calyculata,-84.060556,10.290833,21.958333333333332,290.1666666666667
Lecythidaceae,Eschweilera calyculata,-82.45,9.466667,NA,NA
