familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Myrtaceae,Eugenia hartshornii,-84.987028,10.715194,22.65833314259847,277.9166666666667
Myrtaceae,Eugenia hartshornii,-83.377778,9.991667,24.449999968210857,286.25
Myrtaceae,Eugenia hartshornii,-83.099259,9.121936,17.666666507720947,274.3333333333333
Myrtaceae,Eugenia hartshornii,-83.383333,10.011111,24.90833346048991,281.0833333333333
Myrtaceae,Eugenia hartshornii,-84.05,10.4,25.34166653951009,309.8333333333333
Myrtaceae,Eugenia hartshornii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Myrtaceae,Eugenia hartshornii,-84.02,10.43,25.949999809265137,316.25
Myrtaceae,Eugenia hartshornii,-84.016667,10.433333,25.949999809265137,316.25
Myrtaceae,Eugenia hartshornii,-84.003611,10.431389,26.008333206176758,307.9166666666667
Myrtaceae,Eugenia hartshornii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Myrtaceae,Eugenia hartshornii,-83.78,10.5,26.03333346048991,305.9166666666667
Myrtaceae,Eugenia hartshornii,-84.003611,10.431389,26.008333206176758,307.9166666666667
Myrtaceae,Eugenia hartshornii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Myrtaceae,Eugenia hartshornii,-83.9,10.409722,26.041666666666668,295.9166666666667
Myrtaceae,Eugenia hartshornii,-83.9,10.40972,26.041666666666668,295.9166666666667
Myrtaceae,Eugenia hartshornii,-83.38333,10.011111,24.90833346048991,281.0833333333333
Myrtaceae,Eugenia hartshornii,-83.37778,9.991667,24.449999968210857,286.25
Myrtaceae,Eugenia hartshornii,-83.94167,10.166111,23.64999993642171,306.25
Myrtaceae,Eugenia hartshornii,-83.941667,10.166111,23.64999993642171,306.25
Myrtaceae,Eugenia hartshornii,-85.430343,10.978593,22.15000009536743,261.5833333333333
Myrtaceae,Eugenia hartshornii,-83.09926,9.121936,17.666666507720947,274.3333333333333
Myrtaceae,Eugenia hartshornii,-85.327278,10.849528,20.59166669845581,274.0833333333333
Myrtaceae,Eugenia hartshornii,-83.6,10.43333,26.216667016347248,297.4166666666667
Myrtaceae,Eugenia hartshornii,-83.6,10.33,26.216667016347248,302.5
Myrtaceae,Eugenia hartshornii,-85.393421,10.880626,23.12499984105428,239.25
Myrtaceae,Eugenia hartshornii,-85.434222,10.986889,22.083333333333332,253.58333333333334
Myrtaceae,Eugenia hartshornii,-85.326167,10.863333,22.06666660308838,266.4166666666667
Myrtaceae,Eugenia hartshornii,-83.9519,10.0114,17.35000006357829,334.6666666666667
