familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Myrtaceae,Eugenia monteverdensis,-84.08333,10.08333,15.94166644414266,230.08333333333334
Myrtaceae,Eugenia monteverdensis,-84.8,10.3,18.574999968210857,210.08333333333334
Myrtaceae,Eugenia monteverdensis,-82.94,9.01,17.016666571299236,271.5
Myrtaceae,Eugenia monteverdensis,-82.93,9,18.63333336512248,223.16666666666666
Myrtaceae,Eugenia monteverdensis,-84.79,10.27,19.40000009536743,220.5
Myrtaceae,Eugenia monteverdensis,-84.75,10.43,23.21666653951009,277.4166666666667
Myrtaceae,Eugenia monteverdensis,-84.755556,10.430556,23.24999984105428,276
Myrtaceae,Eugenia monteverdensis,-83.67,9.88,22.59999990463257,240
Myrtaceae,Eugenia monteverdensis,-84.79,10.3,18.35000006357829,240.33333333333334
Myrtaceae,Eugenia monteverdensis,-83.98,10.05,18.65833346048991,298
Myrtaceae,Eugenia monteverdensis,-84.800005,10.3,18.699999968210857,200.83333333333334
Myrtaceae,Eugenia monteverdensis,-84.75,10.333333,18.43333371480306,275.9166666666667
Myrtaceae,Eugenia monteverdensis,-84.80416,10.30944,18.28333330154419,196.58333333333334
Myrtaceae,Eugenia monteverdensis,-84.81527,10.30833,19.075000286102295,188.25
Myrtaceae,Eugenia monteverdensis,-84.80416,10.30944,18.28333330154419,196.58333333333334
Myrtaceae,Eugenia monteverdensis,-84.800007,10.3,18.699999968210857,200.83333333333334
Myrtaceae,Eugenia monteverdensis,-84.8,10.3,18.574999968210857,210.08333333333334
Myrtaceae,Eugenia monteverdensis,-84.8,10.3,18.574999968210857,210.08333333333334
Myrtaceae,Eugenia monteverdensis,-84.4,10.18333,17.49166663487752,203.91666666666666
Myrtaceae,Eugenia monteverdensis,-84.820556,10.344631,18.50833336512248,235.58333333333334
Myrtaceae,Eugenia monteverdensis,-84.8,10.3,18.574999968210857,210.08333333333334
Myrtaceae,Eugenia monteverdensis,-84.605556000000007,10.211111,20.541666825612385,289.8333333333333
Myrtaceae,Eugenia monteverdensis,-84.8,10.2833,20.63333336512248,212.66666666666666
Myrtaceae,Eugenia monteverdensis,-84.795834,10.275833,20.63333336512248,212.66666666666666
Myrtaceae,Eugenia monteverdensis,-84.8167,10.3,20.18333339691162,191.5
Myrtaceae,Eugenia monteverdensis,-83.96,9.79,17.44166644414266,201
Myrtaceae,Eugenia monteverdensis,-84.03,10.05,17.90833330154419,230.33333333333334
Myrtaceae,Eugenia monteverdensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
