familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Myrtaceae,Eugenia monticola,-76.159167,4.028611,22.19166660308838,127.75
Myrtaceae,Eugenia monticola,-85.51,12.76,25.02500009536743,125
Myrtaceae,Eugenia monticola,-85.42,10.99,22.90000009536743,256.0833333333333
Myrtaceae,Eugenia monticola,-83.983333,22.15,25.166666825612385,114.16666666666667
Myrtaceae,Eugenia monticola,-77.5,18.25,20.39999993642171,175.66666666666666
Myrtaceae,Eugenia monticola,-77.319014,18.151419,23.041666666666668,141.25
Myrtaceae,Eugenia monticola,-77.28,25.03,25.174999713897705,102.91666666666667
Myrtaceae,Eugenia monticola,-77.25,18.17,22.274999777475994,149.16666666666666
Myrtaceae,Eugenia monticola,-76.71934,17.985,22.450000286102295,150.66666666666666
Myrtaceae,Eugenia monticola,-76.59,17.87,26.56666660308838,106.16666666666667
Myrtaceae,Eugenia monticola,-72.8667,3.8811,26.583333174387615,229.33333333333334
Myrtaceae,Eugenia monticola,-70.6667,19,16.175000111262005,113.75
Myrtaceae,Eugenia monticola,-65.9119,7.0758,27.366666952768963,155.91666666666666
Myrtaceae,Eugenia monticola,-65.31544,18.3274,26.21666685740153,93.91666666666667
Myrtaceae,Eugenia monticola,-64.75,17.733333,26.533332983652752,89.66666666666667
Myrtaceae,Eugenia monticola,-61.26,10.46,26.116666793823242,175.58333333333334
Myrtaceae,Eugenia monticola,-61.2,13.14,27.44166660308838,170.33333333333334
Myrtaceae,Eugenia monticola,-60.73,11.19,26.63333336512248,185.58333333333334
Myrtaceae,Eugenia monticola,-58.7017,4.7364,26.74999984105428,194.58333333333334
Myrtaceae,Eugenia monticola,-76.9,20.86666,26.016666889190674,92
Myrtaceae,Eugenia monticola,-76,20.5,25.824999809265137,100.08333333333333
Myrtaceae,Eugenia monticola,-75,20.31666,21.416666507720947,139.75
Myrtaceae,Eugenia monticola,-66.368359,18.058295,25.59999990463257,87.83333333333333
Myrtaceae,Eugenia monticola,-76.636,18.089,15.65833322207133,202.75
Myrtaceae,Eugenia monticola,-65.28333,18.31667,26.15833330154419,92.25
Myrtaceae,Eugenia monticola,-82.2994,23.1644,25.40833314259847,105.66666666666667
Myrtaceae,Eugenia monticola,-77.643986,21.727869,25.63333336512248,110.33333333333333
Myrtaceae,Eugenia monticola,-60.73,11.19,26.63333336512248,185.58333333333334
Myrtaceae,Eugenia monticola,-66.01042,18.41762,26.425000031789143,125.16666666666667
Myrtaceae,Eugenia monticola,-66.3742,18.038,25.71666685740153,83.16666666666667
