familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Myrtaceae,Eugenia sarapiquensis,-84.07,10.47,25.725000222524006,310.3333333333333
Myrtaceae,Eugenia sarapiquensis,-84.066667,10.466667,25.725000222524006,310.3333333333333
Myrtaceae,Eugenia sarapiquensis,-85.333334,10.916667,24.416666666666668,249
Myrtaceae,Eugenia sarapiquensis,-83.17761,9.80206,19.166666825612385,356
Myrtaceae,Eugenia sarapiquensis,-82.623585,9.610784,26.466667016347248,252.66666666666666
Myrtaceae,Eugenia sarapiquensis,-85.316667,10.8,18.574999968210857,192.91666666666666
Myrtaceae,Eugenia sarapiquensis,-83.94916,10.33194,25.891666253407795,327.25
Myrtaceae,Eugenia sarapiquensis,-84.29,10.74,25.550000031789143,278.75
Myrtaceae,Eugenia sarapiquensis,-84.16,10.74,25.858333269755047,282.75
Myrtaceae,Eugenia sarapiquensis,-83.95,10.34,25.94166644414266,332.1666666666667
Myrtaceae,Eugenia sarapiquensis,-84.168611,10.748333,25.87499984105428,289.5833333333333
Myrtaceae,Eugenia sarapiquensis,-83.17761,9.80206,19.166666825612385,356
Myrtaceae,Eugenia sarapiquensis,-84.01667,10.433333,25.949999809265137,316.25
Myrtaceae,Eugenia sarapiquensis,-84.01667,10.433333,25.949999809265137,316.25
Myrtaceae,Eugenia sarapiquensis,-82.62,9.61,26.466667016347248,252.66666666666666
Myrtaceae,Eugenia sarapiquensis,-82.62333,9.61055,26.466667016347248,252.66666666666666
Myrtaceae,Eugenia sarapiquensis,-83.95,10.341667,25.958333174387615,319.5833333333333
Myrtaceae,Eugenia sarapiquensis,-84,10.5,26.02499993642171,310.25
