familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Ficus costaricana,-84.818327,10.308952,19.24999984105428,205.41666666666666
Moraceae,Ficus costaricana,-84.1,9.94,20.958333492279053,322
Moraceae,Ficus costaricana,-91.01861,14.38055,24.641666571299236,304.75
Moraceae,Ficus costaricana,-88.37083,16.93277,25.63333336512248,188.41666666666666
Moraceae,Ficus costaricana,-95.238889,16.332778,28.40833346048991,73.5
Moraceae,Ficus costaricana,-92.616619,15.416558,19.03333330154419,130.58333333333334
Moraceae,Ficus costaricana,-92.61,15.41,19.03333330154419,130.58333333333334
Moraceae,Ficus costaricana,-83.63944,9.39138,21.81666660308838,210.91666666666666
Moraceae,Ficus costaricana,-83.6575,9.346667,23.199999968210857,248.75
Moraceae,Ficus costaricana,-92.359169,15.650831,23.524999777475994,140
Moraceae,Ficus costaricana,-92.35,15.65,22.34166653951009,151.5
Moraceae,Ficus costaricana,-88.483333,16.366667,25.758333206176758,210.58333333333334
Moraceae,Ficus costaricana,-83.642778,9.3875,21.824999968210857,213.33333333333334
Moraceae,Ficus costaricana,-92.304167,15.680833,23.891666889190674,132
Moraceae,Ficus costaricana,-79.96888,9.32416,26.34999990463257,212.5
Moraceae,Ficus costaricana,-96.825,19.991667,22.166666825612385,166.66666666666666
Moraceae,Ficus costaricana,-84.04,9.93,20.416666666666668,293.5833333333333
Moraceae,Ficus costaricana,-90.725,18.608333,26.1916667620341,115.08333333333333
Moraceae,Ficus costaricana,-89.242222,15.948889,25.90833314259847,281
Moraceae,Ficus costaricana,-83.98,10.41,26.050000031789143,316.8333333333333
Moraceae,Ficus costaricana,-84.4,10.36,23.550000031789143,279.3333333333333
Moraceae,Ficus costaricana,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Ficus costaricana,-79.83638,9.16361,26.30833339691162,215.33333333333334
Moraceae,Ficus costaricana,-79.83444,9.17222,26.458333333333332,228.83333333333334
Moraceae,Ficus costaricana,-79.828056,9.163611,26.40833330154419,209.91666666666666
