familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Ficus maxima,-80.717,-1.567,22.416666666666668,44.583333333333336
Moraceae,Ficus maxima,-68.7,-12.517,25.425000349680584,160.16666666666666
Moraceae,Ficus maxima,-77.208,-2.262,24.949999650319416,279.3333333333333
Moraceae,Ficus maxima,-75.745833,4.630233,20.974999745686848,166.08333333333334
Moraceae,Ficus maxima,-75.732533,4.6124,20.341667016347248,162
Moraceae,Ficus maxima,-97.041138,19.859727,21.458333333333332,157.33333333333334
Moraceae,Ficus maxima,-97.010127,20.479552,24.208333651224773,119
Moraceae,Ficus maxima,-74.814827,5.161734,25.93333339691162,180.08333333333334
Moraceae,Ficus maxima,-74.812098,5.163618,25.93333339691162,180.08333333333334
Moraceae,Ficus maxima,-75.406362,10.334043,26.96666653951009,105.75
Moraceae,Ficus maxima,-75.406088,10.334124,26.96666653951009,105.75
Moraceae,Ficus maxima,-75.33447,10.371745,27.391666571299236,103.66666666666667
Moraceae,Ficus maxima,-75.292901,9.988587,27.96666669845581,119.91666666666667
Moraceae,Ficus maxima,-97.13047,20.274436,23.883333206176758,149.5
Moraceae,Ficus maxima,-106.626692,24.113915,24.733333428700764,77.08333333333333
Moraceae,Ficus maxima,-106.626463,24.113538,24.733333428700764,77.08333333333333
Moraceae,Ficus maxima,-61.59202,-1.85147,26.608333428700764,212.5
Moraceae,Ficus maxima,-76,20.5,25.824999809265137,100.08333333333333
Moraceae,Ficus maxima,-96.931667,18.891111,21.633333206176758,135.58333333333334
Moraceae,Ficus maxima,-103.4,20.666667,20.500000317891438,76.58333333333333
Moraceae,Ficus maxima,-103.33,20.676389,21.383333524068195,78.16666666666667
Moraceae,Ficus maxima,-80.616,22.266,25.0583332379659,120.75
Moraceae,Ficus maxima,-72.8667,3.8811,26.583333174387615,229.33333333333334
Moraceae,Ficus maxima,-75.94694,20.05,25.416666507720947,103.91666666666667
Moraceae,Ficus maxima,-82.3869,22.97,24.77500009536743,113.91666666666667
Moraceae,Ficus maxima,-82.386275,22.97392,24.77500009536743,113.91666666666667
Moraceae,Ficus maxima,-56.24,-2.4375,26.93333339691162,179.83333333333334
Moraceae,Ficus maxima,-77.643986,21.727869,25.63333336512248,110.33333333333333
Moraceae,Ficus maxima,-98.333333,20.433333,18.358333190282185,140.33333333333334
Moraceae,Ficus maxima,-96.783333,19.216667,22.141666412353516,102.83333333333333
Moraceae,Ficus maxima,-96.758333,19.25,22.74166663487752,97.08333333333333
Moraceae,Ficus maxima,-82.757219,21.744599,25.483333110809326,116
Moraceae,Ficus maxima,-88.770556,19.876667,26.09166685740153,103.33333333333333
Moraceae,Ficus maxima,-88.753889,19.876667,25.89999993642171,103.25
Moraceae,Ficus maxima,-79.618941,21.870604,21.77499993642171,131.5
Moraceae,Ficus maxima,-59.75,8.25,26.21666653951009,171
Moraceae,Ficus maxima,-79.375,9.04166,27.074999650319416,173.91666666666666
Moraceae,Ficus maxima,-96.683333,19.2,23.708333333333332,92.83333333333333
Moraceae,Ficus maxima,-88.43333,18.03333,25.97500006357829,127.91666666666667
Moraceae,Ficus maxima,-90.2,18.48,26.258333206176758,96.75
Moraceae,Ficus maxima,-74.233333,-1.016667,25.75833336512248,239.5
Moraceae,Ficus maxima,-72.8667,3.8811,26.583333174387615,229.33333333333334
Moraceae,Ficus maxima,-80,22.5,24.68333355585734,118.25
Moraceae,Ficus maxima,-72.5,5.5,23.425000031789143,218.41666666666666
Moraceae,Ficus maxima,-74.5,10,27.725000222524006,109.75
Moraceae,Ficus maxima,-74.27075,5.59865,22.708333492279053,191.75
Moraceae,Ficus maxima,-72.5,5.5,23.425000031789143,218.41666666666666
Moraceae,Ficus maxima,-70.25,-7.5,25.274999777475994,192.33333333333334
Moraceae,Ficus maxima,-69.76461,-6.693802,25.81666660308838,203.08333333333334
Moraceae,Ficus maxima,-88.31305,17.87833,26.108333587646484,140.91666666666666
Moraceae,Ficus maxima,-62.6889,-6.9879,26.3083332379659,181.08333333333334
Moraceae,Ficus maxima,-52.8731,-10.8339,25.53333346048991,172.25
Moraceae,Ficus maxima,-99.67,18.84,18.649999618530273,83
